year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.22954878483625,287.00470120446147,CESM2-WACCM,historical,r2i1p1f1
1851,288.1640211398786,286.95707222291173,CESM2-WACCM,historical,r2i1p1f1
1852,288.28524828772987,287.0889630928061,CESM2-WACCM,historical,r2i1p1f1
1853,288.40900494725736,287.19565418496825,CESM2-WACCM,historical,r2i1p1f1
1854,288.2549955410073,287.0112175920154,CESM2-WACCM,historical,r2i1p1f1
1855,288.0593791612106,286.80511509447297,CESM2-WACCM,historical,r2i1p1f1
1856,288.06876309582714,286.84357828743305,CESM2-WACCM,historical,r2i1p1f1
1857,288.0345001964939,286.78984283136555,CESM2-WACCM,historical,r2i1p1f1
1858,288.08770939463267,286.8707397092733,CESM2-WACCM,historical,r2i1p1f1
1859,288.27724112334795,287.0705298552237,CESM2-WACCM,historical,r2i1p1f1
1860,288.16101709733107,286.94031895389895,CESM2-WACCM,historical,r2i1p1f1
1861,288.0458906148043,286.8180371644971,CESM2-WACCM,historical,r2i1p1f1
1862,288.07067481857206,286.8161199673826,CESM2-WACCM,historical,r2i1p1f1
1863,288.16935060031517,286.89620907609924,CESM2-WACCM,historical,r2i1p1f1
1864,288.15630397492407,286.88854101896266,CESM2-WACCM,historical,r2i1p1f1
1865,288.1873968585245,286.89816658972154,CESM2-WACCM,historical,r2i1p1f1
1866,288.24787711833096,287.01409268995394,CESM2-WACCM,historical,r2i1p1f1
1867,288.3122281377894,287.1015273888703,CESM2-WACCM,historical,r2i1p1f1
1868,288.29771302644696,287.0931724704038,CESM2-WACCM,historical,r2i1p1f1
1869,288.31270411308753,287.0837252591929,CESM2-WACCM,historical,r2i1p1f1
1870,288.3296114221052,287.1060201076639,CESM2-WACCM,historical,r2i1p1f1
1871,288.2810306933467,287.0480556972236,CESM2-WACCM,historical,r2i1p1f1
1872,288.290067842344,287.0652031977434,CESM2-WACCM,historical,r2i1p1f1
1873,288.2253834784615,287.027617149298,CESM2-WACCM,historical,r2i1p1f1
1874,288.3645317320707,287.13043853208336,CESM2-WACCM,historical,r2i1p1f1
1875,288.4316124428991,287.2235626287549,CESM2-WACCM,historical,r2i1p1f1
1876,288.0788981739763,286.8991155308676,CESM2-WACCM,historical,r2i1p1f1
1877,288.20403011258094,287.00879126481357,CESM2-WACCM,historical,r2i1p1f1
1878,288.25316734140813,287.0817937485361,CESM2-WACCM,historical,r2i1p1f1
1879,288.27623541269264,287.07585750592534,CESM2-WACCM,historical,r2i1p1f1
1880,288.2979446131489,287.068478920307,CESM2-WACCM,historical,r2i1p1f1
1881,288.2507442689293,287.0759069687828,CESM2-WACCM,historical,r2i1p1f1
1882,288.21337360259014,286.98838542506957,CESM2-WACCM,historical,r2i1p1f1
1883,288.29333359632625,287.0628505826595,CESM2-WACCM,historical,r2i1p1f1
1884,288.11274900108833,286.86868745067767,CESM2-WACCM,historical,r2i1p1f1
1885,287.9779097137008,286.733796641693,CESM2-WACCM,historical,r2i1p1f1
1886,287.88520054464607,286.6697026011774,CESM2-WACCM,historical,r2i1p1f1
1887,288.00918404266423,286.76028384438644,CESM2-WACCM,historical,r2i1p1f1
1888,287.9983585804977,286.7678652333529,CESM2-WACCM,historical,r2i1p1f1
1889,288.0834341360769,286.8501029860496,CESM2-WACCM,historical,r2i1p1f1
1890,288.09834099681643,286.88935563904647,CESM2-WACCM,historical,r2i1p1f1
1891,288.0888093579763,286.86076299370603,CESM2-WACCM,historical,r2i1p1f1
1892,288.13040589617486,286.9127476078334,CESM2-WACCM,historical,r2i1p1f1
1893,288.08333594825234,286.8708635336859,CESM2-WACCM,historical,r2i1p1f1
1894,288.25997490146557,287.04129957586497,CESM2-WACCM,historical,r2i1p1f1
1895,288.30639072216866,287.0948545134349,CESM2-WACCM,historical,r2i1p1f1
1896,288.27279252717284,287.0629849669467,CESM2-WACCM,historical,r2i1p1f1
1897,288.20232848248037,286.9819877130384,CESM2-WACCM,historical,r2i1p1f1
1898,288.24545479952513,287.0427865954523,CESM2-WACCM,historical,r2i1p1f1
1899,288.3546026873955,287.1659418334454,CESM2-WACCM,historical,r2i1p1f1
1900,288.35800689259463,287.1501986301214,CESM2-WACCM,historical,r2i1p1f1
1901,288.1212915641238,286.92756612650095,CESM2-WACCM,historical,r2i1p1f1
1902,288.14926124364786,286.95798113351407,CESM2-WACCM,historical,r2i1p1f1
1903,288.30883476185346,287.0624674451212,CESM2-WACCM,historical,r2i1p1f1
1904,288.1648786596112,286.916356300435,CESM2-WACCM,historical,r2i1p1f1
1905,288.15647832013934,286.91018167165555,CESM2-WACCM,historical,r2i1p1f1
1906,288.15819424181547,286.91221961601775,CESM2-WACCM,historical,r2i1p1f1
1907,287.9625450559208,286.7099072391154,CESM2-WACCM,historical,r2i1p1f1
1908,287.99233094960925,286.7651388657897,CESM2-WACCM,historical,r2i1p1f1
1909,288.14197986598924,286.9077327848954,CESM2-WACCM,historical,r2i1p1f1
1910,288.0621786668408,286.8437794643224,CESM2-WACCM,historical,r2i1p1f1
1911,288.2038240959611,286.98683911105934,CESM2-WACCM,historical,r2i1p1f1
1912,288.23498535362756,286.974442868341,CESM2-WACCM,historical,r2i1p1f1
1913,288.22735488673254,286.9917357924777,CESM2-WACCM,historical,r2i1p1f1
1914,288.2912166938949,287.07643671734854,CESM2-WACCM,historical,r2i1p1f1
1915,288.36638970223294,287.17297187989277,CESM2-WACCM,historical,r2i1p1f1
1916,288.3082350131235,287.13896073176437,CESM2-WACCM,historical,r2i1p1f1
1917,288.2839653735927,287.1376261047012,CESM2-WACCM,historical,r2i1p1f1
1918,288.4405168060377,287.26449463357636,CESM2-WACCM,historical,r2i1p1f1
1919,288.22971710482364,287.01940056342767,CESM2-WACCM,historical,r2i1p1f1
1920,288.3485281546464,287.18089484410325,CESM2-WACCM,historical,r2i1p1f1
1921,288.65880456820247,287.47497156678094,CESM2-WACCM,historical,r2i1p1f1
1922,288.4234672325174,287.26200818889566,CESM2-WACCM,historical,r2i1p1f1
1923,288.33678273039783,287.14597256156634,CESM2-WACCM,historical,r2i1p1f1
1924,288.36310241988286,287.1511675018488,CESM2-WACCM,historical,r2i1p1f1
