year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.3383942148293,288.24159562724634,CESM2-WACCM,ssp245,r4i1p1f1
2016,289.5941360182041,288.4184309702116,CESM2-WACCM,ssp245,r4i1p1f1
2017,289.4805312110531,288.3227442133577,CESM2-WACCM,ssp245,r4i1p1f1
2018,289.223977987808,288.0744202999663,CESM2-WACCM,ssp245,r4i1p1f1
2019,289.40385243049843,288.2432065230346,CESM2-WACCM,ssp245,r4i1p1f1
2020,289.5657887204837,288.42522285629633,CESM2-WACCM,ssp245,r4i1p1f1
2021,289.5164295980844,288.3849942248686,CESM2-WACCM,ssp245,r4i1p1f1
2022,289.4363809348329,288.33690984946656,CESM2-WACCM,ssp245,r4i1p1f1
2023,289.5955421578355,288.46335774568996,CESM2-WACCM,ssp245,r4i1p1f1
2024,289.56570825238964,288.4594504259407,CESM2-WACCM,ssp245,r4i1p1f1
2025,289.53981587397266,288.41517477710164,CESM2-WACCM,ssp245,r4i1p1f1
2026,289.5659665141916,288.41548209928817,CESM2-WACCM,ssp245,r4i1p1f1
2027,289.7516256459117,288.6065618188072,CESM2-WACCM,ssp245,r4i1p1f1
2028,289.83494488875886,288.6879778983758,CESM2-WACCM,ssp245,r4i1p1f1
2029,289.728971103598,288.62378938865726,CESM2-WACCM,ssp245,r4i1p1f1
2030,289.88194593072717,288.7919044214342,CESM2-WACCM,ssp245,r4i1p1f1
2031,289.81767128679246,288.71133588875745,CESM2-WACCM,ssp245,r4i1p1f1
2032,290.03859521894776,288.9213356295322,CESM2-WACCM,ssp245,r4i1p1f1
2033,290.1018479082098,288.9647998884552,CESM2-WACCM,ssp245,r4i1p1f1
2034,289.9068203115921,288.77640173299034,CESM2-WACCM,ssp245,r4i1p1f1
2035,289.98303054581936,288.8730116220549,CESM2-WACCM,ssp245,r4i1p1f1
2036,289.9220152927315,288.8240382961972,CESM2-WACCM,ssp245,r4i1p1f1
2037,289.88516689212054,288.7546668644009,CESM2-WACCM,ssp245,r4i1p1f1
2038,289.8625792987608,288.73805003289095,CESM2-WACCM,ssp245,r4i1p1f1
2039,289.879723770811,288.744565716888,CESM2-WACCM,ssp245,r4i1p1f1
2040,289.8423458010789,288.7186622717116,CESM2-WACCM,ssp245,r4i1p1f1
2041,290.1152166867072,288.97204229695024,CESM2-WACCM,ssp245,r4i1p1f1
2042,290.20123361870316,289.0616880925236,CESM2-WACCM,ssp245,r4i1p1f1
2043,289.9694568001665,288.86063043937844,CESM2-WACCM,ssp245,r4i1p1f1
2044,290.05620020172995,288.9283122629264,CESM2-WACCM,ssp245,r4i1p1f1
2045,290.2839439798504,289.1597466242501,CESM2-WACCM,ssp245,r4i1p1f1
2046,290.0957674837322,288.996691957261,CESM2-WACCM,ssp245,r4i1p1f1
2047,290.15320982984343,289.05553787422764,CESM2-WACCM,ssp245,r4i1p1f1
2048,290.49114237120335,289.39847983537993,CESM2-WACCM,ssp245,r4i1p1f1
2049,290.33556264554693,289.24461853211983,CESM2-WACCM,ssp245,r4i1p1f1
2050,290.30213928051944,289.2196460488506,CESM2-WACCM,ssp245,r4i1p1f1
2051,290.27678199209,289.1830393228668,CESM2-WACCM,ssp245,r4i1p1f1
2052,290.4787916704561,289.3826921399099,CESM2-WACCM,ssp245,r4i1p1f1
2053,290.6013370206462,289.5042189828316,CESM2-WACCM,ssp245,r4i1p1f1
2054,290.4260212872646,289.31761002805945,CESM2-WACCM,ssp245,r4i1p1f1
2055,290.54752463048794,289.46681383804923,CESM2-WACCM,ssp245,r4i1p1f1
2056,290.58326022383767,289.4899180231542,CESM2-WACCM,ssp245,r4i1p1f1
2057,290.65905366607205,289.56303831036945,CESM2-WACCM,ssp245,r4i1p1f1
2058,290.57642592293513,289.4696411048043,CESM2-WACCM,ssp245,r4i1p1f1
2059,290.38225581402133,289.2843178318566,CESM2-WACCM,ssp245,r4i1p1f1
2060,290.5525300117305,289.47019970396093,CESM2-WACCM,ssp245,r4i1p1f1
2061,290.613995835934,289.5403808824634,CESM2-WACCM,ssp245,r4i1p1f1
2062,290.67113837744796,289.6292840051357,CESM2-WACCM,ssp245,r4i1p1f1
2063,290.7583461990016,289.6844793950229,CESM2-WACCM,ssp245,r4i1p1f1
2064,290.8494803961736,289.787785677537,CESM2-WACCM,ssp245,r4i1p1f1
2065,290.8090513401337,289.7224246733438,CESM2-WACCM,ssp245,r4i1p1f1
2066,290.92991841511525,289.8310857427218,CESM2-WACCM,ssp245,r4i1p1f1
2067,290.67830108635354,289.58726398383254,CESM2-WACCM,ssp245,r4i1p1f1
2068,290.52978538397826,289.4378770622307,CESM2-WACCM,ssp245,r4i1p1f1
2069,290.81165744481075,289.7295415011323,CESM2-WACCM,ssp245,r4i1p1f1
2070,290.85633619417234,289.80377957260873,CESM2-WACCM,ssp245,r4i1p1f1
2071,290.88744060944697,289.78317897067996,CESM2-WACCM,ssp245,r4i1p1f1
2072,291.04844442575694,289.96059380327,CESM2-WACCM,ssp245,r4i1p1f1
2073,291.0727511308903,289.9902420505459,CESM2-WACCM,ssp245,r4i1p1f1
2074,291.1202554446458,290.03564114595184,CESM2-WACCM,ssp245,r4i1p1f1
2075,290.8065650047816,289.73389248631827,CESM2-WACCM,ssp245,r4i1p1f1
2076,290.9283386993006,289.8543234658602,CESM2-WACCM,ssp245,r4i1p1f1
2077,291.1122664162579,290.02575315177614,CESM2-WACCM,ssp245,r4i1p1f1
2078,290.861723469842,289.77985340043784,CESM2-WACCM,ssp245,r4i1p1f1
