year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.4715155186114,287.30606189737915,CESM2,historical,r9i1p1f1
1851,288.49165366173474,287.31539068702125,CESM2,historical,r9i1p1f1
1852,288.4518652053469,287.2772294209688,CESM2,historical,r9i1p1f1
1853,288.4375920426127,287.24895566645455,CESM2,historical,r9i1p1f1
1854,288.3339866391734,287.13264923816007,CESM2,historical,r9i1p1f1
1855,288.26293160856386,287.08545244045763,CESM2,historical,r9i1p1f1
1856,288.38876374670747,287.18274750144144,CESM2,historical,r9i1p1f1
1857,288.55689290160274,287.3504808793146,CESM2,historical,r9i1p1f1
1858,288.5626250697146,287.35902429828747,CESM2,historical,r9i1p1f1
1859,288.52590347069497,287.3150715005672,CESM2,historical,r9i1p1f1
1860,288.60351058479887,287.42458809429326,CESM2,historical,r9i1p1f1
1861,288.41118700110263,287.26988315419965,CESM2,historical,r9i1p1f1
1862,288.23544285942955,287.0128627004093,CESM2,historical,r9i1p1f1
1863,288.4298025868623,287.21468352329015,CESM2,historical,r9i1p1f1
1864,288.51785510102087,287.30587039950973,CESM2,historical,r9i1p1f1
1865,288.4385354295848,287.21747409186804,CESM2,historical,r9i1p1f1
1866,288.32535006990196,287.1302272308029,CESM2,historical,r9i1p1f1
1867,288.28095825525463,287.07200503854943,CESM2,historical,r9i1p1f1
1868,288.3144870779734,287.1342421730934,CESM2,historical,r9i1p1f1
1869,288.3780749905124,287.19761057958334,CESM2,historical,r9i1p1f1
1870,288.5821202887199,287.3647412795044,CESM2,historical,r9i1p1f1
1871,288.50550725976956,287.31254171484386,CESM2,historical,r9i1p1f1
1872,288.47747611645576,287.2816734769124,CESM2,historical,r9i1p1f1
1873,288.46909351636094,287.2831169407498,CESM2,historical,r9i1p1f1
1874,288.36420851653384,287.1395049018166,CESM2,historical,r9i1p1f1
1875,288.3201346228608,287.1317170707669,CESM2,historical,r9i1p1f1
1876,288.5773025095124,287.38355329889305,CESM2,historical,r9i1p1f1
1877,288.6942834545282,287.50160579577636,CESM2,historical,r9i1p1f1
1878,288.4719618995654,287.2412995568701,CESM2,historical,r9i1p1f1
1879,288.4333164489505,287.2328456390468,CESM2,historical,r9i1p1f1
1880,288.5894709534979,287.4028498527467,CESM2,historical,r9i1p1f1
1881,288.6661890106417,287.4906484241814,CESM2,historical,r9i1p1f1
1882,288.5179367244134,287.3486048707854,CESM2,historical,r9i1p1f1
1883,288.5027931507563,287.3540524509988,CESM2,historical,r9i1p1f1
1884,288.22252070691405,287.05668152810836,CESM2,historical,r9i1p1f1
1885,288.21113202417143,286.99960037030945,CESM2,historical,r9i1p1f1
1886,288.35320486144036,287.14881470953793,CESM2,historical,r9i1p1f1
1887,288.3863704686171,287.1844490951089,CESM2,historical,r9i1p1f1
1888,288.2930448506224,287.1039050846429,CESM2,historical,r9i1p1f1
1889,288.4767786290107,287.2947322953501,CESM2,historical,r9i1p1f1
1890,288.64627389584604,287.44596011997464,CESM2,historical,r9i1p1f1
1891,288.7322642358229,287.50896254380353,CESM2,historical,r9i1p1f1
1892,288.5258710416201,287.30016529731705,CESM2,historical,r9i1p1f1
1893,288.56199633452854,287.32633864816705,CESM2,historical,r9i1p1f1
1894,288.5753413524345,287.37620248044226,CESM2,historical,r9i1p1f1
1895,288.51308311956615,287.3303517595947,CESM2,historical,r9i1p1f1
1896,288.4204956726473,287.2363719438296,CESM2,historical,r9i1p1f1
1897,288.5643189463711,287.359689893109,CESM2,historical,r9i1p1f1
1898,288.660308081647,287.5056334896228,CESM2,historical,r9i1p1f1
1899,288.5826057787602,287.37695011765965,CESM2,historical,r9i1p1f1
1900,288.54112853670375,287.3204657183011,CESM2,historical,r9i1p1f1
1901,288.61905864448136,287.4392427273272,CESM2,historical,r9i1p1f1
1902,288.4868259982948,287.28940689283814,CESM2,historical,r9i1p1f1
1903,288.41214133186566,287.2053193446962,CESM2,historical,r9i1p1f1
1904,288.30005049934465,287.0716121855674,CESM2,historical,r9i1p1f1
1905,288.36844397032394,287.11957476708017,CESM2,historical,r9i1p1f1
1906,288.3661821804583,287.1430876053393,CESM2,historical,r9i1p1f1
1907,288.40360233766836,287.2099200623464,CESM2,historical,r9i1p1f1
1908,288.44723954453815,287.23141636420127,CESM2,historical,r9i1p1f1
1909,288.3951602292914,287.2469953560943,CESM2,historical,r9i1p1f1
1910,288.336793938756,287.11832478534427,CESM2,historical,r9i1p1f1
1911,288.31132033078194,287.1115660600152,CESM2,historical,r9i1p1f1
1912,288.28171738675724,287.0829938918487,CESM2,historical,r9i1p1f1
1913,288.43694072712105,287.2289416402417,CESM2,historical,r9i1p1f1
1914,288.423849534123,287.2571845828255,CESM2,historical,r9i1p1f1
1915,288.33875574226124,287.15620598163855,CESM2,historical,r9i1p1f1
1916,288.48207758535517,287.297330970753,CESM2,historical,r9i1p1f1
1917,288.4404802769758,287.23504722759577,CESM2,historical,r9i1p1f1
1918,288.30580072230686,287.11994923257805,CESM2,historical,r9i1p1f1
1919,288.33309536315386,287.1283106208625,CESM2,historical,r9i1p1f1
1920,288.374650315836,287.1619041856653,CESM2,historical,r9i1p1f1
1921,288.5386835577545,287.35656910564785,CESM2,historical,r9i1p1f1
1922,288.5641429288982,287.3893002174152,CESM2,historical,r9i1p1f1
1923,288.3990686266913,287.23556861835226,CESM2,historical,r9i1p1f1
1924,288.4901918673215,287.3055731547874,CESM2,historical,r9i1p1f1
1925,288.7044072002883,287.4888040688773,CESM2,historical,r9i1p1f1
1926,288.63521206250044,287.4362527191752,CESM2,historical,r9i1p1f1
1927,288.4856314504954,287.28920221437784,CESM2,historical,r9i1p1f1
1928,288.46670149703476,287.2587551060485,CESM2,historical,r9i1p1f1
1929,288.48634319171606,287.3129275921909,CESM2,historical,r9i1p1f1
