year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.43142027202896,287.26785234374665,CIESM,historical,r2i1p1f1
1851,288.52273374293304,287.4195848146001,CIESM,historical,r2i1p1f1
1852,288.5190510841193,287.43567552139126,CIESM,historical,r2i1p1f1
1853,288.53556303206716,287.45907363263683,CIESM,historical,r2i1p1f1
1854,288.48059087521017,287.4116884933768,CIESM,historical,r2i1p1f1
1855,288.53298772313445,287.41672372179664,CIESM,historical,r2i1p1f1
1856,288.4676399580512,287.3116650445105,CIESM,historical,r2i1p1f1
1857,288.47212444675733,287.3583914865253,CIESM,historical,r2i1p1f1
1858,288.4534130450077,287.32151529122865,CIESM,historical,r2i1p1f1
1859,288.4925657191901,287.39318371340124,CIESM,historical,r2i1p1f1
1860,288.42458075321963,287.2948720156159,CIESM,historical,r2i1p1f1
1861,288.50755657378085,287.4057101143971,CIESM,historical,r2i1p1f1
1862,288.39140855902656,287.2735884809338,CIESM,historical,r2i1p1f1
1863,288.38923510039774,287.2783879701012,CIESM,historical,r2i1p1f1
1864,288.48766980203254,287.37853600270296,CIESM,historical,r2i1p1f1
1865,288.55168525654756,287.4347929101647,CIESM,historical,r2i1p1f1
1866,288.4614326853943,287.35242536552647,CIESM,historical,r2i1p1f1
1867,288.5560316066405,287.43971922419,CIESM,historical,r2i1p1f1
1868,288.6046320470827,287.45943798247794,CIESM,historical,r2i1p1f1
1869,288.5640516049099,287.4160183479986,CIESM,historical,r2i1p1f1
1870,288.51938725292695,287.36658904923456,CIESM,historical,r2i1p1f1
1871,288.5597827040737,287.3787120326101,CIESM,historical,r2i1p1f1
1872,288.50908649573444,287.37500209785173,CIESM,historical,r2i1p1f1
1873,288.5929948949408,287.474945500785,CIESM,historical,r2i1p1f1
1874,288.69105525822584,287.5644595904068,CIESM,historical,r2i1p1f1
1875,288.49473044538337,287.3884122011316,CIESM,historical,r2i1p1f1
1876,288.51680712797554,287.41540582858636,CIESM,historical,r2i1p1f1
1877,288.5524472068265,287.4690608059458,CIESM,historical,r2i1p1f1
1878,288.6451716415549,287.52273470738754,CIESM,historical,r2i1p1f1
1879,288.74005262991034,287.64727823299825,CIESM,historical,r2i1p1f1
1880,288.58388516936157,287.4900109948302,CIESM,historical,r2i1p1f1
1881,288.56666435875303,287.4408023653002,CIESM,historical,r2i1p1f1
1882,288.6071590099775,287.47571740633225,CIESM,historical,r2i1p1f1
1883,288.638986549962,287.5520317222939,CIESM,historical,r2i1p1f1
1884,288.41842564177074,287.29223583801746,CIESM,historical,r2i1p1f1
1885,288.50734428863706,287.3588250374964,CIESM,historical,r2i1p1f1
