year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.934288691451,288.76570293826455,CIESM,ssp126,r1i1p1f1
2016,290.0473031923301,288.8875342781943,CIESM,ssp126,r1i1p1f1
2017,290.176135928381,289.05734490668596,CIESM,ssp126,r1i1p1f1
2018,290.03818628322813,288.89094800676264,CIESM,ssp126,r1i1p1f1
2019,289.9831516582548,288.8638202180603,CIESM,ssp126,r1i1p1f1
2020,290.1636637181949,289.073546358337,CIESM,ssp126,r1i1p1f1
2021,290.340821004859,289.22860248549415,CIESM,ssp126,r1i1p1f1
2022,290.16848304321456,289.0267123037914,CIESM,ssp126,r1i1p1f1
2023,290.20955294991944,289.09238907009876,CIESM,ssp126,r1i1p1f1
2024,290.30746251026204,289.16895861187896,CIESM,ssp126,r1i1p1f1
2025,290.32456470384426,289.20305379272656,CIESM,ssp126,r1i1p1f1
2026,290.4457628459145,289.36321015536356,CIESM,ssp126,r1i1p1f1
2027,290.1469567611486,289.02027176810464,CIESM,ssp126,r1i1p1f1
2028,290.26634902652535,289.1673299991932,CIESM,ssp126,r1i1p1f1
2029,290.46604558658504,289.3715871014531,CIESM,ssp126,r1i1p1f1
2030,290.3473048414014,289.2272080132078,CIESM,ssp126,r1i1p1f1
2031,290.52024489296684,289.3674560146199,CIESM,ssp126,r1i1p1f1
2032,290.48926400260655,289.3558710745215,CIESM,ssp126,r1i1p1f1
2033,290.5502576526756,289.40942763046735,CIESM,ssp126,r1i1p1f1
2034,290.56111992355284,289.4735582682068,CIESM,ssp126,r1i1p1f1
2035,290.48032352687574,289.31695718676434,CIESM,ssp126,r1i1p1f1
2036,290.58735869204696,289.48537269285293,CIESM,ssp126,r1i1p1f1
2037,290.5875914871005,289.46724838437456,CIESM,ssp126,r1i1p1f1
2038,290.61320068168686,289.5239135301033,CIESM,ssp126,r1i1p1f1
2039,290.53207550280916,289.4584734073974,CIESM,ssp126,r1i1p1f1
2040,290.5945079398151,289.5053814447818,CIESM,ssp126,r1i1p1f1
2041,290.71375061609706,289.607449460183,CIESM,ssp126,r1i1p1f1
2042,290.5469221199292,289.4388066841861,CIESM,ssp126,r1i1p1f1
2043,290.47535637987323,289.3689526890522,CIESM,ssp126,r1i1p1f1
2044,290.57274177714896,289.45977972831565,CIESM,ssp126,r1i1p1f1
2045,290.6159920567174,289.5312931888077,CIESM,ssp126,r1i1p1f1
2046,290.4207309997324,289.2884119122171,CIESM,ssp126,r1i1p1f1
2047,290.52379983103896,289.46396996807397,CIESM,ssp126,r1i1p1f1
2048,290.75115181497364,289.6894030467081,CIESM,ssp126,r1i1p1f1
2049,290.5725306332622,289.49916846865375,CIESM,ssp126,r1i1p1f1
2050,290.59601201532587,289.48115560548473,CIESM,ssp126,r1i1p1f1
2051,290.727454201908,289.6113381228792,CIESM,ssp126,r1i1p1f1
2052,290.6834373086471,289.56477385666795,CIESM,ssp126,r1i1p1f1
2053,290.60693342341574,289.49663797435403,CIESM,ssp126,r1i1p1f1
2054,290.5543396788251,289.4752065386954,CIESM,ssp126,r1i1p1f1
2055,290.5740120501491,289.4858639908784,CIESM,ssp126,r1i1p1f1
2056,290.6853332923042,289.5732065676313,CIESM,ssp126,r1i1p1f1
2057,290.6559168690259,289.54560527212914,CIESM,ssp126,r1i1p1f1
2058,290.64749412928774,289.5450402377744,CIESM,ssp126,r1i1p1f1
2059,290.7127135751737,289.629592903053,CIESM,ssp126,r1i1p1f1
2060,290.62506197606723,289.5480399485376,CIESM,ssp126,r1i1p1f1
2061,290.6128683822115,289.5092806387908,CIESM,ssp126,r1i1p1f1
2062,290.6947304436733,289.6073145804006,CIESM,ssp126,r1i1p1f1
2063,290.82447585230824,289.74602440964196,CIESM,ssp126,r1i1p1f1
2064,290.6042931970125,289.51686144156105,CIESM,ssp126,r1i1p1f1
2065,290.7435521278585,289.6676170952265,CIESM,ssp126,r1i1p1f1
2066,290.8907506597994,289.81497346919423,CIESM,ssp126,r1i1p1f1
2067,290.8582009302027,289.767256576503,CIESM,ssp126,r1i1p1f1
2068,290.6152112248687,289.5153859490396,CIESM,ssp126,r1i1p1f1
2069,290.6816728424359,289.56189413326643,CIESM,ssp126,r1i1p1f1
2070,290.89957963537756,289.74057172176,CIESM,ssp126,r1i1p1f1
2071,290.6138827620042,289.45573514590643,CIESM,ssp126,r1i1p1f1
2072,290.6297713495415,289.4939951121014,CIESM,ssp126,r1i1p1f1
2073,290.7049944942409,289.56741145365964,CIESM,ssp126,r1i1p1f1
2074,290.80815597623376,289.7147434951994,CIESM,ssp126,r1i1p1f1
2075,290.65572210504257,289.5414259934318,CIESM,ssp126,r1i1p1f1
2076,290.7461842472114,289.6560383817162,CIESM,ssp126,r1i1p1f1
2077,290.8773756713379,289.7943891632342,CIESM,ssp126,r1i1p1f1
2078,290.66278323975047,289.56124054361663,CIESM,ssp126,r1i1p1f1
2079,290.7805671596443,289.6971698335384,CIESM,ssp126,r1i1p1f1
2080,290.89579632468644,289.8090165795673,CIESM,ssp126,r1i1p1f1
2081,290.5070289116012,289.4435999916878,CIESM,ssp126,r1i1p1f1
2082,290.5751366675167,289.51154710993194,CIESM,ssp126,r1i1p1f1
2083,290.7803279125665,289.68724784294545,CIESM,ssp126,r1i1p1f1
2084,290.67561268276546,289.5867633279425,CIESM,ssp126,r1i1p1f1
2085,290.64325065015095,289.54574267908595,CIESM,ssp126,r1i1p1f1
2086,290.7858201341577,289.69548865440646,CIESM,ssp126,r1i1p1f1
2087,290.7813673682054,289.70115932906907,CIESM,ssp126,r1i1p1f1
2088,290.64861507337383,289.5404028330347,CIESM,ssp126,r1i1p1f1
2089,290.77313244566193,289.65536480864824,CIESM,ssp126,r1i1p1f1
2090,290.7729102101781,289.6456263566307,CIESM,ssp126,r1i1p1f1
2091,290.57088953298023,289.43365122869216,CIESM,ssp126,r1i1p1f1
2092,290.60892944766,289.4511426997356,CIESM,ssp126,r1i1p1f1
2093,290.7742003026974,289.6473071642962,CIESM,ssp126,r1i1p1f1
2094,290.85065032943277,289.7136638606105,CIESM,ssp126,r1i1p1f1
2095,290.5974685268741,289.4471232064048,CIESM,ssp126,r1i1p1f1
2096,290.62233812255886,289.4952021461365,CIESM,ssp126,r1i1p1f1
2097,290.83712008884515,289.73224875474773,CIESM,ssp126,r1i1p1f1
2098,290.6901643763497,289.55222618920266,CIESM,ssp126,r1i1p1f1
2099,290.7145818961415,289.58034523078487,CIESM,ssp126,r1i1p1f1
2100,290.7010886462813,289.5874402281751,CIESM,ssp126,r1i1p1f1
