year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.5209404719268,287.2869345366931,CMCC-CM2-HR4,historical,r1i1p1f1
1851,288.49308415280024,287.298242166367,CMCC-CM2-HR4,historical,r1i1p1f1
1852,288.5600494284816,287.37907470153976,CMCC-CM2-HR4,historical,r1i1p1f1
1853,288.66021991622193,287.4362851171301,CMCC-CM2-HR4,historical,r1i1p1f1
1854,288.50757741652126,287.2827299964628,CMCC-CM2-HR4,historical,r1i1p1f1
1855,288.46519554117475,287.25656104628416,CMCC-CM2-HR4,historical,r1i1p1f1
1856,288.4894510868601,287.26482459347454,CMCC-CM2-HR4,historical,r1i1p1f1
1857,288.38852012196196,287.1538211058721,CMCC-CM2-HR4,historical,r1i1p1f1
1858,288.4465659024654,287.2496894083778,CMCC-CM2-HR4,historical,r1i1p1f1
1859,288.52949442577096,287.33862644683916,CMCC-CM2-HR4,historical,r1i1p1f1
1860,288.62204346483645,287.4437119961444,CMCC-CM2-HR4,historical,r1i1p1f1
1861,288.61302385802793,287.4069291641797,CMCC-CM2-HR4,historical,r1i1p1f1
1862,288.668335043324,287.46838911952494,CMCC-CM2-HR4,historical,r1i1p1f1
1863,288.50256602837567,287.3006789645863,CMCC-CM2-HR4,historical,r1i1p1f1
1864,288.42383231733504,287.2346137080527,CMCC-CM2-HR4,historical,r1i1p1f1
1865,288.5111319802273,287.327890987483,CMCC-CM2-HR4,historical,r1i1p1f1
1866,288.5091471410298,287.3031562153971,CMCC-CM2-HR4,historical,r1i1p1f1
1867,288.4270528274061,287.23736036682624,CMCC-CM2-HR4,historical,r1i1p1f1
1868,288.39347545045996,287.2020933967399,CMCC-CM2-HR4,historical,r1i1p1f1
1869,288.5274743248966,287.3235674617142,CMCC-CM2-HR4,historical,r1i1p1f1
1870,288.6018353336202,287.39024804759896,CMCC-CM2-HR4,historical,r1i1p1f1
1871,288.67013031513017,287.4599656569136,CMCC-CM2-HR4,historical,r1i1p1f1
1872,288.51796482863944,287.2993776758366,CMCC-CM2-HR4,historical,r1i1p1f1
1873,288.47353978360667,287.2674418373813,CMCC-CM2-HR4,historical,r1i1p1f1
1874,288.5820384211453,287.3862962462714,CMCC-CM2-HR4,historical,r1i1p1f1
1875,288.5375504242547,287.3445539934624,CMCC-CM2-HR4,historical,r1i1p1f1
1876,288.53006249502573,287.29813929232324,CMCC-CM2-HR4,historical,r1i1p1f1
1877,288.4674260918196,287.25370780987583,CMCC-CM2-HR4,historical,r1i1p1f1
1878,288.38689736066027,287.2009092069506,CMCC-CM2-HR4,historical,r1i1p1f1
1879,288.4233891206037,287.2349538414922,CMCC-CM2-HR4,historical,r1i1p1f1
1880,288.6299881716615,287.3965786686524,CMCC-CM2-HR4,historical,r1i1p1f1
1881,288.6071874901425,287.348550273948,CMCC-CM2-HR4,historical,r1i1p1f1
1882,288.4418724598324,287.2370714357237,CMCC-CM2-HR4,historical,r1i1p1f1
1883,288.3830372430077,287.1447698684357,CMCC-CM2-HR4,historical,r1i1p1f1
1884,288.0481691117409,286.8275978690591,CMCC-CM2-HR4,historical,r1i1p1f1
1885,288.2058225647965,287.0015766236108,CMCC-CM2-HR4,historical,r1i1p1f1
1886,288.233583955085,287.00541571002844,CMCC-CM2-HR4,historical,r1i1p1f1
1887,288.24777557629216,287.026555472563,CMCC-CM2-HR4,historical,r1i1p1f1
1888,288.39038003621727,287.16609818888355,CMCC-CM2-HR4,historical,r1i1p1f1
1889,288.46832362830804,287.2327971591448,CMCC-CM2-HR4,historical,r1i1p1f1
1890,288.4831351468819,287.2690469739615,CMCC-CM2-HR4,historical,r1i1p1f1
1891,288.30272503143436,287.1022759998726,CMCC-CM2-HR4,historical,r1i1p1f1
1892,288.2667446197356,287.08121090508536,CMCC-CM2-HR4,historical,r1i1p1f1
1893,288.44117770784146,287.25494942435887,CMCC-CM2-HR4,historical,r1i1p1f1
1894,288.43442399555283,287.22142856681137,CMCC-CM2-HR4,historical,r1i1p1f1
1895,288.5512844897156,287.37969468553456,CMCC-CM2-HR4,historical,r1i1p1f1
1896,288.5142546180645,287.31531977550617,CMCC-CM2-HR4,historical,r1i1p1f1
1897,288.57515200173634,287.3819464275673,CMCC-CM2-HR4,historical,r1i1p1f1
1898,288.3796358600192,287.1696389274246,CMCC-CM2-HR4,historical,r1i1p1f1
1899,288.4394707922931,287.26931825794446,CMCC-CM2-HR4,historical,r1i1p1f1
1900,288.5525895103861,287.37159846379825,CMCC-CM2-HR4,historical,r1i1p1f1
1901,288.5769225058876,287.39961798555584,CMCC-CM2-HR4,historical,r1i1p1f1
1902,288.56817178492213,287.3847990706287,CMCC-CM2-HR4,historical,r1i1p1f1
1903,288.0466145240677,286.8778079386185,CMCC-CM2-HR4,historical,r1i1p1f1
1904,288.14496189866486,286.9470183133314,CMCC-CM2-HR4,historical,r1i1p1f1
1905,288.43973094665824,287.2337221654199,CMCC-CM2-HR4,historical,r1i1p1f1
1906,288.3815043343296,287.17363552227874,CMCC-CM2-HR4,historical,r1i1p1f1
1907,288.3857462992236,287.1698513645152,CMCC-CM2-HR4,historical,r1i1p1f1
1908,288.3792335266941,287.1859180930942,CMCC-CM2-HR4,historical,r1i1p1f1
1909,288.46806577255506,287.30373878292363,CMCC-CM2-HR4,historical,r1i1p1f1
1910,288.65764005721616,287.45050268973284,CMCC-CM2-HR4,historical,r1i1p1f1
1911,288.7051785345917,287.4985335298622,CMCC-CM2-HR4,historical,r1i1p1f1
1912,288.5854243565582,287.3997940814552,CMCC-CM2-HR4,historical,r1i1p1f1
1913,288.48598824052783,287.29828480991523,CMCC-CM2-HR4,historical,r1i1p1f1
1914,288.4895033030036,287.2859938297043,CMCC-CM2-HR4,historical,r1i1p1f1
1915,288.412561721835,287.24462362285533,CMCC-CM2-HR4,historical,r1i1p1f1
1916,288.46849269213897,287.27931376982735,CMCC-CM2-HR4,historical,r1i1p1f1
1917,288.5534039488687,287.37198552075824,CMCC-CM2-HR4,historical,r1i1p1f1
1918,288.51673041493916,287.32736770955563,CMCC-CM2-HR4,historical,r1i1p1f1
1919,288.55594073958093,287.36984089491654,CMCC-CM2-HR4,historical,r1i1p1f1
1920,288.6174237575261,287.44708462915486,CMCC-CM2-HR4,historical,r1i1p1f1
1921,288.633299558912,287.4602153021794,CMCC-CM2-HR4,historical,r1i1p1f1
1922,288.6335989193209,287.4594066340117,CMCC-CM2-HR4,historical,r1i1p1f1
1923,288.67735004313556,287.4700497463737,CMCC-CM2-HR4,historical,r1i1p1f1
1924,288.50115982848797,287.2840122210579,CMCC-CM2-HR4,historical,r1i1p1f1
1925,288.5309141006333,287.3226478861818,CMCC-CM2-HR4,historical,r1i1p1f1
1926,288.61277307116853,287.4090753849397,CMCC-CM2-HR4,historical,r1i1p1f1
1927,288.58257311198474,287.370697826665,CMCC-CM2-HR4,historical,r1i1p1f1
1928,288.6123873177839,287.3949973383855,CMCC-CM2-HR4,historical,r1i1p1f1
1929,288.66442926492095,287.44435895687803,CMCC-CM2-HR4,historical,r1i1p1f1
1930,288.5979896236738,287.4048129209978,CMCC-CM2-HR4,historical,r1i1p1f1
1931,288.6967989695141,287.49643265569364,CMCC-CM2-HR4,historical,r1i1p1f1
1932,288.6870799943069,287.47214654879417,CMCC-CM2-HR4,historical,r1i1p1f1
1933,288.49892590336094,287.3236045031945,CMCC-CM2-HR4,historical,r1i1p1f1
1934,288.55967471741576,287.36014984563656,CMCC-CM2-HR4,historical,r1i1p1f1
1935,288.7095505537971,287.5161461193831,CMCC-CM2-HR4,historical,r1i1p1f1
1936,288.75069504864814,287.5504197742271,CMCC-CM2-HR4,historical,r1i1p1f1
1937,288.6868689375566,287.50489651293515,CMCC-CM2-HR4,historical,r1i1p1f1
1938,288.63549455541073,287.4249040709023,CMCC-CM2-HR4,historical,r1i1p1f1
1939,288.70314795309093,287.5319040562967,CMCC-CM2-HR4,historical,r1i1p1f1
1940,288.71344915977954,287.54311586755,CMCC-CM2-HR4,historical,r1i1p1f1
1941,288.6788327281835,287.50410500675036,CMCC-CM2-HR4,historical,r1i1p1f1
1942,288.6418415255636,287.4516091457045,CMCC-CM2-HR4,historical,r1i1p1f1
1943,288.5792824409604,287.38147124853134,CMCC-CM2-HR4,historical,r1i1p1f1
1944,288.5791311901013,287.3591019466661,CMCC-CM2-HR4,historical,r1i1p1f1
1945,288.762003059082,287.5837319940671,CMCC-CM2-HR4,historical,r1i1p1f1
1946,288.91179349217765,287.731859348812,CMCC-CM2-HR4,historical,r1i1p1f1
1947,288.7730081415245,287.58406931927476,CMCC-CM2-HR4,historical,r1i1p1f1
1948,288.61307136749815,287.4299080916966,CMCC-CM2-HR4,historical,r1i1p1f1
1949,288.7183302158102,287.53886469956143,CMCC-CM2-HR4,historical,r1i1p1f1
1950,288.68129927554645,287.48894150420506,CMCC-CM2-HR4,historical,r1i1p1f1
1951,288.90662865534773,287.7266172139959,CMCC-CM2-HR4,historical,r1i1p1f1
1952,288.82276686684554,287.66052784639044,CMCC-CM2-HR4,historical,r1i1p1f1
1953,288.5721842489125,287.37411533785274,CMCC-CM2-HR4,historical,r1i1p1f1
1954,288.63013244136886,287.4253967693547,CMCC-CM2-HR4,historical,r1i1p1f1
1955,288.6401384071823,287.467227508679,CMCC-CM2-HR4,historical,r1i1p1f1
1956,288.7193026057826,287.52647451963065,CMCC-CM2-HR4,historical,r1i1p1f1
1957,288.75320459099714,287.533858366787,CMCC-CM2-HR4,historical,r1i1p1f1
