year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.35961805704,287.2110370365919,CMCC-CM2-SR5,historical,r1i1p1f1
1851,288.3888337133748,287.2655940636957,CMCC-CM2-SR5,historical,r1i1p1f1
1852,288.231387408906,287.1321322475527,CMCC-CM2-SR5,historical,r1i1p1f1
1853,288.51400421171707,287.4136692397052,CMCC-CM2-SR5,historical,r1i1p1f1
1854,288.44550813810827,287.36688047638097,CMCC-CM2-SR5,historical,r1i1p1f1
1855,288.4801338950411,287.366876060556,CMCC-CM2-SR5,historical,r1i1p1f1
1856,288.56105355093365,287.4578218441421,CMCC-CM2-SR5,historical,r1i1p1f1
1857,288.55377154093605,287.4847953009813,CMCC-CM2-SR5,historical,r1i1p1f1
1858,288.5221475483724,287.4359704445315,CMCC-CM2-SR5,historical,r1i1p1f1
1859,288.47344547039046,287.3547977738372,CMCC-CM2-SR5,historical,r1i1p1f1
1860,288.4405830887253,287.3150586390114,CMCC-CM2-SR5,historical,r1i1p1f1
1861,288.4329549485207,287.3202693814305,CMCC-CM2-SR5,historical,r1i1p1f1
1862,288.42809789492037,287.3365905617107,CMCC-CM2-SR5,historical,r1i1p1f1
1863,288.2301419122611,287.1500308286199,CMCC-CM2-SR5,historical,r1i1p1f1
1864,288.15527642771093,287.05989710920664,CMCC-CM2-SR5,historical,r1i1p1f1
1865,288.21021524203127,287.12258182344726,CMCC-CM2-SR5,historical,r1i1p1f1
1866,288.11161757837965,287.00723755863356,CMCC-CM2-SR5,historical,r1i1p1f1
1867,288.2755611143417,287.18817688242433,CMCC-CM2-SR5,historical,r1i1p1f1
1868,288.3587761989561,287.2711033144216,CMCC-CM2-SR5,historical,r1i1p1f1
1869,288.571186621209,287.48750422927134,CMCC-CM2-SR5,historical,r1i1p1f1
1870,288.48447666324137,287.41153313969943,CMCC-CM2-SR5,historical,r1i1p1f1
1871,288.36516877310385,287.2890927839312,CMCC-CM2-SR5,historical,r1i1p1f1
1872,288.4092407574186,287.33035240616454,CMCC-CM2-SR5,historical,r1i1p1f1
1873,288.39434523450404,287.3278329748612,CMCC-CM2-SR5,historical,r1i1p1f1
1874,288.39525580492904,287.3106266629729,CMCC-CM2-SR5,historical,r1i1p1f1
1875,288.30462054501123,287.25548316015016,CMCC-CM2-SR5,historical,r1i1p1f1
1876,288.2302584151693,287.1656696201361,CMCC-CM2-SR5,historical,r1i1p1f1
1877,288.2361224114167,287.1700344598881,CMCC-CM2-SR5,historical,r1i1p1f1
1878,288.3491244197015,287.2590544211337,CMCC-CM2-SR5,historical,r1i1p1f1
1879,288.30195495618625,287.21554576053893,CMCC-CM2-SR5,historical,r1i1p1f1
1880,288.2386434256813,287.14002082554003,CMCC-CM2-SR5,historical,r1i1p1f1
1881,288.327906015235,287.2461917118681,CMCC-CM2-SR5,historical,r1i1p1f1
1882,288.31518383407274,287.2238212787274,CMCC-CM2-SR5,historical,r1i1p1f1
1883,288.084258141969,286.99311951113225,CMCC-CM2-SR5,historical,r1i1p1f1
1884,287.8624588004145,286.75084212009784,CMCC-CM2-SR5,historical,r1i1p1f1
1885,288.11419862901226,287.02198272990273,CMCC-CM2-SR5,historical,r1i1p1f1
1886,288.18195654101487,287.0729799834431,CMCC-CM2-SR5,historical,r1i1p1f1
1887,288.021461388047,286.9215764330001,CMCC-CM2-SR5,historical,r1i1p1f1
1888,288.03658944602586,286.9253448469854,CMCC-CM2-SR5,historical,r1i1p1f1
1889,288.0798626758113,286.9845490913581,CMCC-CM2-SR5,historical,r1i1p1f1
1890,288.0397977039772,286.92550172405925,CMCC-CM2-SR5,historical,r1i1p1f1
1891,288.0721438337278,286.9514757050079,CMCC-CM2-SR5,historical,r1i1p1f1
1892,288.1951157533038,287.09968639247035,CMCC-CM2-SR5,historical,r1i1p1f1
1893,288.3530247999918,287.2763456257485,CMCC-CM2-SR5,historical,r1i1p1f1
1894,288.4812334715017,287.3967166903029,CMCC-CM2-SR5,historical,r1i1p1f1
1895,288.1618531418406,287.0882509967451,CMCC-CM2-SR5,historical,r1i1p1f1
1896,288.0352667456128,286.9501944483656,CMCC-CM2-SR5,historical,r1i1p1f1
1897,288.1592378171088,287.0906452795913,CMCC-CM2-SR5,historical,r1i1p1f1
1898,288.1868326028271,287.1169708564837,CMCC-CM2-SR5,historical,r1i1p1f1
1899,288.33722226236483,287.26638060908687,CMCC-CM2-SR5,historical,r1i1p1f1
1900,288.40848085233097,287.3315482906484,CMCC-CM2-SR5,historical,r1i1p1f1
1901,288.5085491132115,287.4379490614837,CMCC-CM2-SR5,historical,r1i1p1f1
1902,288.39526782754075,287.3295352410201,CMCC-CM2-SR5,historical,r1i1p1f1
1903,288.1089290510125,286.9952732315163,CMCC-CM2-SR5,historical,r1i1p1f1
1904,288.1252017341822,287.0283234031272,CMCC-CM2-SR5,historical,r1i1p1f1
1905,288.1275726015523,287.009798670358,CMCC-CM2-SR5,historical,r1i1p1f1
1906,288.1849760714912,287.0925057619201,CMCC-CM2-SR5,historical,r1i1p1f1
1907,288.27043893313197,287.1615484112017,CMCC-CM2-SR5,historical,r1i1p1f1
1908,288.2040934262348,287.1271414034317,CMCC-CM2-SR5,historical,r1i1p1f1
1909,288.4774805705952,287.4096111622183,CMCC-CM2-SR5,historical,r1i1p1f1
1910,288.59405485239404,287.4786012591965,CMCC-CM2-SR5,historical,r1i1p1f1
1911,288.35301761598737,287.26074015516053,CMCC-CM2-SR5,historical,r1i1p1f1
1912,288.20725087180955,287.1411236431245,CMCC-CM2-SR5,historical,r1i1p1f1
1913,288.1160837618725,287.0391972283122,CMCC-CM2-SR5,historical,r1i1p1f1
1914,288.2545977972858,287.15037787089614,CMCC-CM2-SR5,historical,r1i1p1f1
1915,288.2817607051669,287.18716982674283,CMCC-CM2-SR5,historical,r1i1p1f1
1916,288.4859940491639,287.3996222032502,CMCC-CM2-SR5,historical,r1i1p1f1
1917,288.4379746173227,287.37151096054265,CMCC-CM2-SR5,historical,r1i1p1f1
1918,288.3954026956696,287.3373142229807,CMCC-CM2-SR5,historical,r1i1p1f1
1919,288.41569047041344,287.35056448483147,CMCC-CM2-SR5,historical,r1i1p1f1
1920,288.4702048030565,287.36168842258763,CMCC-CM2-SR5,historical,r1i1p1f1
1921,288.6371086831121,287.5719667944606,CMCC-CM2-SR5,historical,r1i1p1f1
1922,288.63240859399906,287.56532779444063,CMCC-CM2-SR5,historical,r1i1p1f1
1923,288.4022318140203,287.33542910458533,CMCC-CM2-SR5,historical,r1i1p1f1
1924,288.3337322458727,287.20802209743556,CMCC-CM2-SR5,historical,r1i1p1f1
1925,288.36585591731495,287.27211392960794,CMCC-CM2-SR5,historical,r1i1p1f1
1926,288.3963480750139,287.30910334803144,CMCC-CM2-SR5,historical,r1i1p1f1
1927,288.52780322475047,287.41646892361837,CMCC-CM2-SR5,historical,r1i1p1f1
1928,288.583304256325,287.4755259108138,CMCC-CM2-SR5,historical,r1i1p1f1
1929,288.5649592616276,287.50332842863037,CMCC-CM2-SR5,historical,r1i1p1f1
1930,288.5134672914472,287.4327126786994,CMCC-CM2-SR5,historical,r1i1p1f1
1931,288.35708204039094,287.2846742589179,CMCC-CM2-SR5,historical,r1i1p1f1
1932,288.41116397576025,287.3128214131147,CMCC-CM2-SR5,historical,r1i1p1f1
1933,288.36800762289045,287.2799670590441,CMCC-CM2-SR5,historical,r1i1p1f1
1934,288.43412240780816,287.3169037797832,CMCC-CM2-SR5,historical,r1i1p1f1
1935,288.5007743091447,287.4114698565451,CMCC-CM2-SR5,historical,r1i1p1f1
1936,288.5373720174022,287.46384556762797,CMCC-CM2-SR5,historical,r1i1p1f1
1937,288.4927320397431,287.40926106045225,CMCC-CM2-SR5,historical,r1i1p1f1
1938,288.34120792167806,287.2212547582196,CMCC-CM2-SR5,historical,r1i1p1f1
1939,288.35391013698023,287.25529423184236,CMCC-CM2-SR5,historical,r1i1p1f1
