year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.56807460355236,288.60518428531674,CMCC-CM2-SR5,ssp126,r1i1p1f1
2016,289.7314059768838,288.7657805053298,CMCC-CM2-SR5,ssp126,r1i1p1f1
2017,289.6891455896009,288.719532797131,CMCC-CM2-SR5,ssp126,r1i1p1f1
2018,289.56195253802144,288.567926814554,CMCC-CM2-SR5,ssp126,r1i1p1f1
2019,289.5018461251255,288.51241272573156,CMCC-CM2-SR5,ssp126,r1i1p1f1
2020,289.5853283606824,288.5699658264365,CMCC-CM2-SR5,ssp126,r1i1p1f1
2021,289.7242850162981,288.7163561084418,CMCC-CM2-SR5,ssp126,r1i1p1f1
2022,289.74341477352556,288.7482831501616,CMCC-CM2-SR5,ssp126,r1i1p1f1
2023,289.40369454491355,288.399285682484,CMCC-CM2-SR5,ssp126,r1i1p1f1
2024,289.37739292151196,288.3533310933896,CMCC-CM2-SR5,ssp126,r1i1p1f1
2025,289.49179418782944,288.4672107917088,CMCC-CM2-SR5,ssp126,r1i1p1f1
2026,289.6789898654692,288.688409821771,CMCC-CM2-SR5,ssp126,r1i1p1f1
2027,289.9357609985767,288.9565514137288,CMCC-CM2-SR5,ssp126,r1i1p1f1
2028,290.12762366434544,289.15344288284325,CMCC-CM2-SR5,ssp126,r1i1p1f1
2029,290.0016250906065,289.05364038717386,CMCC-CM2-SR5,ssp126,r1i1p1f1
2030,289.7811631939764,288.78710466758423,CMCC-CM2-SR5,ssp126,r1i1p1f1
2031,289.73612660301944,288.7595521223151,CMCC-CM2-SR5,ssp126,r1i1p1f1
2032,289.8118291739664,288.8771513397294,CMCC-CM2-SR5,ssp126,r1i1p1f1
2033,290.07255949211304,289.1350144697817,CMCC-CM2-SR5,ssp126,r1i1p1f1
2034,290.10996292000425,289.1752033814222,CMCC-CM2-SR5,ssp126,r1i1p1f1
2035,290.0077369722098,289.0645869261593,CMCC-CM2-SR5,ssp126,r1i1p1f1
2036,290.1386514958915,289.20114935947873,CMCC-CM2-SR5,ssp126,r1i1p1f1
2037,290.17471584013884,289.2679975213357,CMCC-CM2-SR5,ssp126,r1i1p1f1
2038,290.12920147967077,289.2346874547089,CMCC-CM2-SR5,ssp126,r1i1p1f1
2039,290.22211266844965,289.3070442568282,CMCC-CM2-SR5,ssp126,r1i1p1f1
2040,290.164808620543,289.2392577264396,CMCC-CM2-SR5,ssp126,r1i1p1f1
2041,290.1863071491268,289.2374301812314,CMCC-CM2-SR5,ssp126,r1i1p1f1
2042,290.2469094569162,289.2888782949466,CMCC-CM2-SR5,ssp126,r1i1p1f1
2043,290.23399814612196,289.3156745518506,CMCC-CM2-SR5,ssp126,r1i1p1f1
2044,290.19853831639495,289.2941263486568,CMCC-CM2-SR5,ssp126,r1i1p1f1
2045,290.36254055397836,289.4500165462373,CMCC-CM2-SR5,ssp126,r1i1p1f1
2046,290.5234395274748,289.62372968859614,CMCC-CM2-SR5,ssp126,r1i1p1f1
2047,290.4293939027867,289.5342656667469,CMCC-CM2-SR5,ssp126,r1i1p1f1
2048,290.43360649811035,289.54541742061593,CMCC-CM2-SR5,ssp126,r1i1p1f1
2049,290.5717702764989,289.7060378881151,CMCC-CM2-SR5,ssp126,r1i1p1f1
2050,290.56076545038144,289.6682077067608,CMCC-CM2-SR5,ssp126,r1i1p1f1
2051,290.59036466026754,289.71363555907527,CMCC-CM2-SR5,ssp126,r1i1p1f1
2052,290.6250013235053,289.7402882426374,CMCC-CM2-SR5,ssp126,r1i1p1f1
2053,290.4770472438532,289.6041841929048,CMCC-CM2-SR5,ssp126,r1i1p1f1
2054,290.5543402770805,289.67966612403427,CMCC-CM2-SR5,ssp126,r1i1p1f1
2055,290.65024250228777,289.7782530491008,CMCC-CM2-SR5,ssp126,r1i1p1f1
2056,290.5425546285059,289.67432878085975,CMCC-CM2-SR5,ssp126,r1i1p1f1
2057,290.6458622145718,289.77379366709584,CMCC-CM2-SR5,ssp126,r1i1p1f1
2058,290.7303819448975,289.8661881214816,CMCC-CM2-SR5,ssp126,r1i1p1f1
2059,290.8350780801501,289.9674918033007,CMCC-CM2-SR5,ssp126,r1i1p1f1
2060,290.82328430318404,289.93207850188446,CMCC-CM2-SR5,ssp126,r1i1p1f1
2061,290.7213709631827,289.82849543981973,CMCC-CM2-SR5,ssp126,r1i1p1f1
2062,290.5513209340803,289.664046761115,CMCC-CM2-SR5,ssp126,r1i1p1f1
2063,290.4538965070856,289.5487048234665,CMCC-CM2-SR5,ssp126,r1i1p1f1
2064,290.576181762384,289.6856926158694,CMCC-CM2-SR5,ssp126,r1i1p1f1
2065,290.79041427991893,289.92035121390177,CMCC-CM2-SR5,ssp126,r1i1p1f1
2066,290.84998732669,289.990468858269,CMCC-CM2-SR5,ssp126,r1i1p1f1
2067,290.58961559317424,289.72508680761683,CMCC-CM2-SR5,ssp126,r1i1p1f1
2068,290.5521900714403,289.66066817902083,CMCC-CM2-SR5,ssp126,r1i1p1f1
2069,290.52790984186873,289.6547382667239,CMCC-CM2-SR5,ssp126,r1i1p1f1
2070,290.4830901190875,289.61168205867114,CMCC-CM2-SR5,ssp126,r1i1p1f1
2071,290.6145579988189,289.7269284578416,CMCC-CM2-SR5,ssp126,r1i1p1f1
2072,290.6587456766558,289.782137745086,CMCC-CM2-SR5,ssp126,r1i1p1f1
2073,290.87318276793957,290.0069014329432,CMCC-CM2-SR5,ssp126,r1i1p1f1
2074,290.70496991758694,289.8367167756373,CMCC-CM2-SR5,ssp126,r1i1p1f1
2075,290.57353085964434,289.70437128841843,CMCC-CM2-SR5,ssp126,r1i1p1f1
2076,290.5133339748505,289.6530504463136,CMCC-CM2-SR5,ssp126,r1i1p1f1
2077,290.71030566384775,289.8455344869992,CMCC-CM2-SR5,ssp126,r1i1p1f1
2078,290.87888162669026,290.02070365140344,CMCC-CM2-SR5,ssp126,r1i1p1f1
2079,290.84933190819874,290.01968490774203,CMCC-CM2-SR5,ssp126,r1i1p1f1
2080,290.70847126833013,289.8540530051671,CMCC-CM2-SR5,ssp126,r1i1p1f1
2081,290.6369458424907,289.79022475737884,CMCC-CM2-SR5,ssp126,r1i1p1f1
2082,290.56698802645684,289.6980982657559,CMCC-CM2-SR5,ssp126,r1i1p1f1
2083,290.6859015459348,289.8390526331646,CMCC-CM2-SR5,ssp126,r1i1p1f1
2084,290.6944312994725,289.849742840272,CMCC-CM2-SR5,ssp126,r1i1p1f1
2085,290.7834742789069,289.9383792049645,CMCC-CM2-SR5,ssp126,r1i1p1f1
2086,290.8603214455613,290.0152750934885,CMCC-CM2-SR5,ssp126,r1i1p1f1
2087,290.9873189734395,290.17387434032815,CMCC-CM2-SR5,ssp126,r1i1p1f1
2088,290.88918088009007,290.0503347059781,CMCC-CM2-SR5,ssp126,r1i1p1f1
2089,290.7652599126116,289.9456678500717,CMCC-CM2-SR5,ssp126,r1i1p1f1
2090,290.6941149443135,289.8374985905468,CMCC-CM2-SR5,ssp126,r1i1p1f1
2091,290.7928251253804,289.96238473029877,CMCC-CM2-SR5,ssp126,r1i1p1f1
2092,290.98136786252434,290.17053161378954,CMCC-CM2-SR5,ssp126,r1i1p1f1
2093,290.96227271275075,290.1619054304376,CMCC-CM2-SR5,ssp126,r1i1p1f1
2094,290.9977204067673,290.18638504924763,CMCC-CM2-SR5,ssp126,r1i1p1f1
