year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.1597829342851,288.13551396161546,CMCC-ESM2,ssp126,r1i1p1f1
2016,289.2158064831889,288.1870106378657,CMCC-ESM2,ssp126,r1i1p1f1
2017,289.3267273224114,288.3001882882366,CMCC-ESM2,ssp126,r1i1p1f1
2018,289.3690588914492,288.34392143591106,CMCC-ESM2,ssp126,r1i1p1f1
2019,289.4008291462101,288.38861468462886,CMCC-ESM2,ssp126,r1i1p1f1
2020,289.328792852859,288.2706108476374,CMCC-ESM2,ssp126,r1i1p1f1
2021,289.0263475347636,287.9916561484133,CMCC-ESM2,ssp126,r1i1p1f1
2022,289.0536704367073,288.00642462261254,CMCC-ESM2,ssp126,r1i1p1f1
2023,289.206330044469,288.19096099053223,CMCC-ESM2,ssp126,r1i1p1f1
2024,289.4818967213109,288.4618213679667,CMCC-ESM2,ssp126,r1i1p1f1
2025,289.5353155971926,288.528429652904,CMCC-ESM2,ssp126,r1i1p1f1
2026,289.4098457509833,288.38384505506644,CMCC-ESM2,ssp126,r1i1p1f1
2027,289.4693321098143,288.4481693437184,CMCC-ESM2,ssp126,r1i1p1f1
2028,289.698181057062,288.68421596765575,CMCC-ESM2,ssp126,r1i1p1f1
2029,289.73768836264486,288.7184817501583,CMCC-ESM2,ssp126,r1i1p1f1
2030,289.3475254402272,288.32936909171616,CMCC-ESM2,ssp126,r1i1p1f1
2031,289.4587082949927,288.4329988577038,CMCC-ESM2,ssp126,r1i1p1f1
2032,289.44346652205826,288.4318692914229,CMCC-ESM2,ssp126,r1i1p1f1
2033,289.73482780840146,288.756720860737,CMCC-ESM2,ssp126,r1i1p1f1
2034,289.9393166838996,288.9528860717454,CMCC-ESM2,ssp126,r1i1p1f1
2035,289.7035099930939,288.73367612270187,CMCC-ESM2,ssp126,r1i1p1f1
2036,289.88204524336345,288.91874545478305,CMCC-ESM2,ssp126,r1i1p1f1
2037,290.10473291728067,289.1294383075348,CMCC-ESM2,ssp126,r1i1p1f1
2038,290.14178614394496,289.1479093294888,CMCC-ESM2,ssp126,r1i1p1f1
2039,289.76201758914044,288.7852305482008,CMCC-ESM2,ssp126,r1i1p1f1
2040,289.8116818641716,288.8319311926102,CMCC-ESM2,ssp126,r1i1p1f1
2041,289.9916155398857,289.0356173209159,CMCC-ESM2,ssp126,r1i1p1f1
2042,289.98851798358834,289.0478315618517,CMCC-ESM2,ssp126,r1i1p1f1
2043,289.8452767026601,288.8985737308876,CMCC-ESM2,ssp126,r1i1p1f1
2044,289.87721271935834,288.9414595591828,CMCC-ESM2,ssp126,r1i1p1f1
2045,290.10253677026253,289.15534607386047,CMCC-ESM2,ssp126,r1i1p1f1
2046,290.3407023207102,289.399255177266,CMCC-ESM2,ssp126,r1i1p1f1
2047,290.28689007405035,289.3533168205852,CMCC-ESM2,ssp126,r1i1p1f1
2048,290.1809538203959,289.25153373098254,CMCC-ESM2,ssp126,r1i1p1f1
2049,290.48064166498244,289.5701347992886,CMCC-ESM2,ssp126,r1i1p1f1
2050,290.378999602364,289.45587767991606,CMCC-ESM2,ssp126,r1i1p1f1
2051,290.35424936576163,289.4312544466934,CMCC-ESM2,ssp126,r1i1p1f1
2052,290.33325025045315,289.41379522362865,CMCC-ESM2,ssp126,r1i1p1f1
2053,290.65268446771887,289.7301304373485,CMCC-ESM2,ssp126,r1i1p1f1
