year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,286.7806223303801,285.5647205868374,CNRM-CM6-1-HR,historical,r1i1p1f2
1851,286.7186673945246,285.49441440619484,CNRM-CM6-1-HR,historical,r1i1p1f2
1852,286.73950654515926,285.5361431433734,CNRM-CM6-1-HR,historical,r1i1p1f2
1853,286.7848009590417,285.5738977299078,CNRM-CM6-1-HR,historical,r1i1p1f2
1854,286.77563022873346,285.5603868891137,CNRM-CM6-1-HR,historical,r1i1p1f2
1855,286.8977873662407,285.6410761922236,CNRM-CM6-1-HR,historical,r1i1p1f2
1856,286.74001595812643,285.52609996229944,CNRM-CM6-1-HR,historical,r1i1p1f2
1857,286.76375227567564,285.5084793867365,CNRM-CM6-1-HR,historical,r1i1p1f2
1858,286.69582671411416,285.4347589963323,CNRM-CM6-1-HR,historical,r1i1p1f2
1859,286.7751105201857,285.5203301534375,CNRM-CM6-1-HR,historical,r1i1p1f2
1860,286.78155669067337,285.53755640531676,CNRM-CM6-1-HR,historical,r1i1p1f2
1861,286.63693196518636,285.33707386217566,CNRM-CM6-1-HR,historical,r1i1p1f2
1862,286.75972890319343,285.4394566968186,CNRM-CM6-1-HR,historical,r1i1p1f2
1863,286.71353709661975,285.43380713941406,CNRM-CM6-1-HR,historical,r1i1p1f2
1864,286.6975066933731,285.406298781028,CNRM-CM6-1-HR,historical,r1i1p1f2
1865,286.6982633293991,285.4588045852989,CNRM-CM6-1-HR,historical,r1i1p1f2
1866,286.73073455702644,285.47823140135466,CNRM-CM6-1-HR,historical,r1i1p1f2
1867,286.6169363487845,285.3719924017473,CNRM-CM6-1-HR,historical,r1i1p1f2
1868,286.6623418684086,285.4181566546907,CNRM-CM6-1-HR,historical,r1i1p1f2
1869,286.7040471600918,285.45583138004116,CNRM-CM6-1-HR,historical,r1i1p1f2
1870,286.683429274539,285.4740591202082,CNRM-CM6-1-HR,historical,r1i1p1f2
1871,286.75409204950876,285.47084637596,CNRM-CM6-1-HR,historical,r1i1p1f2
1872,286.67177489121224,285.4097779668195,CNRM-CM6-1-HR,historical,r1i1p1f2
1873,286.73061937903077,285.4482419555866,CNRM-CM6-1-HR,historical,r1i1p1f2
1874,286.72074994508216,285.4449233120406,CNRM-CM6-1-HR,historical,r1i1p1f2
1875,286.8547335830365,285.5630361713502,CNRM-CM6-1-HR,historical,r1i1p1f2
1876,286.730216001131,285.466233360591,CNRM-CM6-1-HR,historical,r1i1p1f2
1877,286.7496427213666,285.47389566110144,CNRM-CM6-1-HR,historical,r1i1p1f2
1878,286.7270455034801,285.4618139433526,CNRM-CM6-1-HR,historical,r1i1p1f2
1879,286.72754101241736,285.49307977159805,CNRM-CM6-1-HR,historical,r1i1p1f2
1880,286.8838403654279,285.6312197971879,CNRM-CM6-1-HR,historical,r1i1p1f2
1881,286.68512237440126,285.42724422036474,CNRM-CM6-1-HR,historical,r1i1p1f2
1882,286.8370259938589,285.6080810588468,CNRM-CM6-1-HR,historical,r1i1p1f2
1883,286.8148559946662,285.6006928525121,CNRM-CM6-1-HR,historical,r1i1p1f2
1884,286.6367587484544,285.3789280292694,CNRM-CM6-1-HR,historical,r1i1p1f2
1885,286.58945221609815,285.33208141474086,CNRM-CM6-1-HR,historical,r1i1p1f2
1886,286.7630616841718,285.563951384947,CNRM-CM6-1-HR,historical,r1i1p1f2
1887,286.8737083487352,285.6350121391081,CNRM-CM6-1-HR,historical,r1i1p1f2
