year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.23788759684425,285.9799553375225,CNRM-CM6-1,historical,r2i1p1f2
1851,287.0854132059356,285.80079700480735,CNRM-CM6-1,historical,r2i1p1f2
1852,287.05809979483104,285.7871723304524,CNRM-CM6-1,historical,r2i1p1f2
1853,287.2376250213793,285.9312240744654,CNRM-CM6-1,historical,r2i1p1f2
1854,287.3536090661463,286.10108362885427,CNRM-CM6-1,historical,r2i1p1f2
1855,287.2600201110835,286.0344071887595,CNRM-CM6-1,historical,r2i1p1f2
1856,287.1226079601557,285.8671414205275,CNRM-CM6-1,historical,r2i1p1f2
1857,287.30023543489796,286.0434674432513,CNRM-CM6-1,historical,r2i1p1f2
1858,287.2463529395213,285.97396054924934,CNRM-CM6-1,historical,r2i1p1f2
1859,287.2413713933187,285.9468064388503,CNRM-CM6-1,historical,r2i1p1f2
1860,287.2921146095837,286.01005921527235,CNRM-CM6-1,historical,r2i1p1f2
1861,287.17020269940366,285.9005277325715,CNRM-CM6-1,historical,r2i1p1f2
1862,287.10556867890205,285.8296183109855,CNRM-CM6-1,historical,r2i1p1f2
1863,287.0785758243511,285.8266630355362,CNRM-CM6-1,historical,r2i1p1f2
1864,287.1292737738906,285.8825675951068,CNRM-CM6-1,historical,r2i1p1f2
1865,287.3274781319213,286.0563680640869,CNRM-CM6-1,historical,r2i1p1f2
1866,287.24001400478227,285.97298648893883,CNRM-CM6-1,historical,r2i1p1f2
1867,287.24805209391576,285.96279775975296,CNRM-CM6-1,historical,r2i1p1f2
1868,287.0624113567869,285.77236086587556,CNRM-CM6-1,historical,r2i1p1f2
1869,287.04761869284283,285.74455192473636,CNRM-CM6-1,historical,r2i1p1f2
1870,287.23861256477693,285.9896348876272,CNRM-CM6-1,historical,r2i1p1f2
1871,287.02781995436555,285.7705888806446,CNRM-CM6-1,historical,r2i1p1f2
1872,287.15106032750464,285.8549284580611,CNRM-CM6-1,historical,r2i1p1f2
1873,287.1898553117163,285.8705446620453,CNRM-CM6-1,historical,r2i1p1f2
1874,287.0746481754051,285.80028691898247,CNRM-CM6-1,historical,r2i1p1f2
1875,287.3056278553416,285.99246732217046,CNRM-CM6-1,historical,r2i1p1f2
1876,287.20246058222824,285.8955330204483,CNRM-CM6-1,historical,r2i1p1f2
1877,287.07412614588213,285.7977721690899,CNRM-CM6-1,historical,r2i1p1f2
1878,287.34018785745945,286.0248464971491,CNRM-CM6-1,historical,r2i1p1f2
1879,287.15843687866175,285.82586459515267,CNRM-CM6-1,historical,r2i1p1f2
1880,287.23866793980557,285.91420931699645,CNRM-CM6-1,historical,r2i1p1f2
1881,287.24788214288697,285.9271199096681,CNRM-CM6-1,historical,r2i1p1f2
1882,287.1076582327502,285.78227116363735,CNRM-CM6-1,historical,r2i1p1f2
1883,287.2072821717846,285.9279275560666,CNRM-CM6-1,historical,r2i1p1f2
1884,286.9908576449636,285.7255798008541,CNRM-CM6-1,historical,r2i1p1f2
1885,286.9360738739999,285.62713456952144,CNRM-CM6-1,historical,r2i1p1f2
1886,287.1940656716985,285.96981011523764,CNRM-CM6-1,historical,r2i1p1f2
1887,287.1069571534836,285.840461604122,CNRM-CM6-1,historical,r2i1p1f2
1888,287.04212369100026,285.786769387434,CNRM-CM6-1,historical,r2i1p1f2
1889,286.9098584945702,285.6600742242679,CNRM-CM6-1,historical,r2i1p1f2
1890,287.12367654402436,285.8472719761927,CNRM-CM6-1,historical,r2i1p1f2
1891,287.1453698753185,285.8653067188212,CNRM-CM6-1,historical,r2i1p1f2
1892,286.9104856914153,285.57178540908023,CNRM-CM6-1,historical,r2i1p1f2
1893,287.1358147557065,285.8106819539305,CNRM-CM6-1,historical,r2i1p1f2
1894,287.31768605725773,286.00657213501984,CNRM-CM6-1,historical,r2i1p1f2
1895,287.11633030021585,285.8320715184171,CNRM-CM6-1,historical,r2i1p1f2
1896,287.0888593897581,285.75650773984717,CNRM-CM6-1,historical,r2i1p1f2
1897,287.30038733998487,285.98138946245115,CNRM-CM6-1,historical,r2i1p1f2
1898,287.1949550722454,285.87401668576763,CNRM-CM6-1,historical,r2i1p1f2
1899,287.2386368070533,285.9363283598109,CNRM-CM6-1,historical,r2i1p1f2
1900,287.2445281554888,285.9690521678174,CNRM-CM6-1,historical,r2i1p1f2
1901,287.0793453551066,285.7882781457813,CNRM-CM6-1,historical,r2i1p1f2
1902,287.16503754185686,285.8982280191673,CNRM-CM6-1,historical,r2i1p1f2
1903,287.21438528743937,285.90747016474273,CNRM-CM6-1,historical,r2i1p1f2
1904,286.9998099439957,285.6878085642805,CNRM-CM6-1,historical,r2i1p1f2
1905,287.13017752078343,285.8567491466362,CNRM-CM6-1,historical,r2i1p1f2
1906,287.2142383341081,285.96241033408415,CNRM-CM6-1,historical,r2i1p1f2
1907,287.20444856896364,285.9563232155159,CNRM-CM6-1,historical,r2i1p1f2
1908,287.0451367063566,285.74532303216984,CNRM-CM6-1,historical,r2i1p1f2
1909,287.0749658254097,285.797602702814,CNRM-CM6-1,historical,r2i1p1f2
1910,287.20862785784874,285.9523957265665,CNRM-CM6-1,historical,r2i1p1f2
1911,287.29339581862973,286.0221023758213,CNRM-CM6-1,historical,r2i1p1f2
1912,287.29492690985745,286.0201234336047,CNRM-CM6-1,historical,r2i1p1f2
1913,287.0352171383302,285.7340056194232,CNRM-CM6-1,historical,r2i1p1f2
1914,287.23334613525424,285.9636083964942,CNRM-CM6-1,historical,r2i1p1f2
1915,287.2858113571855,285.9624104892458,CNRM-CM6-1,historical,r2i1p1f2
1916,287.20665655972925,285.8756274971024,CNRM-CM6-1,historical,r2i1p1f2
1917,287.3648833242513,286.07844510625057,CNRM-CM6-1,historical,r2i1p1f2
1918,287.36698306398256,286.09264559066605,CNRM-CM6-1,historical,r2i1p1f2
1919,287.3102368114825,286.0337108189097,CNRM-CM6-1,historical,r2i1p1f2
1920,287.2234300705355,285.9797913853199,CNRM-CM6-1,historical,r2i1p1f2
1921,287.20087050904124,285.96091127582736,CNRM-CM6-1,historical,r2i1p1f2
1922,287.39396106141953,286.1241339206552,CNRM-CM6-1,historical,r2i1p1f2
1923,287.3528449313973,286.11428937831306,CNRM-CM6-1,historical,r2i1p1f2
1924,287.28241805228276,286.0325511986584,CNRM-CM6-1,historical,r2i1p1f2
1925,287.26945460971297,286.01348992771017,CNRM-CM6-1,historical,r2i1p1f2
1926,287.2962458802204,285.99941485596906,CNRM-CM6-1,historical,r2i1p1f2
1927,287.43433631953155,286.20037471781404,CNRM-CM6-1,historical,r2i1p1f2
1928,287.3803504571117,286.17111045011427,CNRM-CM6-1,historical,r2i1p1f2
1929,287.41624371466503,286.20016911463483,CNRM-CM6-1,historical,r2i1p1f2
1930,287.40721543012677,286.21318837530157,CNRM-CM6-1,historical,r2i1p1f2
1931,287.48670363972417,286.268244109343,CNRM-CM6-1,historical,r2i1p1f2
1932,287.4406602667063,286.26346432273436,CNRM-CM6-1,historical,r2i1p1f2
1933,287.4402122185499,286.1992929980338,CNRM-CM6-1,historical,r2i1p1f2
1934,287.528931363638,286.30361052520385,CNRM-CM6-1,historical,r2i1p1f2
1935,287.578453114217,286.3009625331984,CNRM-CM6-1,historical,r2i1p1f2
1936,287.3438166038264,286.1218605923182,CNRM-CM6-1,historical,r2i1p1f2
1937,287.3590868987305,286.1130539927141,CNRM-CM6-1,historical,r2i1p1f2
1938,287.5005803549686,286.30280885556795,CNRM-CM6-1,historical,r2i1p1f2
1939,287.40344515715606,286.17317197174884,CNRM-CM6-1,historical,r2i1p1f2
1940,287.4972924427044,286.29159947028865,CNRM-CM6-1,historical,r2i1p1f2
1941,287.5212108929095,286.3014909032373,CNRM-CM6-1,historical,r2i1p1f2
1942,287.4796764846881,286.27896145915014,CNRM-CM6-1,historical,r2i1p1f2
1943,287.64458697434264,286.3610796566676,CNRM-CM6-1,historical,r2i1p1f2
1944,287.6678918408994,286.43649031006873,CNRM-CM6-1,historical,r2i1p1f2
1945,287.4646669643511,286.2057284057805,CNRM-CM6-1,historical,r2i1p1f2
1946,287.4898166782678,286.27340656709464,CNRM-CM6-1,historical,r2i1p1f2
1947,287.49952134208644,286.3145965185476,CNRM-CM6-1,historical,r2i1p1f2
1948,287.2718962297506,286.0991339606578,CNRM-CM6-1,historical,r2i1p1f2
1949,287.46725018660925,286.22350476084864,CNRM-CM6-1,historical,r2i1p1f2
1950,287.57560602133105,286.36616294173183,CNRM-CM6-1,historical,r2i1p1f2
1951,287.49031798585895,286.26531839561636,CNRM-CM6-1,historical,r2i1p1f2
1952,287.6958670022908,286.48854119233397,CNRM-CM6-1,historical,r2i1p1f2
1953,287.578720008367,286.33621474834916,CNRM-CM6-1,historical,r2i1p1f2
1954,287.5167226496248,286.2778289642323,CNRM-CM6-1,historical,r2i1p1f2
1955,287.56300046779717,286.341017306873,CNRM-CM6-1,historical,r2i1p1f2
1956,287.49726550627577,286.2825351153475,CNRM-CM6-1,historical,r2i1p1f2
1957,287.6037888629164,286.3753049794014,CNRM-CM6-1,historical,r2i1p1f2
1958,287.53504163654327,286.29936515781526,CNRM-CM6-1,historical,r2i1p1f2
1959,287.55479414171856,286.3332375960538,CNRM-CM6-1,historical,r2i1p1f2
1960,287.6639920590503,286.4275117933617,CNRM-CM6-1,historical,r2i1p1f2
1961,287.42212155867736,286.1806935761074,CNRM-CM6-1,historical,r2i1p1f2
1962,287.4272851542165,286.2106845884044,CNRM-CM6-1,historical,r2i1p1f2
1963,287.51919772043516,286.3013334203542,CNRM-CM6-1,historical,r2i1p1f2
1964,287.29016629841226,286.08480737577975,CNRM-CM6-1,historical,r2i1p1f2
1965,287.2392528289077,286.00520340060143,CNRM-CM6-1,historical,r2i1p1f2
1966,287.45739391391317,286.18923435592893,CNRM-CM6-1,historical,r2i1p1f2
1967,287.4300434306749,286.1677585860059,CNRM-CM6-1,historical,r2i1p1f2
1968,287.33445125218805,286.0552942816364,CNRM-CM6-1,historical,r2i1p1f2
1969,287.44379880228536,286.1865457078873,CNRM-CM6-1,historical,r2i1p1f2
1970,287.38817897569896,286.14180247188614,CNRM-CM6-1,historical,r2i1p1f2
1971,287.5146033923386,286.21617578127626,CNRM-CM6-1,historical,r2i1p1f2
1972,287.60366967592154,286.31116308770316,CNRM-CM6-1,historical,r2i1p1f2
1973,287.2571697395096,286.0148757480816,CNRM-CM6-1,historical,r2i1p1f2
