year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.32018949214023,287.1100364924334,CNRM-CM6-1,ssp126,r2i1p1f2
2016,288.1744278701442,286.94085973548107,CNRM-CM6-1,ssp126,r2i1p1f2
2017,288.17816742997877,286.92567503419946,CNRM-CM6-1,ssp126,r2i1p1f2
2018,288.3603244620094,287.1579600148,CNRM-CM6-1,ssp126,r2i1p1f2
2019,288.23848978250805,287.080249336762,CNRM-CM6-1,ssp126,r2i1p1f2
2020,288.3534237829584,287.19487426690785,CNRM-CM6-1,ssp126,r2i1p1f2
2021,288.54527242616456,287.3433068216135,CNRM-CM6-1,ssp126,r2i1p1f2
2022,288.4583983538267,287.242483040675,CNRM-CM6-1,ssp126,r2i1p1f2
2023,288.57223235246437,287.3398528243974,CNRM-CM6-1,ssp126,r2i1p1f2
2024,288.7324050106142,287.5099939955963,CNRM-CM6-1,ssp126,r2i1p1f2
2025,288.6730618100558,287.468810950704,CNRM-CM6-1,ssp126,r2i1p1f2
2026,288.42241426221983,287.2597966494789,CNRM-CM6-1,ssp126,r2i1p1f2
2027,288.55928832684907,287.3834134585195,CNRM-CM6-1,ssp126,r2i1p1f2
2028,288.75970027017536,287.5798483115406,CNRM-CM6-1,ssp126,r2i1p1f2
2029,288.5886010270961,287.40164103573323,CNRM-CM6-1,ssp126,r2i1p1f2
2030,288.6528319053575,287.48524050688064,CNRM-CM6-1,ssp126,r2i1p1f2
2031,288.66831413537625,287.4825945828011,CNRM-CM6-1,ssp126,r2i1p1f2
2032,288.81746472063185,287.6606930610078,CNRM-CM6-1,ssp126,r2i1p1f2
2033,288.8259441686989,287.63861489708626,CNRM-CM6-1,ssp126,r2i1p1f2
2034,288.85340271860673,287.6536620562423,CNRM-CM6-1,ssp126,r2i1p1f2
2035,288.6783586715147,287.5140599418988,CNRM-CM6-1,ssp126,r2i1p1f2
2036,288.8286517704799,287.65730250288385,CNRM-CM6-1,ssp126,r2i1p1f2
2037,288.92525569867337,287.73928085615586,CNRM-CM6-1,ssp126,r2i1p1f2
2038,288.69443096581534,287.47526419970956,CNRM-CM6-1,ssp126,r2i1p1f2
2039,288.8673793737824,287.6492021881599,CNRM-CM6-1,ssp126,r2i1p1f2
2040,288.743751743217,287.5234138208413,CNRM-CM6-1,ssp126,r2i1p1f2
