year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.67530140604543,286.38298074243664,CNRM-ESM2-1,historical,r3i1p1f2
1851,287.8511738510972,286.5684103818885,CNRM-ESM2-1,historical,r3i1p1f2
1852,287.96364195151835,286.69105725930206,CNRM-ESM2-1,historical,r3i1p1f2
1853,287.94652165550804,286.68368897240475,CNRM-ESM2-1,historical,r3i1p1f2
1854,287.769944002446,286.53158433350654,CNRM-ESM2-1,historical,r3i1p1f2
1855,287.9741529882447,286.6625998815476,CNRM-ESM2-1,historical,r3i1p1f2
1856,287.9192842337782,286.631133260118,CNRM-ESM2-1,historical,r3i1p1f2
1857,287.7879890350322,286.5483405229856,CNRM-ESM2-1,historical,r3i1p1f2
1858,287.71377863035883,286.44362092384983,CNRM-ESM2-1,historical,r3i1p1f2
1859,288.0651566819972,286.817899754648,CNRM-ESM2-1,historical,r3i1p1f2
1860,287.9195009106673,286.63862600521026,CNRM-ESM2-1,historical,r3i1p1f2
1861,287.85683924130035,286.5597547993531,CNRM-ESM2-1,historical,r3i1p1f2
1862,287.84771251843443,286.5618285139616,CNRM-ESM2-1,historical,r3i1p1f2
1863,287.7193232439614,286.4763311790264,CNRM-ESM2-1,historical,r3i1p1f2
1864,287.9229531259196,286.6796811781196,CNRM-ESM2-1,historical,r3i1p1f2
1865,287.91145919047716,286.6504322395773,CNRM-ESM2-1,historical,r3i1p1f2
1866,287.8910019307548,286.69654310581546,CNRM-ESM2-1,historical,r3i1p1f2
1867,287.92250294770014,286.7387151958538,CNRM-ESM2-1,historical,r3i1p1f2
1868,287.78656634042767,286.5863622540152,CNRM-ESM2-1,historical,r3i1p1f2
1869,287.91164383182087,286.6493247444086,CNRM-ESM2-1,historical,r3i1p1f2
1870,287.96404525732186,286.7022467878546,CNRM-ESM2-1,historical,r3i1p1f2
1871,287.9050195489108,286.63095376558556,CNRM-ESM2-1,historical,r3i1p1f2
1872,288.01229290218885,286.719404158942,CNRM-ESM2-1,historical,r3i1p1f2
1873,287.8944692957209,286.63657675707657,CNRM-ESM2-1,historical,r3i1p1f2
1874,288.0113218037031,286.7176627250483,CNRM-ESM2-1,historical,r3i1p1f2
1875,287.9718884282942,286.65507447182785,CNRM-ESM2-1,historical,r3i1p1f2
1876,287.88825765528014,286.6239747487796,CNRM-ESM2-1,historical,r3i1p1f2
1877,287.976996107077,286.7009137247894,CNRM-ESM2-1,historical,r3i1p1f2
1878,287.960585212111,286.6970730105164,CNRM-ESM2-1,historical,r3i1p1f2
1879,287.9840418541899,286.7555137970377,CNRM-ESM2-1,historical,r3i1p1f2
1880,288.0120968564114,286.78616693552243,CNRM-ESM2-1,historical,r3i1p1f2
1881,287.95833695850695,286.6638399948517,CNRM-ESM2-1,historical,r3i1p1f2
1882,287.94937139536813,286.6503775360588,CNRM-ESM2-1,historical,r3i1p1f2
