year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.58977490069367,287.39098745757474,CNRM-ESM2-1,ssp245,r3i1p1f2
2016,288.7355125156415,287.52657539444806,CNRM-ESM2-1,ssp245,r3i1p1f2
2017,288.72041084438297,287.5236180362772,CNRM-ESM2-1,ssp245,r3i1p1f2
2018,288.69774279062074,287.5039509526522,CNRM-ESM2-1,ssp245,r3i1p1f2
2019,288.7381905363432,287.54589077647756,CNRM-ESM2-1,ssp245,r3i1p1f2
2020,289.020912168476,287.8293663125318,CNRM-ESM2-1,ssp245,r3i1p1f2
2021,289.03851776537147,287.83396571463925,CNRM-ESM2-1,ssp245,r3i1p1f2
2022,289.0330642548733,287.8258612557048,CNRM-ESM2-1,ssp245,r3i1p1f2
2023,288.99123760842764,287.76641201031646,CNRM-ESM2-1,ssp245,r3i1p1f2
2024,288.98897159392226,287.8204353090387,CNRM-ESM2-1,ssp245,r3i1p1f2
2025,289.08045029073077,287.88965652513383,CNRM-ESM2-1,ssp245,r3i1p1f2
2026,289.19466326684915,287.9823472918103,CNRM-ESM2-1,ssp245,r3i1p1f2
2027,288.9314216018321,287.6976356904455,CNRM-ESM2-1,ssp245,r3i1p1f2
2028,288.9763513132015,287.80009866653177,CNRM-ESM2-1,ssp245,r3i1p1f2
2029,289.106967502934,287.9110292624158,CNRM-ESM2-1,ssp245,r3i1p1f2
2030,289.01353863591504,287.8458097767167,CNRM-ESM2-1,ssp245,r3i1p1f2
2031,289.291754245162,288.1299453567045,CNRM-ESM2-1,ssp245,r3i1p1f2
2032,289.08474506985357,287.957667662344,CNRM-ESM2-1,ssp245,r3i1p1f2
2033,289.15763514785624,288.03412577832023,CNRM-ESM2-1,ssp245,r3i1p1f2
2034,289.2354160899836,288.07057414394706,CNRM-ESM2-1,ssp245,r3i1p1f2
2035,289.2840067681275,288.1357418775368,CNRM-ESM2-1,ssp245,r3i1p1f2
2036,289.1232813349302,287.97836505435805,CNRM-ESM2-1,ssp245,r3i1p1f2
2037,289.2321647070694,288.0668270521871,CNRM-ESM2-1,ssp245,r3i1p1f2
2038,289.4109773593161,288.25469174778095,CNRM-ESM2-1,ssp245,r3i1p1f2
2039,289.31239378520576,288.1373427926908,CNRM-ESM2-1,ssp245,r3i1p1f2
2040,289.3280708216465,288.14751378759524,CNRM-ESM2-1,ssp245,r3i1p1f2
2041,289.47377717442635,288.3773191625442,CNRM-ESM2-1,ssp245,r3i1p1f2
2042,289.5444912869616,288.40762888154546,CNRM-ESM2-1,ssp245,r3i1p1f2
2043,289.51562627805146,288.35004833112765,CNRM-ESM2-1,ssp245,r3i1p1f2
2044,289.43925138362766,288.2922648529007,CNRM-ESM2-1,ssp245,r3i1p1f2
2045,289.7887317987245,288.6798261751295,CNRM-ESM2-1,ssp245,r3i1p1f2
2046,289.69743007172787,288.57734183705503,CNRM-ESM2-1,ssp245,r3i1p1f2
2047,289.8915856191607,288.77446962195376,CNRM-ESM2-1,ssp245,r3i1p1f2
2048,289.7535291181859,288.6319267141983,CNRM-ESM2-1,ssp245,r3i1p1f2
2049,289.75380048391213,288.6695913228057,CNRM-ESM2-1,ssp245,r3i1p1f2
2050,289.77678864796076,288.71373928834396,CNRM-ESM2-1,ssp245,r3i1p1f2
2051,289.8310950491329,288.7435375478928,CNRM-ESM2-1,ssp245,r3i1p1f2
2052,289.7950602759922,288.67940747457675,CNRM-ESM2-1,ssp245,r3i1p1f2
2053,289.95646076753894,288.8721375476041,CNRM-ESM2-1,ssp245,r3i1p1f2
2054,289.96881772682644,288.8591602768834,CNRM-ESM2-1,ssp245,r3i1p1f2
2055,289.87096077782917,288.77031282552844,CNRM-ESM2-1,ssp245,r3i1p1f2
2056,289.97846376846667,288.8835962415828,CNRM-ESM2-1,ssp245,r3i1p1f2
2057,290.0385218461036,288.9668629267977,CNRM-ESM2-1,ssp245,r3i1p1f2
2058,290.0302598710488,288.9861009840948,CNRM-ESM2-1,ssp245,r3i1p1f2
2059,290.0727549953197,289.03179425856285,CNRM-ESM2-1,ssp245,r3i1p1f2
2060,290.29429917727316,289.23222102938786,CNRM-ESM2-1,ssp245,r3i1p1f2
2061,290.3719253173831,289.28042297114206,CNRM-ESM2-1,ssp245,r3i1p1f2
2062,290.1675584269417,289.0894459486888,CNRM-ESM2-1,ssp245,r3i1p1f2
2063,290.2160581278564,289.1625896378958,CNRM-ESM2-1,ssp245,r3i1p1f2
2064,290.43110663939444,289.41610728619986,CNRM-ESM2-1,ssp245,r3i1p1f2
2065,290.42667607668847,289.3953039072066,CNRM-ESM2-1,ssp245,r3i1p1f2
2066,290.5602158781236,289.50423480147685,CNRM-ESM2-1,ssp245,r3i1p1f2
2067,290.6537467406846,289.62782045668075,CNRM-ESM2-1,ssp245,r3i1p1f2
2068,290.5807000165998,289.5252270389341,CNRM-ESM2-1,ssp245,r3i1p1f2
2069,290.65216166659724,289.62767557743274,CNRM-ESM2-1,ssp245,r3i1p1f2
2070,290.37771394313677,289.345976879786,CNRM-ESM2-1,ssp245,r3i1p1f2
2071,290.56965052653453,289.54065617595876,CNRM-ESM2-1,ssp245,r3i1p1f2
2072,290.5101307817922,289.45681644812527,CNRM-ESM2-1,ssp245,r3i1p1f2
2073,290.49481070011325,289.4528991307243,CNRM-ESM2-1,ssp245,r3i1p1f2
2074,290.67562003137107,289.5820648136907,CNRM-ESM2-1,ssp245,r3i1p1f2
2075,290.479782415821,289.3996033609176,CNRM-ESM2-1,ssp245,r3i1p1f2
2076,290.3945685360323,289.3328931653265,CNRM-ESM2-1,ssp245,r3i1p1f2
2077,290.4477774895806,289.39578680300446,CNRM-ESM2-1,ssp245,r3i1p1f2
2078,290.6348259636392,289.6122543896808,CNRM-ESM2-1,ssp245,r3i1p1f2
2079,290.8024334754295,289.7901181289165,CNRM-ESM2-1,ssp245,r3i1p1f2
2080,290.66449357802503,289.6485959368115,CNRM-ESM2-1,ssp245,r3i1p1f2
2081,290.75749665292653,289.8017904409771,CNRM-ESM2-1,ssp245,r3i1p1f2
2082,290.7617371071287,289.7748456645707,CNRM-ESM2-1,ssp245,r3i1p1f2
2083,290.77400534495575,289.7774908501721,CNRM-ESM2-1,ssp245,r3i1p1f2
2084,290.8852446142888,289.86228454751284,CNRM-ESM2-1,ssp245,r3i1p1f2
2085,291.028473746733,289.9677970798317,CNRM-ESM2-1,ssp245,r3i1p1f2
2086,290.92477539336016,289.9061593001654,CNRM-ESM2-1,ssp245,r3i1p1f2
2087,290.8997554565456,289.8905845592872,CNRM-ESM2-1,ssp245,r3i1p1f2
2088,290.76338046321456,289.7651581498473,CNRM-ESM2-1,ssp245,r3i1p1f2
2089,290.8349602772675,289.7908728296435,CNRM-ESM2-1,ssp245,r3i1p1f2
2090,290.95660022664447,289.9549959974501,CNRM-ESM2-1,ssp245,r3i1p1f2
2091,290.93747257156787,289.9243269970242,CNRM-ESM2-1,ssp245,r3i1p1f2
2092,291.037162295663,290.0311318509304,CNRM-ESM2-1,ssp245,r3i1p1f2
2093,290.9484469422377,289.9485910488016,CNRM-ESM2-1,ssp245,r3i1p1f2
2094,291.03052212965304,290.0129880577495,CNRM-ESM2-1,ssp245,r3i1p1f2
2095,290.9982665670088,290.00476169106645,CNRM-ESM2-1,ssp245,r3i1p1f2
2096,291.04038262570816,290.03520793714654,CNRM-ESM2-1,ssp245,r3i1p1f2
2097,291.04098909419326,290.01824617698844,CNRM-ESM2-1,ssp245,r3i1p1f2
2098,291.01931629340555,290.01389515259774,CNRM-ESM2-1,ssp245,r3i1p1f2
2099,291.0826082185947,290.06560655884533,CNRM-ESM2-1,ssp245,r3i1p1f2
2100,291.10695052159616,290.1057781252703,CNRM-ESM2-1,ssp245,r3i1p1f2
