year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.47297919203106,286.2879573678124,CanESM5-CanOE,historical,r2i1p2f1
1851,287.66711778194724,286.50145926954633,CanESM5-CanOE,historical,r2i1p2f1
1852,287.53325955421917,286.41730829962813,CanESM5-CanOE,historical,r2i1p2f1
1853,287.61300969172675,286.4602460148807,CanESM5-CanOE,historical,r2i1p2f1
1854,287.6001450340891,286.47857599864835,CanESM5-CanOE,historical,r2i1p2f1
1855,287.617781619566,286.5168780119291,CanESM5-CanOE,historical,r2i1p2f1
1856,287.73173198511813,286.5862910630691,CanESM5-CanOE,historical,r2i1p2f1
1857,287.77517077643904,286.63772420882503,CanESM5-CanOE,historical,r2i1p2f1
1858,287.86777185401604,286.74314850245736,CanESM5-CanOE,historical,r2i1p2f1
1859,287.8405426261923,286.70732225170667,CanESM5-CanOE,historical,r2i1p2f1
1860,287.85293955525935,286.7171366911535,CanESM5-CanOE,historical,r2i1p2f1
1861,287.8428271444287,286.7064876405796,CanESM5-CanOE,historical,r2i1p2f1
1862,287.64060673399183,286.5341844254621,CanESM5-CanOE,historical,r2i1p2f1
1863,287.5004510411133,286.3363717326833,CanESM5-CanOE,historical,r2i1p2f1
1864,287.4395815552893,286.2917216174925,CanESM5-CanOE,historical,r2i1p2f1
1865,287.5735470307137,286.4452562837914,CanESM5-CanOE,historical,r2i1p2f1
1866,287.6368793379734,286.47882541437525,CanESM5-CanOE,historical,r2i1p2f1
1867,287.5233621036406,286.39969097697957,CanESM5-CanOE,historical,r2i1p2f1
1868,287.59382353511387,286.4256497418074,CanESM5-CanOE,historical,r2i1p2f1
1869,287.76789277558834,286.63220016645147,CanESM5-CanOE,historical,r2i1p2f1
1870,287.7305387742157,286.58526054941484,CanESM5-CanOE,historical,r2i1p2f1
1871,287.82163052920623,286.6655502958282,CanESM5-CanOE,historical,r2i1p2f1
1872,287.6572727470032,286.5249395141083,CanESM5-CanOE,historical,r2i1p2f1
1873,287.6704091545685,286.4922309115511,CanESM5-CanOE,historical,r2i1p2f1
1874,287.7082465986371,286.55721979304246,CanESM5-CanOE,historical,r2i1p2f1
1875,287.67462811351265,286.54699049183876,CanESM5-CanOE,historical,r2i1p2f1
1876,287.7140924635481,286.5761181433574,CanESM5-CanOE,historical,r2i1p2f1
1877,287.7886767163487,286.6275312008574,CanESM5-CanOE,historical,r2i1p2f1
1878,287.90211331052143,286.72492878577293,CanESM5-CanOE,historical,r2i1p2f1
1879,287.7832605351128,286.58417098384507,CanESM5-CanOE,historical,r2i1p2f1
1880,287.5844328516343,286.4253361732603,CanESM5-CanOE,historical,r2i1p2f1
1881,287.71705198724084,286.5598617527356,CanESM5-CanOE,historical,r2i1p2f1
1882,287.6668205677808,286.4914010905594,CanESM5-CanOE,historical,r2i1p2f1
1883,287.65896182062056,286.4812999485989,CanESM5-CanOE,historical,r2i1p2f1
1884,287.42523341055505,286.2450629551693,CanESM5-CanOE,historical,r2i1p2f1
1885,287.3949604490828,286.2559326335367,CanESM5-CanOE,historical,r2i1p2f1
1886,287.39873338514695,286.2506950891588,CanESM5-CanOE,historical,r2i1p2f1
1887,287.5079128716328,286.33826903122804,CanESM5-CanOE,historical,r2i1p2f1
1888,287.66775816232604,286.52228888270355,CanESM5-CanOE,historical,r2i1p2f1
1889,287.606148263425,286.4487667120045,CanESM5-CanOE,historical,r2i1p2f1
1890,287.59081816986276,286.4373785265135,CanESM5-CanOE,historical,r2i1p2f1
1891,287.637745100576,286.49657669984,CanESM5-CanOE,historical,r2i1p2f1
1892,287.5340939486881,286.36982265434733,CanESM5-CanOE,historical,r2i1p2f1
1893,287.7183309717576,286.52655286418155,CanESM5-CanOE,historical,r2i1p2f1
1894,287.72277831311976,286.5660888033882,CanESM5-CanOE,historical,r2i1p2f1
1895,287.86730927552384,286.7080802538568,CanESM5-CanOE,historical,r2i1p2f1
1896,287.8106982703347,286.6510814046892,CanESM5-CanOE,historical,r2i1p2f1
1897,287.5824357275622,286.42225957534913,CanESM5-CanOE,historical,r2i1p2f1
