year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.29952320627694,288.175361151151,CanESM5-CanOE,ssp126,r2i1p2f1
2016,289.38838434463406,288.3034150727796,CanESM5-CanOE,ssp126,r2i1p2f1
2017,289.2852288236889,288.2312178428791,CanESM5-CanOE,ssp126,r2i1p2f1
2018,289.30840027217226,288.2688384139755,CanESM5-CanOE,ssp126,r2i1p2f1
2019,289.52541354779873,288.47950891636594,CanESM5-CanOE,ssp126,r2i1p2f1
2020,289.38595321661785,288.3455761034237,CanESM5-CanOE,ssp126,r2i1p2f1
2021,289.5809619041597,288.52975735562126,CanESM5-CanOE,ssp126,r2i1p2f1
2022,289.56516509674066,288.5517411230218,CanESM5-CanOE,ssp126,r2i1p2f1
2023,289.5110733937085,288.5203966983555,CanESM5-CanOE,ssp126,r2i1p2f1
2024,289.6741987273261,288.67719243369265,CanESM5-CanOE,ssp126,r2i1p2f1
2025,289.6996444461251,288.72287145979817,CanESM5-CanOE,ssp126,r2i1p2f1
2026,289.6980649769769,288.74413152742306,CanESM5-CanOE,ssp126,r2i1p2f1
2027,289.74163431529087,288.7576286092507,CanESM5-CanOE,ssp126,r2i1p2f1
2028,289.79809593479405,288.83544834149706,CanESM5-CanOE,ssp126,r2i1p2f1
2029,289.83511212001594,288.86776504049163,CanESM5-CanOE,ssp126,r2i1p2f1
2030,289.9842635560174,288.99807556391954,CanESM5-CanOE,ssp126,r2i1p2f1
2031,289.81297262766924,288.8322582412679,CanESM5-CanOE,ssp126,r2i1p2f1
2032,289.78865525503096,288.81620137777867,CanESM5-CanOE,ssp126,r2i1p2f1
2033,289.86636285529795,288.9267597965439,CanESM5-CanOE,ssp126,r2i1p2f1
2034,289.90554677083685,288.9464505238525,CanESM5-CanOE,ssp126,r2i1p2f1
2035,290.0718981908022,289.0897792168243,CanESM5-CanOE,ssp126,r2i1p2f1
2036,290.0382650613244,289.0962990114655,CanESM5-CanOE,ssp126,r2i1p2f1
2037,290.0528569713504,289.10019296387645,CanESM5-CanOE,ssp126,r2i1p2f1
2038,290.25080715174204,289.281189669798,CanESM5-CanOE,ssp126,r2i1p2f1
2039,290.0719009216968,289.13048881871464,CanESM5-CanOE,ssp126,r2i1p2f1
2040,290.0031018502019,289.0168540194358,CanESM5-CanOE,ssp126,r2i1p2f1
2041,289.98646345001987,288.99013942595354,CanESM5-CanOE,ssp126,r2i1p2f1
2042,290.0546505796748,289.07980367033406,CanESM5-CanOE,ssp126,r2i1p2f1
2043,290.2720378100134,289.32107333191493,CanESM5-CanOE,ssp126,r2i1p2f1
2044,290.2143606390867,289.23793298073355,CanESM5-CanOE,ssp126,r2i1p2f1
2045,290.2103359876449,289.22694085239215,CanESM5-CanOE,ssp126,r2i1p2f1
2046,290.2937877178932,289.3336464494692,CanESM5-CanOE,ssp126,r2i1p2f1
2047,290.26360026841013,289.32674090915253,CanESM5-CanOE,ssp126,r2i1p2f1
2048,290.2964223415221,289.3348915675726,CanESM5-CanOE,ssp126,r2i1p2f1
2049,290.1371667330288,289.2057703224267,CanESM5-CanOE,ssp126,r2i1p2f1
2050,290.3595514217258,289.4332436318301,CanESM5-CanOE,ssp126,r2i1p2f1
2051,290.36094442354187,289.4308074992669,CanESM5-CanOE,ssp126,r2i1p2f1
2052,290.1209875070784,289.2035768025331,CanESM5-CanOE,ssp126,r2i1p2f1
2053,290.1308423665289,289.18820311348304,CanESM5-CanOE,ssp126,r2i1p2f1
2054,290.34611853772907,289.4210445578611,CanESM5-CanOE,ssp126,r2i1p2f1
2055,290.41408470081797,289.46286974921236,CanESM5-CanOE,ssp126,r2i1p2f1
2056,290.3967193516209,289.4701499588476,CanESM5-CanOE,ssp126,r2i1p2f1
2057,290.40191680299085,289.4394063064534,CanESM5-CanOE,ssp126,r2i1p2f1
2058,290.32159244425856,289.3578584235406,CanESM5-CanOE,ssp126,r2i1p2f1
2059,290.3782815408174,289.4200088884615,CanESM5-CanOE,ssp126,r2i1p2f1
2060,290.3811134699145,289.4476653356497,CanESM5-CanOE,ssp126,r2i1p2f1
2061,290.38123248571446,289.4273068647369,CanESM5-CanOE,ssp126,r2i1p2f1
2062,290.3497513885831,289.42508258366115,CanESM5-CanOE,ssp126,r2i1p2f1
2063,290.54412915866226,289.6356683714481,CanESM5-CanOE,ssp126,r2i1p2f1
2064,290.435508176316,289.50840971741434,CanESM5-CanOE,ssp126,r2i1p2f1
2065,290.2806225934494,289.34764756870027,CanESM5-CanOE,ssp126,r2i1p2f1
2066,290.2468843149646,289.32448406094204,CanESM5-CanOE,ssp126,r2i1p2f1
2067,290.25549818522626,289.3336855476806,CanESM5-CanOE,ssp126,r2i1p2f1
2068,290.2749377792617,289.32585532694384,CanESM5-CanOE,ssp126,r2i1p2f1
2069,290.2989141309713,289.3439456172783,CanESM5-CanOE,ssp126,r2i1p2f1
2070,290.11943676676276,289.20033094515844,CanESM5-CanOE,ssp126,r2i1p2f1
2071,290.14556141718214,289.25065332749676,CanESM5-CanOE,ssp126,r2i1p2f1
2072,290.22840342318176,289.3212437063459,CanESM5-CanOE,ssp126,r2i1p2f1
2073,290.2505969756224,289.3714751440704,CanESM5-CanOE,ssp126,r2i1p2f1
2074,290.2934067707537,289.4127437548843,CanESM5-CanOE,ssp126,r2i1p2f1
2075,290.4479722050389,289.5667636347111,CanESM5-CanOE,ssp126,r2i1p2f1
2076,290.4083030645951,289.5422158206445,CanESM5-CanOE,ssp126,r2i1p2f1
2077,290.23096994349913,289.35130203397676,CanESM5-CanOE,ssp126,r2i1p2f1
2078,290.2954017742499,289.3929714650252,CanESM5-CanOE,ssp126,r2i1p2f1
2079,290.32360358982845,289.41752658013024,CanESM5-CanOE,ssp126,r2i1p2f1
2080,290.3922248624569,289.46249363474766,CanESM5-CanOE,ssp126,r2i1p2f1
2081,290.33900100535027,289.4406586702769,CanESM5-CanOE,ssp126,r2i1p2f1
2082,290.40376448894267,289.4953920359592,CanESM5-CanOE,ssp126,r2i1p2f1
2083,290.21879471374865,289.25907542200576,CanESM5-CanOE,ssp126,r2i1p2f1
2084,290.264752798131,289.35491566326766,CanESM5-CanOE,ssp126,r2i1p2f1
2085,290.39653195840344,289.4867684544808,CanESM5-CanOE,ssp126,r2i1p2f1
2086,290.36940509782346,289.4417535209015,CanESM5-CanOE,ssp126,r2i1p2f1
2087,290.3780092047662,289.47414513637716,CanESM5-CanOE,ssp126,r2i1p2f1
2088,290.36740184611017,289.4424543142787,CanESM5-CanOE,ssp126,r2i1p2f1
2089,290.1818040680689,289.256481819156,CanESM5-CanOE,ssp126,r2i1p2f1
2090,290.18906365366934,289.24293077782545,CanESM5-CanOE,ssp126,r2i1p2f1
2091,290.4031482960078,289.4695941798818,CanESM5-CanOE,ssp126,r2i1p2f1
2092,290.4842025369509,289.51434369935737,CanESM5-CanOE,ssp126,r2i1p2f1
2093,290.45088873018256,289.5104081656143,CanESM5-CanOE,ssp126,r2i1p2f1
2094,290.3037550695272,289.36427684685583,CanESM5-CanOE,ssp126,r2i1p2f1
2095,290.45184312319196,289.509712010727,CanESM5-CanOE,ssp126,r2i1p2f1
2096,290.3267308976559,289.3737988784222,CanESM5-CanOE,ssp126,r2i1p2f1
2097,290.4183934603397,289.46520527019896,CanESM5-CanOE,ssp126,r2i1p2f1
2098,290.41699782013626,289.4809173591425,CanESM5-CanOE,ssp126,r2i1p2f1
2099,290.3022574775213,289.34977776236605,CanESM5-CanOE,ssp126,r2i1p2f1
2100,290.27425313100605,289.344506337189,CanESM5-CanOE,ssp126,r2i1p2f1
