year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.6318986089327,286.4790167184781,CanESM5,historical,r17i1p1f1
1851,287.4685681698844,286.3265623415898,CanESM5,historical,r17i1p1f1
1852,287.58411057401736,286.46565779084705,CanESM5,historical,r17i1p1f1
1853,287.68091845695005,286.5686032547936,CanESM5,historical,r17i1p1f1
1854,287.7459078747558,286.6401065440372,CanESM5,historical,r17i1p1f1
1855,287.5311112666017,286.38106777322133,CanESM5,historical,r17i1p1f1
1856,287.518728648602,286.3640395237201,CanESM5,historical,r17i1p1f1
1857,287.6029952508067,286.43183850342757,CanESM5,historical,r17i1p1f1
1858,287.62079550403115,286.45317600849296,CanESM5,historical,r17i1p1f1
1859,287.56967035351664,286.39992807207625,CanESM5,historical,r17i1p1f1
1860,287.5696077676431,286.38666816112385,CanESM5,historical,r17i1p1f1
1861,287.70972292227873,286.53940658532315,CanESM5,historical,r17i1p1f1
1862,287.8878910061804,286.72132411077206,CanESM5,historical,r17i1p1f1
1863,287.8123275539994,286.62171031365375,CanESM5,historical,r17i1p1f1
1864,287.7507675723091,286.5946784985178,CanESM5,historical,r17i1p1f1
1865,287.7421109387892,286.57212079869777,CanESM5,historical,r17i1p1f1
1866,287.7410910130829,286.56721871503976,CanESM5,historical,r17i1p1f1
1867,287.64813183387963,286.47469163928787,CanESM5,historical,r17i1p1f1
1868,287.7620302396366,286.60540391344847,CanESM5,historical,r17i1p1f1
1869,287.7456430312784,286.5740301497325,CanESM5,historical,r17i1p1f1
1870,287.74876117171647,286.5939479852639,CanESM5,historical,r17i1p1f1
1871,287.74337526030376,286.58392990493115,CanESM5,historical,r17i1p1f1
1872,287.74879730824455,286.5670667436546,CanESM5,historical,r17i1p1f1
1873,287.82486160712307,286.6523694975343,CanESM5,historical,r17i1p1f1
1874,287.70289206553804,286.53491962874716,CanESM5,historical,r17i1p1f1
1875,287.7515148990799,286.6043242834784,CanESM5,historical,r17i1p1f1
1876,287.71999093227174,286.5647582506762,CanESM5,historical,r17i1p1f1
1877,287.7657527314438,286.647355062562,CanESM5,historical,r17i1p1f1
1878,287.8911966078012,286.7496566824126,CanESM5,historical,r17i1p1f1
1879,287.86487330495,286.69784247781814,CanESM5,historical,r17i1p1f1
1880,287.790064546432,286.61585482041465,CanESM5,historical,r17i1p1f1
1881,287.72360704212974,286.5778589449266,CanESM5,historical,r17i1p1f1
1882,287.79295733504773,286.64728237875033,CanESM5,historical,r17i1p1f1
1883,287.8973148405308,286.74574347168317,CanESM5,historical,r17i1p1f1
1884,287.6174752178157,286.49648556750674,CanESM5,historical,r17i1p1f1
1885,287.5911347410511,286.45695736113515,CanESM5,historical,r17i1p1f1
1886,287.59270897309824,286.4499559829968,CanESM5,historical,r17i1p1f1
1887,287.4916434219913,286.36273014526745,CanESM5,historical,r17i1p1f1
1888,287.6576649888567,286.50478316138714,CanESM5,historical,r17i1p1f1
1889,287.77127541618563,286.659359897015,CanESM5,historical,r17i1p1f1
1890,287.7136111528782,286.54456530153885,CanESM5,historical,r17i1p1f1
1891,287.80819614107764,286.6442786375305,CanESM5,historical,r17i1p1f1
1892,287.682183014201,286.5445142307421,CanESM5,historical,r17i1p1f1
1893,287.6180307008728,286.5113169701446,CanESM5,historical,r17i1p1f1
1894,287.9171317776219,286.79697110770286,CanESM5,historical,r17i1p1f1
1895,287.96219533087407,286.8598312414716,CanESM5,historical,r17i1p1f1
1896,288.08986375781626,286.9890948808018,CanESM5,historical,r17i1p1f1
1897,288.077674593871,286.9755714579468,CanESM5,historical,r17i1p1f1
1898,288.07527016275077,286.9704492533368,CanESM5,historical,r17i1p1f1
1899,287.9828799254448,286.85961419996397,CanESM5,historical,r17i1p1f1
1900,287.8528681522457,286.71772979615656,CanESM5,historical,r17i1p1f1
1901,287.82909317119555,286.70261241996553,CanESM5,historical,r17i1p1f1
1902,287.8083876751882,286.70434251516895,CanESM5,historical,r17i1p1f1
1903,287.71134600176805,286.5838561268919,CanESM5,historical,r17i1p1f1
1904,287.7505995946854,286.5916998865344,CanESM5,historical,r17i1p1f1
1905,287.8932704083829,286.71167684079165,CanESM5,historical,r17i1p1f1
1906,287.9386415443046,286.77768436791047,CanESM5,historical,r17i1p1f1
1907,287.89157406540926,286.7352086578638,CanESM5,historical,r17i1p1f1
1908,287.923909799831,286.7415119638331,CanESM5,historical,r17i1p1f1
1909,287.8266928088908,286.63059423776014,CanESM5,historical,r17i1p1f1
1910,287.8609516859113,286.65376861089777,CanESM5,historical,r17i1p1f1
1911,287.9133091367418,286.71598191488783,CanESM5,historical,r17i1p1f1
1912,287.85727697350706,286.700682698164,CanESM5,historical,r17i1p1f1
1913,287.6926342474599,286.5366793722595,CanESM5,historical,r17i1p1f1
1914,287.79422976624704,286.63586902545774,CanESM5,historical,r17i1p1f1
1915,287.95470576581624,286.8022258838281,CanESM5,historical,r17i1p1f1
1916,287.99948845823286,286.8357728603262,CanESM5,historical,r17i1p1f1
1917,287.8678831893785,286.69168092416226,CanESM5,historical,r17i1p1f1
1918,288.0358776458767,286.87221092722785,CanESM5,historical,r17i1p1f1
1919,288.0131201011262,286.8348749583846,CanESM5,historical,r17i1p1f1
1920,287.7964539515894,286.59620122337867,CanESM5,historical,r17i1p1f1
1921,287.83877293833655,286.64784907364606,CanESM5,historical,r17i1p1f1
1922,287.9754187638812,286.80133617371473,CanESM5,historical,r17i1p1f1
1923,287.9344060705513,286.7768831643274,CanESM5,historical,r17i1p1f1
1924,287.8213079768977,286.65165904822504,CanESM5,historical,r17i1p1f1
1925,287.9137133543882,286.7622456966531,CanESM5,historical,r17i1p1f1
1926,288.02314851894135,286.84377576743344,CanESM5,historical,r17i1p1f1
1927,287.9977337466355,286.8137308382348,CanESM5,historical,r17i1p1f1
1928,287.89661444029053,286.72536955119284,CanESM5,historical,r17i1p1f1
1929,287.8970143191874,286.7120000082874,CanESM5,historical,r17i1p1f1
1930,287.7576154006394,286.5744591746049,CanESM5,historical,r17i1p1f1
1931,287.87554430029786,286.654453182496,CanESM5,historical,r17i1p1f1
1932,288.06881667245045,286.878991908139,CanESM5,historical,r17i1p1f1
1933,288.03216374374324,286.87016313766804,CanESM5,historical,r17i1p1f1
1934,287.92176063934437,286.7575956126342,CanESM5,historical,r17i1p1f1
1935,287.9127614452429,286.7407065815231,CanESM5,historical,r17i1p1f1
1936,288.026552302331,286.86805470453567,CanESM5,historical,r17i1p1f1
1937,288.09138222054446,286.9375650079707,CanESM5,historical,r17i1p1f1
1938,288.0808779683196,286.90548024606926,CanESM5,historical,r17i1p1f1
1939,288.0892572101773,286.91639917639554,CanESM5,historical,r17i1p1f1
1940,288.0390452412832,286.8387266560903,CanESM5,historical,r17i1p1f1
1941,287.84624515780916,286.66304854599116,CanESM5,historical,r17i1p1f1
1942,287.96217532884964,286.76870488782487,CanESM5,historical,r17i1p1f1
1943,288.14057455705387,286.9576650039033,CanESM5,historical,r17i1p1f1
1944,288.0581676634567,286.9022897815256,CanESM5,historical,r17i1p1f1
1945,288.12095678125587,286.9558478340822,CanESM5,historical,r17i1p1f1
1946,288.0692839433317,286.90190801927525,CanESM5,historical,r17i1p1f1
1947,287.95274457486437,286.7928206355017,CanESM5,historical,r17i1p1f1
1948,287.82750665672813,286.66197781383795,CanESM5,historical,r17i1p1f1
1949,287.8928853286128,286.7374347519134,CanESM5,historical,r17i1p1f1
1950,288.18518179083065,287.02732384766216,CanESM5,historical,r17i1p1f1
1951,288.16657565980785,286.9899156264049,CanESM5,historical,r17i1p1f1
1952,288.09325886032303,286.9513897683504,CanESM5,historical,r17i1p1f1
1953,288.0553781328567,286.89059459425306,CanESM5,historical,r17i1p1f1
1954,287.9271418390773,286.75703881364313,CanESM5,historical,r17i1p1f1
1955,287.97385002024373,286.8065251907881,CanESM5,historical,r17i1p1f1
1956,288.05504272054634,286.89881157530755,CanESM5,historical,r17i1p1f1
1957,287.9862973186094,286.8336751505597,CanESM5,historical,r17i1p1f1
1958,287.96350167439823,286.7804618839877,CanESM5,historical,r17i1p1f1
1959,287.9845113261606,286.80417623774446,CanESM5,historical,r17i1p1f1
1960,287.9912666658852,286.8322252423573,CanESM5,historical,r17i1p1f1
1961,287.92159144934084,286.762202282965,CanESM5,historical,r17i1p1f1
1962,287.8174991268036,286.6673085602966,CanESM5,historical,r17i1p1f1
1963,287.75575448389947,286.6177766737969,CanESM5,historical,r17i1p1f1
1964,287.8691852156784,286.7362270882619,CanESM5,historical,r17i1p1f1
1965,287.77236845055796,286.6257534003125,CanESM5,historical,r17i1p1f1
1966,287.67071505741865,286.4816697372813,CanESM5,historical,r17i1p1f1
1967,287.74026168602734,286.54659250671693,CanESM5,historical,r17i1p1f1
1968,288.04519367358296,286.89901764281893,CanESM5,historical,r17i1p1f1
1969,287.9833301304393,286.7750848391628,CanESM5,historical,r17i1p1f1
1970,288.01470890721345,286.8079945817823,CanESM5,historical,r17i1p1f1
1971,287.9835640895241,286.74874895136116,CanESM5,historical,r17i1p1f1
1972,287.8472575498915,286.68123182544497,CanESM5,historical,r17i1p1f1
1973,287.98158929672275,286.821049446618,CanESM5,historical,r17i1p1f1
1974,287.9304022409148,286.763670559228,CanESM5,historical,r17i1p1f1
1975,288.1548744076202,286.97260946203704,CanESM5,historical,r17i1p1f1
1976,288.2093985495503,287.0207103638703,CanESM5,historical,r17i1p1f1
1977,288.1565271424316,286.9619672109981,CanESM5,historical,r17i1p1f1
1978,288.15235842844686,286.97005749863536,CanESM5,historical,r17i1p1f1
1979,288.2777456374965,287.09567468218637,CanESM5,historical,r17i1p1f1
1980,288.2771948729365,287.0782416543919,CanESM5,historical,r17i1p1f1
1981,288.34849865849355,287.1710441244771,CanESM5,historical,r17i1p1f1
1982,288.19285432342537,287.0266280528744,CanESM5,historical,r17i1p1f1
1983,288.10265149239297,286.97485068843497,CanESM5,historical,r17i1p1f1
1984,288.4257802074646,287.2873646158713,CanESM5,historical,r17i1p1f1
1985,288.41004643381405,287.27917437335145,CanESM5,historical,r17i1p1f1
1986,288.47675815733527,287.3257300840355,CanESM5,historical,r17i1p1f1
1987,288.3146859659082,287.1822987942867,CanESM5,historical,r17i1p1f1
1988,288.39565619826504,287.27020650920275,CanESM5,historical,r17i1p1f1
1989,288.5314540502264,287.4198533271741,CanESM5,historical,r17i1p1f1
1990,288.46410900782354,287.30507867654006,CanESM5,historical,r17i1p1f1
1991,288.62478826064944,287.54150823832265,CanESM5,historical,r17i1p1f1
