year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.35845022158696,288.29362247388553,CanESM5,ssp370,r1i1p1f1
2016,289.26999867371234,288.20834853578924,CanESM5,ssp370,r1i1p1f1
2017,289.19772213928627,288.1509651271077,CanESM5,ssp370,r1i1p1f1
2018,289.5768781970728,288.522462272059,CanESM5,ssp370,r1i1p1f1
2019,289.66779204336194,288.6409798374139,CanESM5,ssp370,r1i1p1f1
2020,289.6089063221418,288.5694156891923,CanESM5,ssp370,r1i1p1f1
2021,289.4717133035802,288.4182250528115,CanESM5,ssp370,r1i1p1f1
2022,289.68331860852965,288.6830033850581,CanESM5,ssp370,r1i1p1f1
2023,289.88015318688883,288.8970763679963,CanESM5,ssp370,r1i1p1f1
2024,289.7171850696876,288.73789270484133,CanESM5,ssp370,r1i1p1f1
2025,289.8033747113198,288.8609271586945,CanESM5,ssp370,r1i1p1f1
2026,289.80791984072454,288.8403215898184,CanESM5,ssp370,r1i1p1f1
2027,289.95465905410873,288.97137644979495,CanESM5,ssp370,r1i1p1f1
2028,290.1696760703592,289.18389072238364,CanESM5,ssp370,r1i1p1f1
2029,289.9910008167871,289.0114550449363,CanESM5,ssp370,r1i1p1f1
2030,290.0622949801449,289.06062497898375,CanESM5,ssp370,r1i1p1f1
2031,290.13624095729534,289.17219483254087,CanESM5,ssp370,r1i1p1f1
2032,290.17748318899805,289.2062689959312,CanESM5,ssp370,r1i1p1f1
2033,290.06461240274507,289.145566508358,CanESM5,ssp370,r1i1p1f1
2034,290.1893146784096,289.23709731262096,CanESM5,ssp370,r1i1p1f1
2035,290.2479153584614,289.2835678617194,CanESM5,ssp370,r1i1p1f1
2036,290.3894756748141,289.4121276480094,CanESM5,ssp370,r1i1p1f1
2037,290.458629332996,289.4880387947319,CanESM5,ssp370,r1i1p1f1
2038,290.3786819871426,289.41889887622875,CanESM5,ssp370,r1i1p1f1
2039,290.40721797372476,289.4534020059962,CanESM5,ssp370,r1i1p1f1
2040,290.2946517222634,289.3361408672543,CanESM5,ssp370,r1i1p1f1
2041,290.43361286293555,289.4737172090702,CanESM5,ssp370,r1i1p1f1
2042,290.5210482161145,289.576148869072,CanESM5,ssp370,r1i1p1f1
2043,290.604295133872,289.64537729492656,CanESM5,ssp370,r1i1p1f1
2044,290.6709297157046,289.7269317926611,CanESM5,ssp370,r1i1p1f1
2045,290.90551521403154,289.9554807483024,CanESM5,ssp370,r1i1p1f1
2046,290.91437884207136,289.9731589325515,CanESM5,ssp370,r1i1p1f1
2047,290.72112465640487,289.811648905862,CanESM5,ssp370,r1i1p1f1
2048,290.9398801043638,290.03889733079916,CanESM5,ssp370,r1i1p1f1
2049,291.04630746913904,290.166928627271,CanESM5,ssp370,r1i1p1f1
2050,291.3939395565941,290.4960900682268,CanESM5,ssp370,r1i1p1f1
2051,291.15715807193527,290.28985576146704,CanESM5,ssp370,r1i1p1f1
2052,291.0731206959335,290.17993200744866,CanESM5,ssp370,r1i1p1f1
2053,291.1463036086524,290.2645620100915,CanESM5,ssp370,r1i1p1f1
2054,291.285316638658,290.4230056736486,CanESM5,ssp370,r1i1p1f1
2055,291.19280893860775,290.3134269444825,CanESM5,ssp370,r1i1p1f1
2056,291.30281657591144,290.42526772445433,CanESM5,ssp370,r1i1p1f1
2057,291.4297758987543,290.54251699493545,CanESM5,ssp370,r1i1p1f1
2058,291.47844506869507,290.59596931455144,CanESM5,ssp370,r1i1p1f1
2059,291.6104794320868,290.71066449839753,CanESM5,ssp370,r1i1p1f1
2060,291.7130288265131,290.8520548068149,CanESM5,ssp370,r1i1p1f1
2061,291.656736113645,290.81526139099,CanESM5,ssp370,r1i1p1f1
2062,291.7481000690101,290.8778753781275,CanESM5,ssp370,r1i1p1f1
2063,291.86840340293725,291.00231904501607,CanESM5,ssp370,r1i1p1f1
2064,291.90213797280677,291.04233691758424,CanESM5,ssp370,r1i1p1f1
2065,291.88015193778733,291.0329380870992,CanESM5,ssp370,r1i1p1f1
2066,291.9321388145631,291.10240327473275,CanESM5,ssp370,r1i1p1f1
2067,292.1475412184122,291.3435062794781,CanESM5,ssp370,r1i1p1f1
2068,292.20495749291905,291.38307752096244,CanESM5,ssp370,r1i1p1f1
2069,292.1513863057527,291.320359338794,CanESM5,ssp370,r1i1p1f1
2070,292.1142315876222,291.2814047176852,CanESM5,ssp370,r1i1p1f1
2071,292.06251962503575,291.23530213466785,CanESM5,ssp370,r1i1p1f1
2072,292.1825771168483,291.32915167409755,CanESM5,ssp370,r1i1p1f1
2073,292.33926607340317,291.495218184878,CanESM5,ssp370,r1i1p1f1
2074,292.4453731849289,291.60324126929453,CanESM5,ssp370,r1i1p1f1
2075,292.52805318990823,291.71038708361306,CanESM5,ssp370,r1i1p1f1
2076,292.37133518781127,291.5471227678728,CanESM5,ssp370,r1i1p1f1
2077,292.55065888789824,291.74597598970735,CanESM5,ssp370,r1i1p1f1
2078,292.5409638556831,291.7659838482283,CanESM5,ssp370,r1i1p1f1
2079,292.7240116527641,291.94732078087134,CanESM5,ssp370,r1i1p1f1
2080,292.76934191170636,291.9730173634554,CanESM5,ssp370,r1i1p1f1
2081,292.8781924200793,292.0818450022354,CanESM5,ssp370,r1i1p1f1
2082,292.90072119951384,292.11087040555907,CanESM5,ssp370,r1i1p1f1
2083,292.69467443275033,291.92800476248715,CanESM5,ssp370,r1i1p1f1
2084,292.83447386757507,292.0816608931034,CanESM5,ssp370,r1i1p1f1
2085,293.0646134829263,292.2916874207817,CanESM5,ssp370,r1i1p1f1
2086,293.0818422462704,292.31945846410986,CanESM5,ssp370,r1i1p1f1
2087,293.2548504896413,292.4948939614302,CanESM5,ssp370,r1i1p1f1
2088,293.165009554697,292.3942270675513,CanESM5,ssp370,r1i1p1f1
2089,293.2371594752904,292.4727819887264,CanESM5,ssp370,r1i1p1f1
2090,293.3458612245111,292.58829019832996,CanESM5,ssp370,r1i1p1f1
2091,293.4885503722702,292.7276620940111,CanESM5,ssp370,r1i1p1f1
2092,293.66839636239615,292.8942955818736,CanESM5,ssp370,r1i1p1f1
2093,293.57049689115524,292.80844042750937,CanESM5,ssp370,r1i1p1f1
2094,293.67290598293056,292.9073359241498,CanESM5,ssp370,r1i1p1f1
2095,293.50151393347085,292.73009978123594,CanESM5,ssp370,r1i1p1f1
2096,293.56690204568275,292.7970175017442,CanESM5,ssp370,r1i1p1f1
2097,293.7688024578894,292.996542829763,CanESM5,ssp370,r1i1p1f1
2098,293.84583484291585,293.08395033373085,CanESM5,ssp370,r1i1p1f1
2099,293.93804894596326,293.1813135788507,CanESM5,ssp370,r1i1p1f1
2100,293.8636156037767,293.1370344437104,CanESM5,ssp370,r1i1p1f1
