year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.03376416278377,286.90026083959833,E3SM-1-0,historical,r3i1p1f1
1851,288.0780463295434,286.931456745974,E3SM-1-0,historical,r3i1p1f1
1852,288.05470001460634,286.9301955922566,E3SM-1-0,historical,r3i1p1f1
1853,288.2508539629347,287.1885578041878,E3SM-1-0,historical,r3i1p1f1
1854,288.14166412768816,287.01432660162766,E3SM-1-0,historical,r3i1p1f1
1855,287.91784656762724,286.8489436118057,E3SM-1-0,historical,r3i1p1f1
1856,288.0702937770016,286.97721311929166,E3SM-1-0,historical,r3i1p1f1
1857,288.1645728145507,287.08975395744716,E3SM-1-0,historical,r3i1p1f1
1858,288.1687130431747,287.09737368903484,E3SM-1-0,historical,r3i1p1f1
1859,288.27213947580066,287.1912999469962,E3SM-1-0,historical,r3i1p1f1
1860,288.33619815358657,287.27594117293586,E3SM-1-0,historical,r3i1p1f1
1861,288.2421904676133,287.1759512802666,E3SM-1-0,historical,r3i1p1f1
1862,288.076487270276,287.03526186231187,E3SM-1-0,historical,r3i1p1f1
1863,288.0732759956769,287.0170706548825,E3SM-1-0,historical,r3i1p1f1
1864,288.12862487378027,287.0770244230306,E3SM-1-0,historical,r3i1p1f1
1865,288.15846914651377,287.0906883059126,E3SM-1-0,historical,r3i1p1f1
1866,288.2326147610568,287.12806183955826,E3SM-1-0,historical,r3i1p1f1
1867,288.16387405272326,287.0416722167293,E3SM-1-0,historical,r3i1p1f1
1868,288.0334960567859,286.93725147449396,E3SM-1-0,historical,r3i1p1f1
1869,288.0586165708656,286.91149899445213,E3SM-1-0,historical,r3i1p1f1
1870,287.9914620389583,286.86341527293024,E3SM-1-0,historical,r3i1p1f1
1871,287.9797343125951,286.86652448969016,E3SM-1-0,historical,r3i1p1f1
1872,287.97899355769056,286.8491197264033,E3SM-1-0,historical,r3i1p1f1
1873,288.14951018043575,287.04838980413797,E3SM-1-0,historical,r3i1p1f1
1874,288.0475270571908,286.93416995081117,E3SM-1-0,historical,r3i1p1f1
1875,288.16013703655705,287.0747276039763,E3SM-1-0,historical,r3i1p1f1
1876,288.18671226023724,287.0948625704926,E3SM-1-0,historical,r3i1p1f1
1877,288.2486658065925,287.1726719766604,E3SM-1-0,historical,r3i1p1f1
1878,288.0859900633664,286.9638754429331,E3SM-1-0,historical,r3i1p1f1
1879,288.13263808200264,287.02194451884657,E3SM-1-0,historical,r3i1p1f1
1880,288.0170350270393,286.9289492847393,E3SM-1-0,historical,r3i1p1f1
1881,288.13816491971045,287.0949773639658,E3SM-1-0,historical,r3i1p1f1
1882,288.2038285207797,287.11630595466085,E3SM-1-0,historical,r3i1p1f1
1883,288.0443985818325,286.9821637128824,E3SM-1-0,historical,r3i1p1f1
1884,287.80623085031016,286.7453211487454,E3SM-1-0,historical,r3i1p1f1
1885,287.7266266485518,286.66090359714997,E3SM-1-0,historical,r3i1p1f1
1886,287.82022282346674,286.7368524198833,E3SM-1-0,historical,r3i1p1f1
1887,288.0059100423191,286.94049707994446,E3SM-1-0,historical,r3i1p1f1
1888,288.03010126907515,286.94012282691233,E3SM-1-0,historical,r3i1p1f1
1889,287.9784555816691,286.8880871911727,E3SM-1-0,historical,r3i1p1f1
1890,287.94798309442194,286.846774075759,E3SM-1-0,historical,r3i1p1f1
1891,287.93912088870354,286.8638648231014,E3SM-1-0,historical,r3i1p1f1
1892,287.9852241627547,286.91324734785053,E3SM-1-0,historical,r3i1p1f1
1893,288.24031368209666,287.16815374618017,E3SM-1-0,historical,r3i1p1f1
1894,287.91748871611657,286.86164604201207,E3SM-1-0,historical,r3i1p1f1
1895,287.9560246297256,286.8811551921085,E3SM-1-0,historical,r3i1p1f1
1896,288.1070777310965,287.00714267036665,E3SM-1-0,historical,r3i1p1f1
1897,287.9508920055858,286.8098963261667,E3SM-1-0,historical,r3i1p1f1
1898,287.99547251776045,286.86807006926784,E3SM-1-0,historical,r3i1p1f1
1899,288.0843428779983,286.96816965669336,E3SM-1-0,historical,r3i1p1f1
1900,288.0348764546444,286.9506931687296,E3SM-1-0,historical,r3i1p1f1
1901,288.0875291766126,287.01568792008,E3SM-1-0,historical,r3i1p1f1
1902,287.8064022170194,286.7305907436553,E3SM-1-0,historical,r3i1p1f1
1903,287.69814342961763,286.6226202305021,E3SM-1-0,historical,r3i1p1f1
1904,287.956681817283,286.90257265074604,E3SM-1-0,historical,r3i1p1f1
1905,288.07981576281105,287.030159335672,E3SM-1-0,historical,r3i1p1f1
1906,287.81293007945374,286.7319744721101,E3SM-1-0,historical,r3i1p1f1
1907,287.86040979505884,286.7786539799508,E3SM-1-0,historical,r3i1p1f1
1908,287.84208026634957,286.7630866438808,E3SM-1-0,historical,r3i1p1f1
1909,287.83227330817743,286.7546820168184,E3SM-1-0,historical,r3i1p1f1
1910,287.92224942115485,286.84716208286295,E3SM-1-0,historical,r3i1p1f1
1911,287.9736218235948,286.8645564299102,E3SM-1-0,historical,r3i1p1f1
1912,287.9190552738219,286.84303289613314,E3SM-1-0,historical,r3i1p1f1
1913,287.9079652542254,286.8700411448742,E3SM-1-0,historical,r3i1p1f1
1914,288.0127925144485,286.9398957632504,E3SM-1-0,historical,r3i1p1f1
1915,288.14933897442234,287.0638883028435,E3SM-1-0,historical,r3i1p1f1
1916,288.0724872010816,286.9821332742666,E3SM-1-0,historical,r3i1p1f1
1917,288.0410632819391,286.9403902403403,E3SM-1-0,historical,r3i1p1f1
1918,288.0558929123305,286.968638838111,E3SM-1-0,historical,r3i1p1f1
1919,288.13865203923933,287.0671909289497,E3SM-1-0,historical,r3i1p1f1
1920,288.0141527269142,286.95348487245417,E3SM-1-0,historical,r3i1p1f1
1921,288.0905006897501,286.98798731573976,E3SM-1-0,historical,r3i1p1f1
1922,288.11012975485284,287.0285596545658,E3SM-1-0,historical,r3i1p1f1
1923,287.97898630370327,286.8989218838289,E3SM-1-0,historical,r3i1p1f1
1924,288.25403023243257,287.17399668867193,E3SM-1-0,historical,r3i1p1f1
1925,288.1045104775181,287.0295410578781,E3SM-1-0,historical,r3i1p1f1
1926,288.03192474507847,286.96438189093965,E3SM-1-0,historical,r3i1p1f1
1927,288.242733239637,287.1602164471788,E3SM-1-0,historical,r3i1p1f1
1928,288.10881869719833,287.0106756609506,E3SM-1-0,historical,r3i1p1f1
1929,288.12415423654113,287.07035778993065,E3SM-1-0,historical,r3i1p1f1
1930,288.2245816909115,287.20948095493605,E3SM-1-0,historical,r3i1p1f1
1931,288.2331409903647,287.1902160359337,E3SM-1-0,historical,r3i1p1f1
1932,288.1744560709136,287.10972644852626,E3SM-1-0,historical,r3i1p1f1
1933,288.30584845310426,287.23303840550875,E3SM-1-0,historical,r3i1p1f1
1934,288.15819353483477,287.1071065567898,E3SM-1-0,historical,r3i1p1f1
1935,288.10174600317936,287.0116175998589,E3SM-1-0,historical,r3i1p1f1
1936,288.1003687783289,287.0404303555906,E3SM-1-0,historical,r3i1p1f1
1937,288.3074255076509,287.2235567639893,E3SM-1-0,historical,r3i1p1f1
1938,288.2942073461909,287.222057940672,E3SM-1-0,historical,r3i1p1f1
1939,288.15809664811115,287.07794834561804,E3SM-1-0,historical,r3i1p1f1
1940,288.28277598793386,287.209406999922,E3SM-1-0,historical,r3i1p1f1
1941,288.3933900737103,287.3437750943658,E3SM-1-0,historical,r3i1p1f1
1942,288.11337273234466,287.0383160902131,E3SM-1-0,historical,r3i1p1f1
1943,288.0855003666584,287.03081897780453,E3SM-1-0,historical,r3i1p1f1
1944,288.2346182730191,287.1911405698731,E3SM-1-0,historical,r3i1p1f1
1945,288.1896610096841,287.1480479640312,E3SM-1-0,historical,r3i1p1f1
1946,288.30508615336106,287.2664029306661,E3SM-1-0,historical,r3i1p1f1
1947,288.264316130274,287.2304999517163,E3SM-1-0,historical,r3i1p1f1
1948,288.25993774280647,287.1893499753953,E3SM-1-0,historical,r3i1p1f1
1949,288.3071390622937,287.2198621501647,E3SM-1-0,historical,r3i1p1f1
1950,288.20594483084915,287.1163464989784,E3SM-1-0,historical,r3i1p1f1
1951,288.0829828610682,287.0127658951527,E3SM-1-0,historical,r3i1p1f1
1952,288.1709016561273,287.1048949786768,E3SM-1-0,historical,r3i1p1f1
1953,288.14467599583605,287.1006088972647,E3SM-1-0,historical,r3i1p1f1
1954,288.0977885305599,286.9991897594352,E3SM-1-0,historical,r3i1p1f1
1955,288.09026309754296,287.0004080230925,E3SM-1-0,historical,r3i1p1f1
1956,288.1239348856605,287.070145018337,E3SM-1-0,historical,r3i1p1f1
1957,288.2166666453893,287.1662992889544,E3SM-1-0,historical,r3i1p1f1
1958,288.12829435710694,287.09439760268674,E3SM-1-0,historical,r3i1p1f1
1959,288.20018200766583,287.1467148546725,E3SM-1-0,historical,r3i1p1f1
1960,288.20370673247646,287.1520583780045,E3SM-1-0,historical,r3i1p1f1
1961,288.13942598637624,287.07012624606654,E3SM-1-0,historical,r3i1p1f1
1962,288.0041892588439,286.95153065511727,E3SM-1-0,historical,r3i1p1f1
1963,287.8484366256274,286.77055726934816,E3SM-1-0,historical,r3i1p1f1
1964,287.89676088058366,286.85785355184726,E3SM-1-0,historical,r3i1p1f1
1965,287.90300891497395,286.83084275382515,E3SM-1-0,historical,r3i1p1f1
1966,288.01927777467364,286.97670806839574,E3SM-1-0,historical,r3i1p1f1
1967,287.960564241741,286.8731244367415,E3SM-1-0,historical,r3i1p1f1
1968,288.0599974881396,286.96656099927986,E3SM-1-0,historical,r3i1p1f1
1969,288.12145107473026,287.0051913184642,E3SM-1-0,historical,r3i1p1f1
1970,288.0650570705321,286.95812637279965,E3SM-1-0,historical,r3i1p1f1
1971,288.08842044493434,286.98935105058143,E3SM-1-0,historical,r3i1p1f1
1972,288.0332208939559,286.93285490420953,E3SM-1-0,historical,r3i1p1f1
1973,288.0405227577409,286.980065187771,E3SM-1-0,historical,r3i1p1f1
1974,288.13021291949485,287.0379404299747,E3SM-1-0,historical,r3i1p1f1
1975,287.9485968951101,286.8645245100623,E3SM-1-0,historical,r3i1p1f1
1976,288.04046860798115,286.95475126315284,E3SM-1-0,historical,r3i1p1f1
1977,287.95059111488575,286.85845928060684,E3SM-1-0,historical,r3i1p1f1
1978,287.9926361770714,286.89917028616384,E3SM-1-0,historical,r3i1p1f1
1979,288.03687389057916,286.9736635339817,E3SM-1-0,historical,r3i1p1f1
1980,288.03875208128466,286.9873203260265,E3SM-1-0,historical,r3i1p1f1
1981,288.12086958424453,287.0351235777088,E3SM-1-0,historical,r3i1p1f1
1982,287.97856107906176,286.9090080166339,E3SM-1-0,historical,r3i1p1f1
1983,287.969782920677,286.90973869296926,E3SM-1-0,historical,r3i1p1f1
1984,288.0799746659884,287.000203447025,E3SM-1-0,historical,r3i1p1f1
1985,288.0691450528505,287.0216892446748,E3SM-1-0,historical,r3i1p1f1
1986,288.190040530864,287.1071016461181,E3SM-1-0,historical,r3i1p1f1
1987,288.0709703236223,286.98521712251164,E3SM-1-0,historical,r3i1p1f1
1988,288.1767836353761,287.105190106102,E3SM-1-0,historical,r3i1p1f1
1989,288.2441495605691,287.12379164756265,E3SM-1-0,historical,r3i1p1f1
1990,288.15514958613227,287.03519747011717,E3SM-1-0,historical,r3i1p1f1
1991,288.1337057120087,287.10603392372406,E3SM-1-0,historical,r3i1p1f1
