year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.82275411479105,286.7169869288186,E3SM-1-1-ECA,historical,r1i1p1f1
1851,287.7656651161927,286.6341708086114,E3SM-1-1-ECA,historical,r1i1p1f1
1852,287.78931544947153,286.64364795719047,E3SM-1-1-ECA,historical,r1i1p1f1
1853,287.9138875447343,286.78111120804346,E3SM-1-1-ECA,historical,r1i1p1f1
1854,287.91503852518383,286.77457833370966,E3SM-1-1-ECA,historical,r1i1p1f1
1855,287.9057041702953,286.76495309878726,E3SM-1-1-ECA,historical,r1i1p1f1
1856,287.8264380968999,286.709170780125,E3SM-1-1-ECA,historical,r1i1p1f1
1857,287.70703698300747,286.52515013280083,E3SM-1-1-ECA,historical,r1i1p1f1
1858,287.74297951755597,286.5785851164488,E3SM-1-1-ECA,historical,r1i1p1f1
1859,287.77525620287014,286.60113241502296,E3SM-1-1-ECA,historical,r1i1p1f1
1860,287.7271505341026,286.53126500698227,E3SM-1-1-ECA,historical,r1i1p1f1
1861,287.8266708336371,286.68819451897355,E3SM-1-1-ECA,historical,r1i1p1f1
1862,287.7820076030598,286.61221704225113,E3SM-1-1-ECA,historical,r1i1p1f1
1863,287.81058529745553,286.63566264829154,E3SM-1-1-ECA,historical,r1i1p1f1
1864,287.81900654421446,286.6307443601043,E3SM-1-1-ECA,historical,r1i1p1f1
1865,288.04519321251314,286.8898274496332,E3SM-1-1-ECA,historical,r1i1p1f1
1866,287.8608922782051,286.7177957432621,E3SM-1-1-ECA,historical,r1i1p1f1
1867,287.7016955323247,286.53307030036416,E3SM-1-1-ECA,historical,r1i1p1f1
1868,287.6940562640177,286.5202943046688,E3SM-1-1-ECA,historical,r1i1p1f1
1869,287.7157848468415,286.5266786348433,E3SM-1-1-ECA,historical,r1i1p1f1
1870,287.8605258067428,286.70324801411505,E3SM-1-1-ECA,historical,r1i1p1f1
1871,287.93334223092313,286.7691819141734,E3SM-1-1-ECA,historical,r1i1p1f1
1872,287.89067651341634,286.6953589193448,E3SM-1-1-ECA,historical,r1i1p1f1
1873,287.9121690465178,286.7885278180717,E3SM-1-1-ECA,historical,r1i1p1f1
1874,287.96474116972587,286.85946783495984,E3SM-1-1-ECA,historical,r1i1p1f1
1875,288.097043952032,286.99950149328316,E3SM-1-1-ECA,historical,r1i1p1f1
1876,288.08685395346623,286.98769915261545,E3SM-1-1-ECA,historical,r1i1p1f1
1877,287.9183660116857,286.8029371968358,E3SM-1-1-ECA,historical,r1i1p1f1
1878,287.8225534755131,286.6757017466829,E3SM-1-1-ECA,historical,r1i1p1f1
1879,287.87622637557104,286.7393949933925,E3SM-1-1-ECA,historical,r1i1p1f1
1880,287.97403492000115,286.8437496380365,E3SM-1-1-ECA,historical,r1i1p1f1
1881,288.02466969823536,286.87237806751926,E3SM-1-1-ECA,historical,r1i1p1f1
1882,287.9852377250547,286.818936670875,E3SM-1-1-ECA,historical,r1i1p1f1
1883,288.0316311781493,286.8929542291739,E3SM-1-1-ECA,historical,r1i1p1f1
1884,287.6335602699152,286.5091856991783,E3SM-1-1-ECA,historical,r1i1p1f1
1885,287.6711910768458,286.5296302330492,E3SM-1-1-ECA,historical,r1i1p1f1
1886,287.8162168557341,286.6418293434136,E3SM-1-1-ECA,historical,r1i1p1f1
1887,287.7703717226079,286.64932160191637,E3SM-1-1-ECA,historical,r1i1p1f1
1888,287.73690056300944,286.6245582122309,E3SM-1-1-ECA,historical,r1i1p1f1
1889,287.74799584359545,286.5821399140444,E3SM-1-1-ECA,historical,r1i1p1f1
1890,287.7726776247112,286.6467087486078,E3SM-1-1-ECA,historical,r1i1p1f1
1891,287.78003523219286,286.62739756028043,E3SM-1-1-ECA,historical,r1i1p1f1
1892,287.6548710231712,286.48362418580774,E3SM-1-1-ECA,historical,r1i1p1f1
1893,287.70628725562534,286.55421286084766,E3SM-1-1-ECA,historical,r1i1p1f1
1894,287.7646366414979,286.586857213123,E3SM-1-1-ECA,historical,r1i1p1f1
1895,287.66610792193313,286.49604038862657,E3SM-1-1-ECA,historical,r1i1p1f1
1896,287.73534201956153,286.5393112251553,E3SM-1-1-ECA,historical,r1i1p1f1
1897,287.74554610717354,286.58578841760925,E3SM-1-1-ECA,historical,r1i1p1f1
1898,287.70922128922575,286.5292241955339,E3SM-1-1-ECA,historical,r1i1p1f1
1899,287.79401930432476,286.6275138477984,E3SM-1-1-ECA,historical,r1i1p1f1
1900,287.674660251693,286.4770908497474,E3SM-1-1-ECA,historical,r1i1p1f1
1901,287.7382336217886,286.562890731953,E3SM-1-1-ECA,historical,r1i1p1f1
1902,287.85348508259403,286.6702391228652,E3SM-1-1-ECA,historical,r1i1p1f1
1903,287.70029549506893,286.5692069182224,E3SM-1-1-ECA,historical,r1i1p1f1
1904,287.6148351940232,286.45660222838893,E3SM-1-1-ECA,historical,r1i1p1f1
1905,287.74396331113144,286.5848158094415,E3SM-1-1-ECA,historical,r1i1p1f1
1906,287.79169051047035,286.67328044530325,E3SM-1-1-ECA,historical,r1i1p1f1
1907,287.6324371244899,286.4800302297903,E3SM-1-1-ECA,historical,r1i1p1f1
1908,287.6224572841624,286.4644962662201,E3SM-1-1-ECA,historical,r1i1p1f1
1909,287.77357338950867,286.65203771079706,E3SM-1-1-ECA,historical,r1i1p1f1
1910,287.66304716203365,286.50057183739926,E3SM-1-1-ECA,historical,r1i1p1f1
1911,287.7741658444661,286.6332879891544,E3SM-1-1-ECA,historical,r1i1p1f1
1912,287.74707041398307,286.59777779765153,E3SM-1-1-ECA,historical,r1i1p1f1
1913,287.69217565950316,286.5478210840204,E3SM-1-1-ECA,historical,r1i1p1f1
1914,287.6927244925542,286.55173753552657,E3SM-1-1-ECA,historical,r1i1p1f1
1915,287.69106673431196,286.5701872366391,E3SM-1-1-ECA,historical,r1i1p1f1
1916,287.72482994843836,286.5692942080708,E3SM-1-1-ECA,historical,r1i1p1f1
1917,287.8026101401445,286.63125444067714,E3SM-1-1-ECA,historical,r1i1p1f1
1918,287.9461428805309,286.76588538670535,E3SM-1-1-ECA,historical,r1i1p1f1
1919,287.7171749533762,286.6020579351624,E3SM-1-1-ECA,historical,r1i1p1f1
1920,287.8537904882778,286.710761550892,E3SM-1-1-ECA,historical,r1i1p1f1
1921,287.7471428607643,286.61754078752665,E3SM-1-1-ECA,historical,r1i1p1f1
1922,287.54384702464876,286.42567443878994,E3SM-1-1-ECA,historical,r1i1p1f1
1923,287.71032913336364,286.5447464591501,E3SM-1-1-ECA,historical,r1i1p1f1
1924,287.8004275824412,286.66869159657847,E3SM-1-1-ECA,historical,r1i1p1f1
1925,287.8699359307354,286.73284677221517,E3SM-1-1-ECA,historical,r1i1p1f1
1926,287.9214072950747,286.7898069524387,E3SM-1-1-ECA,historical,r1i1p1f1
1927,287.8911189409462,286.76694198074364,E3SM-1-1-ECA,historical,r1i1p1f1
1928,287.8045213546384,286.6529937989069,E3SM-1-1-ECA,historical,r1i1p1f1
1929,287.81927381533745,286.63778555783637,E3SM-1-1-ECA,historical,r1i1p1f1
1930,287.87714239527463,286.6853820926612,E3SM-1-1-ECA,historical,r1i1p1f1
1931,287.9285768709769,286.7728349151228,E3SM-1-1-ECA,historical,r1i1p1f1
1932,287.8852164099745,286.7754187707938,E3SM-1-1-ECA,historical,r1i1p1f1
1933,287.83557171055463,286.66576540441514,E3SM-1-1-ECA,historical,r1i1p1f1
1934,287.8081628909172,286.68133027854685,E3SM-1-1-ECA,historical,r1i1p1f1
1935,287.96780807658473,286.8386466533268,E3SM-1-1-ECA,historical,r1i1p1f1
1936,287.95994469953996,286.8134978457801,E3SM-1-1-ECA,historical,r1i1p1f1
1937,287.7588405813944,286.62070668989634,E3SM-1-1-ECA,historical,r1i1p1f1
1938,287.7484695580767,286.59829678444106,E3SM-1-1-ECA,historical,r1i1p1f1
1939,287.6954032199586,286.5234106232069,E3SM-1-1-ECA,historical,r1i1p1f1
1940,287.65494135503303,286.4991198906465,E3SM-1-1-ECA,historical,r1i1p1f1
1941,287.7309153809464,286.5634085768904,E3SM-1-1-ECA,historical,r1i1p1f1
1942,287.6407791441899,286.4855461854929,E3SM-1-1-ECA,historical,r1i1p1f1
1943,287.7645757016665,286.58690652949196,E3SM-1-1-ECA,historical,r1i1p1f1
1944,287.84550092213954,286.68915005775955,E3SM-1-1-ECA,historical,r1i1p1f1
1945,287.7497570250995,286.60282771705164,E3SM-1-1-ECA,historical,r1i1p1f1
1946,287.79960712660534,286.65984644050326,E3SM-1-1-ECA,historical,r1i1p1f1
1947,287.76989264938385,286.5450919326316,E3SM-1-1-ECA,historical,r1i1p1f1
1948,287.9423787214296,286.7568705286976,E3SM-1-1-ECA,historical,r1i1p1f1
1949,287.9797167867413,286.82148090797875,E3SM-1-1-ECA,historical,r1i1p1f1
1950,287.8817317334521,286.724607421748,E3SM-1-1-ECA,historical,r1i1p1f1
1951,287.84269316045123,286.7137936633386,E3SM-1-1-ECA,historical,r1i1p1f1
1952,287.90515143357044,286.775162151226,E3SM-1-1-ECA,historical,r1i1p1f1
1953,287.9015645745069,286.7288093580656,E3SM-1-1-ECA,historical,r1i1p1f1
1954,287.8499730577744,286.70842933679245,E3SM-1-1-ECA,historical,r1i1p1f1
1955,287.76397716216746,286.626607442073,E3SM-1-1-ECA,historical,r1i1p1f1
1956,287.8255215388712,286.6742930878812,E3SM-1-1-ECA,historical,r1i1p1f1
1957,287.8792945123055,286.7784416042651,E3SM-1-1-ECA,historical,r1i1p1f1
1958,287.77118774649614,286.62544380603623,E3SM-1-1-ECA,historical,r1i1p1f1
1959,287.63574813732464,286.5023694383099,E3SM-1-1-ECA,historical,r1i1p1f1
1960,287.69070514697586,286.5705698190543,E3SM-1-1-ECA,historical,r1i1p1f1
1961,287.75010383846535,286.60547932349823,E3SM-1-1-ECA,historical,r1i1p1f1
1962,287.7824672445679,286.669702523827,E3SM-1-1-ECA,historical,r1i1p1f1
1963,287.6503275441651,286.5293289451962,E3SM-1-1-ECA,historical,r1i1p1f1
1964,287.52993469364645,286.3726512691879,E3SM-1-1-ECA,historical,r1i1p1f1
1965,287.5528224887873,286.40774590696327,E3SM-1-1-ECA,historical,r1i1p1f1
1966,287.6951096385574,286.58349456753695,E3SM-1-1-ECA,historical,r1i1p1f1
1967,287.7387933435901,286.6289359236913,E3SM-1-1-ECA,historical,r1i1p1f1
1968,287.68038090863314,286.5541174219442,E3SM-1-1-ECA,historical,r1i1p1f1
1969,287.7479575481325,286.63269643420045,E3SM-1-1-ECA,historical,r1i1p1f1
1970,287.6764655607296,286.5269659159786,E3SM-1-1-ECA,historical,r1i1p1f1
1971,287.8395107311323,286.6928377514821,E3SM-1-1-ECA,historical,r1i1p1f1
1972,287.70000286582433,286.5736917655197,E3SM-1-1-ECA,historical,r1i1p1f1
1973,287.70338436853086,286.594353972873,E3SM-1-1-ECA,historical,r1i1p1f1
1974,287.5823772245651,286.4788996042892,E3SM-1-1-ECA,historical,r1i1p1f1
1975,287.7446091740503,286.65611220924717,E3SM-1-1-ECA,historical,r1i1p1f1
1976,287.65576778088723,286.4947566526644,E3SM-1-1-ECA,historical,r1i1p1f1
1977,287.58486927593157,286.44627572697726,E3SM-1-1-ECA,historical,r1i1p1f1
1978,287.66537232835833,286.52505696341115,E3SM-1-1-ECA,historical,r1i1p1f1
1979,287.69640620342506,286.5840251151076,E3SM-1-1-ECA,historical,r1i1p1f1
1980,287.60071824798644,286.45994157783934,E3SM-1-1-ECA,historical,r1i1p1f1
1981,287.787463866355,286.67258169035154,E3SM-1-1-ECA,historical,r1i1p1f1
1982,287.94007991822195,286.77942192284684,E3SM-1-1-ECA,historical,r1i1p1f1
1983,287.8356204079826,286.7080053936494,E3SM-1-1-ECA,historical,r1i1p1f1
1984,287.84430063049155,286.7441184556605,E3SM-1-1-ECA,historical,r1i1p1f1
1985,288.02288892462326,286.88957529726304,E3SM-1-1-ECA,historical,r1i1p1f1
1986,287.9700276317139,286.87342409299043,E3SM-1-1-ECA,historical,r1i1p1f1
