year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.505751422702,287.29561163482884,EC-Earth3-AerChem,historical,r1i1p1f1
1851,288.6149706256703,287.4254127538707,EC-Earth3-AerChem,historical,r1i1p1f1
1852,288.58544673613625,287.3821094720991,EC-Earth3-AerChem,historical,r1i1p1f1
1853,288.4801609891253,287.29485558462704,EC-Earth3-AerChem,historical,r1i1p1f1
1854,288.5008764350085,287.356318803294,EC-Earth3-AerChem,historical,r1i1p1f1
1855,288.61583394580333,287.45552664414555,EC-Earth3-AerChem,historical,r1i1p1f1
1856,288.5243456118767,287.3456752978802,EC-Earth3-AerChem,historical,r1i1p1f1
1857,288.58012020881677,287.38807474012924,EC-Earth3-AerChem,historical,r1i1p1f1
1858,288.6300773996546,287.42849378772917,EC-Earth3-AerChem,historical,r1i1p1f1
1859,288.56896012395634,287.369215149398,EC-Earth3-AerChem,historical,r1i1p1f1
1860,288.612242336365,287.3935633581071,EC-Earth3-AerChem,historical,r1i1p1f1
1861,288.64423029928815,287.45803308438906,EC-Earth3-AerChem,historical,r1i1p1f1
1862,288.4974916933591,287.24710823202827,EC-Earth3-AerChem,historical,r1i1p1f1
1863,288.46315169248857,287.2134416823087,EC-Earth3-AerChem,historical,r1i1p1f1
1864,288.4802781397763,287.25392695220836,EC-Earth3-AerChem,historical,r1i1p1f1
1865,288.5756551139143,287.41202688888814,EC-Earth3-AerChem,historical,r1i1p1f1
1866,288.4035753449034,287.2129028859895,EC-Earth3-AerChem,historical,r1i1p1f1
1867,288.53732049329125,287.3394846041721,EC-Earth3-AerChem,historical,r1i1p1f1
1868,288.5956226166616,287.38121616886286,EC-Earth3-AerChem,historical,r1i1p1f1
1869,288.57782505349076,287.34614439226544,EC-Earth3-AerChem,historical,r1i1p1f1
1870,288.4411218715424,287.23331780708355,EC-Earth3-AerChem,historical,r1i1p1f1
1871,288.61545774384507,287.38267761018625,EC-Earth3-AerChem,historical,r1i1p1f1
1872,288.7741645586996,287.5832315691073,EC-Earth3-AerChem,historical,r1i1p1f1
1873,288.5559639010718,287.4013705610119,EC-Earth3-AerChem,historical,r1i1p1f1
1874,288.6818551362872,287.50233348705905,EC-Earth3-AerChem,historical,r1i1p1f1
1875,288.59240502653324,287.4149068265936,EC-Earth3-AerChem,historical,r1i1p1f1
1876,288.64083368021625,287.41684739786604,EC-Earth3-AerChem,historical,r1i1p1f1
1877,288.5545187877436,287.3182351239329,EC-Earth3-AerChem,historical,r1i1p1f1
1878,288.70735293089234,287.4679065754574,EC-Earth3-AerChem,historical,r1i1p1f1
1879,288.7065526995122,287.50693461775364,EC-Earth3-AerChem,historical,r1i1p1f1
1880,288.42019649290216,287.1887117748596,EC-Earth3-AerChem,historical,r1i1p1f1
1881,288.5978562016156,287.3606710179324,EC-Earth3-AerChem,historical,r1i1p1f1
1882,288.69436488468943,287.4722901917839,EC-Earth3-AerChem,historical,r1i1p1f1
1883,288.459406136251,287.255493941849,EC-Earth3-AerChem,historical,r1i1p1f1
1884,288.2060040143161,287.0205812355448,EC-Earth3-AerChem,historical,r1i1p1f1
1885,288.2578670528682,287.0665662385482,EC-Earth3-AerChem,historical,r1i1p1f1
1886,288.2900356961606,287.0964333376549,EC-Earth3-AerChem,historical,r1i1p1f1
1887,288.3798931295711,287.20145741012647,EC-Earth3-AerChem,historical,r1i1p1f1
1888,288.34569372957844,287.13421545064347,EC-Earth3-AerChem,historical,r1i1p1f1
1889,288.4561045940939,287.23406059864107,EC-Earth3-AerChem,historical,r1i1p1f1
1890,288.5610310903215,287.3445601896236,EC-Earth3-AerChem,historical,r1i1p1f1
1891,288.52409911622635,287.31842188328125,EC-Earth3-AerChem,historical,r1i1p1f1
1892,288.61154291597825,287.39671157573844,EC-Earth3-AerChem,historical,r1i1p1f1
1893,288.60916116554597,287.3796456777703,EC-Earth3-AerChem,historical,r1i1p1f1
1894,288.52108052411234,287.3120461404203,EC-Earth3-AerChem,historical,r1i1p1f1
1895,288.4922570609714,287.2832422311105,EC-Earth3-AerChem,historical,r1i1p1f1
1896,288.47594778089433,287.2695287155343,EC-Earth3-AerChem,historical,r1i1p1f1
1897,288.45863002226,287.24198521668393,EC-Earth3-AerChem,historical,r1i1p1f1
1898,288.36427138252196,287.0977468126377,EC-Earth3-AerChem,historical,r1i1p1f1
1899,288.43714242500255,287.19137668778745,EC-Earth3-AerChem,historical,r1i1p1f1
1900,288.5053221102199,287.28319270634603,EC-Earth3-AerChem,historical,r1i1p1f1
1901,288.4909264999061,287.29515798953634,EC-Earth3-AerChem,historical,r1i1p1f1
1902,288.35189483148827,287.1292735439056,EC-Earth3-AerChem,historical,r1i1p1f1
1903,288.1758070448104,286.939558582223,EC-Earth3-AerChem,historical,r1i1p1f1
1904,288.33623302068065,287.0898934803892,EC-Earth3-AerChem,historical,r1i1p1f1
1905,288.4295363572176,287.1749019918696,EC-Earth3-AerChem,historical,r1i1p1f1
