year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.5074822317067,288.4175915146049,EC-Earth3-AerChem,ssp370,r1i1p1f1
2016,289.3843134983056,288.2966292924994,EC-Earth3-AerChem,ssp370,r1i1p1f1
2017,289.34467974405834,288.2927444282573,EC-Earth3-AerChem,ssp370,r1i1p1f1
2018,289.4111392634444,288.37680972900927,EC-Earth3-AerChem,ssp370,r1i1p1f1
2019,289.5071456021032,288.463313797974,EC-Earth3-AerChem,ssp370,r1i1p1f1
2020,289.40663620077527,288.3458249572047,EC-Earth3-AerChem,ssp370,r1i1p1f1
2021,289.4986700573826,288.41303069354444,EC-Earth3-AerChem,ssp370,r1i1p1f1
2022,289.6100722684829,288.5082541876823,EC-Earth3-AerChem,ssp370,r1i1p1f1
2023,289.772350507672,288.68243535164095,EC-Earth3-AerChem,ssp370,r1i1p1f1
2024,289.5624935837926,288.47090280055454,EC-Earth3-AerChem,ssp370,r1i1p1f1
2025,289.5751465506116,288.4537556260756,EC-Earth3-AerChem,ssp370,r1i1p1f1
2026,289.6544709933688,288.5539792100656,EC-Earth3-AerChem,ssp370,r1i1p1f1
2027,289.87278629338675,288.7423818356616,EC-Earth3-AerChem,ssp370,r1i1p1f1
2028,289.887513786162,288.8070660030351,EC-Earth3-AerChem,ssp370,r1i1p1f1
2029,289.7701028588131,288.67307272060077,EC-Earth3-AerChem,ssp370,r1i1p1f1
2030,289.728169873836,288.6633882854016,EC-Earth3-AerChem,ssp370,r1i1p1f1
2031,289.9557440024417,288.88093686028526,EC-Earth3-AerChem,ssp370,r1i1p1f1
2032,289.9943229262421,288.90756171662434,EC-Earth3-AerChem,ssp370,r1i1p1f1
2033,289.8487565359706,288.7650397030019,EC-Earth3-AerChem,ssp370,r1i1p1f1
2034,289.8044791015351,288.7239373039272,EC-Earth3-AerChem,ssp370,r1i1p1f1
2035,290.043954020883,288.97450717229026,EC-Earth3-AerChem,ssp370,r1i1p1f1
2036,290.1951217468093,289.1205534758734,EC-Earth3-AerChem,ssp370,r1i1p1f1
2037,290.0040084516618,288.89874400823794,EC-Earth3-AerChem,ssp370,r1i1p1f1
2038,289.950231793227,288.84793793911234,EC-Earth3-AerChem,ssp370,r1i1p1f1
