year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.58741076234065,287.32098608911997,EC-Earth3-CC,historical,r1i1p1f1
1851,288.6852905890561,287.4493122411272,EC-Earth3-CC,historical,r1i1p1f1
1852,288.5680080153945,287.32749778834363,EC-Earth3-CC,historical,r1i1p1f1
1853,288.63381420277517,287.38674320653365,EC-Earth3-CC,historical,r1i1p1f1
1854,288.6576789636199,287.40707818835887,EC-Earth3-CC,historical,r1i1p1f1
1855,288.63367955126,287.3791815631007,EC-Earth3-CC,historical,r1i1p1f1
1856,288.5903886490021,287.3612876016639,EC-Earth3-CC,historical,r1i1p1f1
1857,288.71285320321897,287.4530162567207,EC-Earth3-CC,historical,r1i1p1f1
1858,288.65800155783387,287.39841067860397,EC-Earth3-CC,historical,r1i1p1f1
1859,288.61679763026444,287.3531741128759,EC-Earth3-CC,historical,r1i1p1f1
1860,288.4858556397267,287.20781723715214,EC-Earth3-CC,historical,r1i1p1f1
1861,288.51574815567653,287.2288881483367,EC-Earth3-CC,historical,r1i1p1f1
1862,288.4062381489131,287.15981895365735,EC-Earth3-CC,historical,r1i1p1f1
1863,288.2766538835098,286.9933062648635,EC-Earth3-CC,historical,r1i1p1f1
1864,288.2445417811896,286.94170476497135,EC-Earth3-CC,historical,r1i1p1f1
1865,288.3289252984463,286.9973740554382,EC-Earth3-CC,historical,r1i1p1f1
1866,288.4917371651461,287.1877420353118,EC-Earth3-CC,historical,r1i1p1f1
1867,288.2981573581926,286.9630856672654,EC-Earth3-CC,historical,r1i1p1f1
1868,288.37393537985236,287.0412182944682,EC-Earth3-CC,historical,r1i1p1f1
1869,288.4810593214518,287.1462474197155,EC-Earth3-CC,historical,r1i1p1f1
1870,288.48226740380085,287.1258758687821,EC-Earth3-CC,historical,r1i1p1f1
1871,288.3823847400031,287.00970863890717,EC-Earth3-CC,historical,r1i1p1f1
1872,288.59147790719436,287.2603873229263,EC-Earth3-CC,historical,r1i1p1f1
1873,288.4067953873633,287.06359476864276,EC-Earth3-CC,historical,r1i1p1f1
1874,288.298911521516,286.9393390682458,EC-Earth3-CC,historical,r1i1p1f1
1875,288.27188864339183,286.92012477691736,EC-Earth3-CC,historical,r1i1p1f1
1876,288.36053686845287,287.04653480118543,EC-Earth3-CC,historical,r1i1p1f1
1877,288.4519829424858,287.1128648181785,EC-Earth3-CC,historical,r1i1p1f1
1878,288.73973131865074,287.4502189260148,EC-Earth3-CC,historical,r1i1p1f1
1879,288.6990905795057,287.41422431691393,EC-Earth3-CC,historical,r1i1p1f1
1880,288.4195839775486,287.07619300035856,EC-Earth3-CC,historical,r1i1p1f1
