year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.80907031334965,286.4768452478982,EC-Earth3-Veg-LR,historical,r1i1p1f1
1851,287.67943053328213,286.339596774621,EC-Earth3-Veg-LR,historical,r1i1p1f1
1852,287.6999017741213,286.33567084528534,EC-Earth3-Veg-LR,historical,r1i1p1f1
1853,287.78899540533945,286.4341526589021,EC-Earth3-Veg-LR,historical,r1i1p1f1
1854,287.90232972479464,286.5423301222965,EC-Earth3-Veg-LR,historical,r1i1p1f1
1855,287.9524944492413,286.6391854356383,EC-Earth3-Veg-LR,historical,r1i1p1f1
1856,287.95294899225576,286.63939324737754,EC-Earth3-Veg-LR,historical,r1i1p1f1
1857,287.89048826644876,286.54784927568005,EC-Earth3-Veg-LR,historical,r1i1p1f1
1858,287.9373232689347,286.6062975866285,EC-Earth3-Veg-LR,historical,r1i1p1f1
1859,287.84785371358873,286.51368523785794,EC-Earth3-Veg-LR,historical,r1i1p1f1
1860,287.96714175257017,286.6510384472588,EC-Earth3-Veg-LR,historical,r1i1p1f1
1861,288.07637126847794,286.7317244258717,EC-Earth3-Veg-LR,historical,r1i1p1f1
1862,288.04603284991504,286.7717354782284,EC-Earth3-Veg-LR,historical,r1i1p1f1
1863,287.93282989698264,286.6128140148902,EC-Earth3-Veg-LR,historical,r1i1p1f1
1864,287.7640623573364,286.4427721439358,EC-Earth3-Veg-LR,historical,r1i1p1f1
1865,287.88919308933845,286.5901633759604,EC-Earth3-Veg-LR,historical,r1i1p1f1
1866,288.03356603694414,286.77134276167374,EC-Earth3-Veg-LR,historical,r1i1p1f1
1867,288.04774338906094,286.76586145876814,EC-Earth3-Veg-LR,historical,r1i1p1f1
1868,287.85674001444363,286.594094925134,EC-Earth3-Veg-LR,historical,r1i1p1f1
1869,288.03249091705686,286.76168586482316,EC-Earth3-Veg-LR,historical,r1i1p1f1
1870,287.87817679933363,286.6164675281644,EC-Earth3-Veg-LR,historical,r1i1p1f1
1871,287.98892307513773,286.78447751400995,EC-Earth3-Veg-LR,historical,r1i1p1f1
1872,288.14908043651485,286.87345741462957,EC-Earth3-Veg-LR,historical,r1i1p1f1
1873,288.019560407769,286.7523826781692,EC-Earth3-Veg-LR,historical,r1i1p1f1
1874,287.9636679889901,286.6884022388024,EC-Earth3-Veg-LR,historical,r1i1p1f1
1875,287.8443083922614,286.5895886760652,EC-Earth3-Veg-LR,historical,r1i1p1f1
