year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.099804805638,286.7981428235537,EC-Earth3-Veg,historical,r2i1p1f1
1851,288.2527264387111,286.94272338260504,EC-Earth3-Veg,historical,r2i1p1f1
1852,288.2594692793215,286.98142097364655,EC-Earth3-Veg,historical,r2i1p1f1
1853,288.19801365751346,286.8689652572409,EC-Earth3-Veg,historical,r2i1p1f1
1854,288.0689950759464,286.7409343450223,EC-Earth3-Veg,historical,r2i1p1f1
1855,288.2838320156236,286.96727809419934,EC-Earth3-Veg,historical,r2i1p1f1
1856,288.22497554499944,286.8896483816293,EC-Earth3-Veg,historical,r2i1p1f1
1857,288.23102592089657,286.96202618884115,EC-Earth3-Veg,historical,r2i1p1f1
1858,288.1312213455056,286.84837670102354,EC-Earth3-Veg,historical,r2i1p1f1
1859,288.13367439130957,286.8448534622968,EC-Earth3-Veg,historical,r2i1p1f1
1860,288.31148566904335,287.0660370831171,EC-Earth3-Veg,historical,r2i1p1f1
1861,288.29133515673385,287.01845259002675,EC-Earth3-Veg,historical,r2i1p1f1
1862,288.1469194659485,286.8991942248748,EC-Earth3-Veg,historical,r2i1p1f1
1863,288.1525228811346,286.8582282610995,EC-Earth3-Veg,historical,r2i1p1f1
1864,288.16383083474943,286.87774743681354,EC-Earth3-Veg,historical,r2i1p1f1
1865,288.244897011332,286.972691943908,EC-Earth3-Veg,historical,r2i1p1f1
1866,288.3276999914263,287.06122134057983,EC-Earth3-Veg,historical,r2i1p1f1
1867,288.2979090425707,287.0103149014894,EC-Earth3-Veg,historical,r2i1p1f1
1868,288.38145307237926,287.1287129678905,EC-Earth3-Veg,historical,r2i1p1f1
1869,288.2890421790034,287.0201158868939,EC-Earth3-Veg,historical,r2i1p1f1
1870,288.21930796535753,286.94838846471623,EC-Earth3-Veg,historical,r2i1p1f1
1871,288.41198391188874,287.17420373035793,EC-Earth3-Veg,historical,r2i1p1f1
1872,288.38313137372654,287.12355427751595,EC-Earth3-Veg,historical,r2i1p1f1
1873,288.26556980783414,287.00257875141534,EC-Earth3-Veg,historical,r2i1p1f1
1874,288.25981229462786,287.0092615299887,EC-Earth3-Veg,historical,r2i1p1f1
