year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.4146490926768,288.2920108171126,EC-Earth3-Veg,ssp126,r1i1p1f1
2016,289.3824586057382,288.27770216779504,EC-Earth3-Veg,ssp126,r1i1p1f1
2017,289.3403769978498,288.2284886447252,EC-Earth3-Veg,ssp126,r1i1p1f1
2018,289.37539679513566,288.2569804819363,EC-Earth3-Veg,ssp126,r1i1p1f1
2019,289.53012298815923,288.4503580766688,EC-Earth3-Veg,ssp126,r1i1p1f1
2020,289.5957112520355,288.5151942830078,EC-Earth3-Veg,ssp126,r1i1p1f1
2021,289.59103011400026,288.50818894219714,EC-Earth3-Veg,ssp126,r1i1p1f1
2022,289.5234791811817,288.4538914049884,EC-Earth3-Veg,ssp126,r1i1p1f1
2023,289.56695384065875,288.47692411421167,EC-Earth3-Veg,ssp126,r1i1p1f1
2024,289.53443628999224,288.4253325377974,EC-Earth3-Veg,ssp126,r1i1p1f1
2025,289.7510752093232,288.6598944570664,EC-Earth3-Veg,ssp126,r1i1p1f1
2026,289.8833450748085,288.7789104842309,EC-Earth3-Veg,ssp126,r1i1p1f1
2027,289.9845831099797,288.88383749469654,EC-Earth3-Veg,ssp126,r1i1p1f1
2028,289.8240041380382,288.7188559168169,EC-Earth3-Veg,ssp126,r1i1p1f1
2029,289.85000622763124,288.74900126313224,EC-Earth3-Veg,ssp126,r1i1p1f1
2030,289.9817524313296,288.8802822567132,EC-Earth3-Veg,ssp126,r1i1p1f1
2031,289.8257457617768,288.7398419242902,EC-Earth3-Veg,ssp126,r1i1p1f1
2032,289.92937415638835,288.8097731825181,EC-Earth3-Veg,ssp126,r1i1p1f1
2033,289.98527260963505,288.8635149119334,EC-Earth3-Veg,ssp126,r1i1p1f1
2034,289.87792308327835,288.76902892229367,EC-Earth3-Veg,ssp126,r1i1p1f1
2035,289.98062636395537,288.85915667734804,EC-Earth3-Veg,ssp126,r1i1p1f1
2036,290.1656297875375,289.0472103745653,EC-Earth3-Veg,ssp126,r1i1p1f1
2037,289.946649516273,288.8179907723689,EC-Earth3-Veg,ssp126,r1i1p1f1
2038,289.9912552433741,288.84781218956323,EC-Earth3-Veg,ssp126,r1i1p1f1
2039,289.9590556907645,288.808275905207,EC-Earth3-Veg,ssp126,r1i1p1f1
