year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.4315469887755,287.18610007168974,EC-Earth3,historical,r9i1p1f1
1851,288.4910858058783,287.21105471346647,EC-Earth3,historical,r9i1p1f1
1852,288.49555160648885,287.24234239344815,EC-Earth3,historical,r9i1p1f1
1853,288.4741065918823,287.1970596546041,EC-Earth3,historical,r9i1p1f1
1854,288.39959219681316,287.12409384129717,EC-Earth3,historical,r9i1p1f1
1855,288.30829431051654,287.05697550448167,EC-Earth3,historical,r9i1p1f1
1856,288.52928538840865,287.3084656031254,EC-Earth3,historical,r9i1p1f1
1857,288.4533270847864,287.2137780970668,EC-Earth3,historical,r9i1p1f1
1858,288.4978846032374,287.2402551068712,EC-Earth3,historical,r9i1p1f1
1859,288.46446233700505,287.1952801727149,EC-Earth3,historical,r9i1p1f1
1860,288.5164027032353,287.232143788738,EC-Earth3,historical,r9i1p1f1
1861,288.3769769917276,287.07985981286134,EC-Earth3,historical,r9i1p1f1
1862,288.2787408789646,286.96700119758754,EC-Earth3,historical,r9i1p1f1
1863,288.2527739118803,286.89425385961306,EC-Earth3,historical,r9i1p1f1
1864,288.33643622146286,287.0416150721955,EC-Earth3,historical,r9i1p1f1
1865,288.3856625968727,287.1084127623754,EC-Earth3,historical,r9i1p1f1
1866,288.43176876886656,287.1603182349071,EC-Earth3,historical,r9i1p1f1
1867,288.3902166612335,287.111741009741,EC-Earth3,historical,r9i1p1f1
1868,288.47037947934325,287.1720375617237,EC-Earth3,historical,r9i1p1f1
1869,288.42853313206285,287.14271851840414,EC-Earth3,historical,r9i1p1f1
1870,288.3588985734591,287.09106923380784,EC-Earth3,historical,r9i1p1f1
1871,288.4943262502106,287.233187426005,EC-Earth3,historical,r9i1p1f1
1872,288.3688270043679,287.07123329564206,EC-Earth3,historical,r9i1p1f1
1873,288.27055246861397,287.0185994260295,EC-Earth3,historical,r9i1p1f1
1874,288.35514039067385,287.0999953368803,EC-Earth3,historical,r9i1p1f1
1875,288.38460722416335,287.1137571266273,EC-Earth3,historical,r9i1p1f1
1876,288.27111078420916,287.0181560920298,EC-Earth3,historical,r9i1p1f1
1877,288.41082558655734,287.1684038920492,EC-Earth3,historical,r9i1p1f1
1878,288.3783091470424,287.1066129539505,EC-Earth3,historical,r9i1p1f1
1879,288.41327258811486,287.1601365604016,EC-Earth3,historical,r9i1p1f1
1880,288.3246037319139,287.0397692672191,EC-Earth3,historical,r9i1p1f1
1881,288.2891078242466,286.99435486544024,EC-Earth3,historical,r9i1p1f1
1882,288.4009420464115,287.1507056526896,EC-Earth3,historical,r9i1p1f1
1883,288.4221796096262,287.1600862989418,EC-Earth3,historical,r9i1p1f1
1884,288.06113353943664,286.8041524703909,EC-Earth3,historical,r9i1p1f1
1885,288.0190268343246,286.7437130983761,EC-Earth3,historical,r9i1p1f1
1886,288.24270801416986,286.9913379242359,EC-Earth3,historical,r9i1p1f1
1887,288.21511040233577,286.96277321919723,EC-Earth3,historical,r9i1p1f1
1888,288.1961514592161,286.9376516706319,EC-Earth3,historical,r9i1p1f1
1889,288.2477171521961,286.98849224775626,EC-Earth3,historical,r9i1p1f1
1890,288.19762972876686,286.9143478137273,EC-Earth3,historical,r9i1p1f1
1891,288.1739729640882,286.87482357449306,EC-Earth3,historical,r9i1p1f1
1892,288.2844766676097,287.0098909283987,EC-Earth3,historical,r9i1p1f1
1893,288.20564077708667,286.9607659355538,EC-Earth3,historical,r9i1p1f1
1894,288.2723595202224,286.9802039541618,EC-Earth3,historical,r9i1p1f1
1895,288.26114481246094,286.9423786121377,EC-Earth3,historical,r9i1p1f1
1896,288.2480354861068,286.93693984921,EC-Earth3,historical,r9i1p1f1
1897,288.35514323727995,287.0850219655388,EC-Earth3,historical,r9i1p1f1
1898,288.35469452591497,287.084905705198,EC-Earth3,historical,r9i1p1f1
1899,288.34906425138206,287.07432929220664,EC-Earth3,historical,r9i1p1f1
1900,288.2960088322926,287.0195835293998,EC-Earth3,historical,r9i1p1f1
1901,288.4162700767366,287.1315531942469,EC-Earth3,historical,r9i1p1f1
1902,288.36999404141216,287.08887200414676,EC-Earth3,historical,r9i1p1f1
1903,288.1932404154826,286.89409191465023,EC-Earth3,historical,r9i1p1f1
