year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.42175215442626,288.2979503914324,EC-Earth3,ssp245,r14i1p1f1
2016,289.5202770147453,288.37446802545395,EC-Earth3,ssp245,r14i1p1f1
2017,289.58199475140236,288.4393944956054,EC-Earth3,ssp245,r14i1p1f1
2018,289.60073308696263,288.4276076567122,EC-Earth3,ssp245,r14i1p1f1
2019,289.7316502831839,288.56467185977806,EC-Earth3,ssp245,r14i1p1f1
2020,289.4844259843813,288.31918051164433,EC-Earth3,ssp245,r14i1p1f1
2021,289.681128116286,288.4918156258855,EC-Earth3,ssp245,r14i1p1f1
2022,289.8755989688445,288.77476163792943,EC-Earth3,ssp245,r14i1p1f1
2023,289.56513725100757,288.45660753144756,EC-Earth3,ssp245,r14i1p1f1
2024,289.64305715031776,288.53610787879046,EC-Earth3,ssp245,r14i1p1f1
2025,289.6500909045298,288.56880664547947,EC-Earth3,ssp245,r14i1p1f1
2026,289.85266264734685,288.7397816666583,EC-Earth3,ssp245,r14i1p1f1
2027,290.00644296747043,288.92088281503084,EC-Earth3,ssp245,r14i1p1f1
2028,289.8832077420135,288.81347451491365,EC-Earth3,ssp245,r14i1p1f1
2029,289.8072295181307,288.70066803690713,EC-Earth3,ssp245,r14i1p1f1
2030,289.78364486166134,288.6931113268997,EC-Earth3,ssp245,r14i1p1f1
2031,289.8171030240685,288.7025503925113,EC-Earth3,ssp245,r14i1p1f1
2032,289.93806823681257,288.8492940562517,EC-Earth3,ssp245,r14i1p1f1
2033,289.87392288210856,288.75397625479076,EC-Earth3,ssp245,r14i1p1f1
2034,289.81506140137526,288.69235009811496,EC-Earth3,ssp245,r14i1p1f1
2035,289.88573929792716,288.7764934232117,EC-Earth3,ssp245,r14i1p1f1
2036,290.0539201934723,288.9565892205434,EC-Earth3,ssp245,r14i1p1f1
2037,289.8743592208722,288.80872388033515,EC-Earth3,ssp245,r14i1p1f1
2038,289.99594688983564,288.9286565823843,EC-Earth3,ssp245,r14i1p1f1
2039,289.8805983823,288.7922829291589,EC-Earth3,ssp245,r14i1p1f1
2040,289.9898189678327,288.8923917520834,EC-Earth3,ssp245,r14i1p1f1
2041,290.2971130883496,289.22369637412464,EC-Earth3,ssp245,r14i1p1f1
2042,290.2272879249494,289.12381515443366,EC-Earth3,ssp245,r14i1p1f1
2043,289.991603388822,288.8810631483231,EC-Earth3,ssp245,r14i1p1f1
2044,289.98142650420937,288.85528148824045,EC-Earth3,ssp245,r14i1p1f1
2045,290.1757682333787,289.0660529409701,EC-Earth3,ssp245,r14i1p1f1
2046,290.23787822163223,289.12671636977325,EC-Earth3,ssp245,r14i1p1f1
2047,290.2426406078526,289.15411515856005,EC-Earth3,ssp245,r14i1p1f1
2048,290.22032220559146,289.14255461698195,EC-Earth3,ssp245,r14i1p1f1
2049,290.1646656334675,289.0818386471968,EC-Earth3,ssp245,r14i1p1f1
2050,290.2247815424306,289.13915477105473,EC-Earth3,ssp245,r14i1p1f1
2051,290.1972094764598,289.14116048021174,EC-Earth3,ssp245,r14i1p1f1
2052,290.5739874939937,289.5135840123499,EC-Earth3,ssp245,r14i1p1f1
2053,290.4333548189373,289.35552180185726,EC-Earth3,ssp245,r14i1p1f1
2054,290.4547998176709,289.3989481206752,EC-Earth3,ssp245,r14i1p1f1
2055,290.6703803422983,289.6339323852023,EC-Earth3,ssp245,r14i1p1f1
2056,290.7112250692049,289.65785816917986,EC-Earth3,ssp245,r14i1p1f1
2057,290.57639809705233,289.51994705655113,EC-Earth3,ssp245,r14i1p1f1
