year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.3091586013022,286.0171114421432,FGOALS-f3-L,historical,r3i1p1f1
1851,287.16148549768997,285.8428167719325,FGOALS-f3-L,historical,r3i1p1f1
1852,287.23826008477147,285.9085393610561,FGOALS-f3-L,historical,r3i1p1f1
1853,287.4343171385133,286.1614985483265,FGOALS-f3-L,historical,r3i1p1f1
1854,287.2747376972359,286.0020307021978,FGOALS-f3-L,historical,r3i1p1f1
1855,287.2680069139116,285.97048563087225,FGOALS-f3-L,historical,r3i1p1f1
1856,287.27100618011514,285.98200695919576,FGOALS-f3-L,historical,r3i1p1f1
1857,287.21109158314584,285.8916708060988,FGOALS-f3-L,historical,r3i1p1f1
1858,287.24558177063057,285.93195501205116,FGOALS-f3-L,historical,r3i1p1f1
1859,287.2790638648886,285.969314400676,FGOALS-f3-L,historical,r3i1p1f1
1860,287.4553893213769,286.15151460465626,FGOALS-f3-L,historical,r3i1p1f1
1861,287.2956375949821,286.0153883027784,FGOALS-f3-L,historical,r3i1p1f1
1862,287.1482601667342,285.8579126714846,FGOALS-f3-L,historical,r3i1p1f1
1863,287.2649740969123,285.95656525108996,FGOALS-f3-L,historical,r3i1p1f1
1864,287.35048561991215,286.02964431452494,FGOALS-f3-L,historical,r3i1p1f1
1865,287.2597846706463,285.9937469191581,FGOALS-f3-L,historical,r3i1p1f1
1866,287.34210901098953,286.06377259463727,FGOALS-f3-L,historical,r3i1p1f1
1867,287.1290407941384,285.85758731529137,FGOALS-f3-L,historical,r3i1p1f1
1868,287.2095961911238,285.9039371247513,FGOALS-f3-L,historical,r3i1p1f1
1869,287.28633095787194,286.0224951984947,FGOALS-f3-L,historical,r3i1p1f1
1870,287.28588849336046,286.02347474862984,FGOALS-f3-L,historical,r3i1p1f1
1871,287.3120680552092,286.0255647793079,FGOALS-f3-L,historical,r3i1p1f1
1872,287.40252137011464,286.1113650295531,FGOALS-f3-L,historical,r3i1p1f1
1873,287.19975956685516,285.88836694038736,FGOALS-f3-L,historical,r3i1p1f1
1874,287.4140461198087,286.12620793866023,FGOALS-f3-L,historical,r3i1p1f1
1875,287.37090752174396,286.03815837809515,FGOALS-f3-L,historical,r3i1p1f1
1876,287.1004916711226,285.7974417745973,FGOALS-f3-L,historical,r3i1p1f1
1877,287.19150305471493,285.8926660521242,FGOALS-f3-L,historical,r3i1p1f1
1878,287.3706965767364,286.05096137780015,FGOALS-f3-L,historical,r3i1p1f1
1879,287.2861910487708,285.9884776087721,FGOALS-f3-L,historical,r3i1p1f1
1880,287.302390765218,286.00345754631047,FGOALS-f3-L,historical,r3i1p1f1
1881,287.42455889654264,286.132642101756,FGOALS-f3-L,historical,r3i1p1f1
1882,287.2041577659533,285.88257779509223,FGOALS-f3-L,historical,r3i1p1f1
1883,287.2771931245229,285.9814807542416,FGOALS-f3-L,historical,r3i1p1f1
1884,287.0716707148821,285.7635997787129,FGOALS-f3-L,historical,r3i1p1f1
1885,287.05955790410826,285.7590755484928,FGOALS-f3-L,historical,r3i1p1f1
1886,287.21406876178077,285.8841459380097,FGOALS-f3-L,historical,r3i1p1f1
1887,287.24525847084766,285.9166575807345,FGOALS-f3-L,historical,r3i1p1f1
1888,287.20257812888406,285.8958906750417,FGOALS-f3-L,historical,r3i1p1f1
1889,287.26558044666257,285.9411197184487,FGOALS-f3-L,historical,r3i1p1f1
1890,287.37881698256376,286.03802316099836,FGOALS-f3-L,historical,r3i1p1f1
1891,287.0739886022198,285.79478160771964,FGOALS-f3-L,historical,r3i1p1f1
1892,287.0748246158349,285.75117569618186,FGOALS-f3-L,historical,r3i1p1f1
1893,287.27029684208424,285.9360238362398,FGOALS-f3-L,historical,r3i1p1f1
1894,287.3246856301349,286.0137928335082,FGOALS-f3-L,historical,r3i1p1f1
1895,287.22081360858516,285.90991876860573,FGOALS-f3-L,historical,r3i1p1f1
1896,287.4397438333479,286.1301392313443,FGOALS-f3-L,historical,r3i1p1f1
1897,287.36408622613294,286.0518947932278,FGOALS-f3-L,historical,r3i1p1f1
1898,287.353220453078,286.0829307672659,FGOALS-f3-L,historical,r3i1p1f1
1899,287.1629357390229,285.8628844553593,FGOALS-f3-L,historical,r3i1p1f1
1900,287.22798478601237,285.9257717455778,FGOALS-f3-L,historical,r3i1p1f1
1901,287.4944152577095,286.2006065339491,FGOALS-f3-L,historical,r3i1p1f1
1902,287.2643794760685,285.98599266550696,FGOALS-f3-L,historical,r3i1p1f1
1903,287.135936948727,285.8354439410097,FGOALS-f3-L,historical,r3i1p1f1
1904,287.34145746551735,286.0878421280331,FGOALS-f3-L,historical,r3i1p1f1
1905,287.1364402538495,285.85735300405725,FGOALS-f3-L,historical,r3i1p1f1
1906,287.2362864539406,285.90859000820456,FGOALS-f3-L,historical,r3i1p1f1
1907,287.4538247647791,286.1766462505313,FGOALS-f3-L,historical,r3i1p1f1
1908,287.271976368638,285.97207819825326,FGOALS-f3-L,historical,r3i1p1f1
1909,287.3537834060687,286.00581054763643,FGOALS-f3-L,historical,r3i1p1f1
1910,287.45746665078974,286.1442211139437,FGOALS-f3-L,historical,r3i1p1f1
1911,287.370999184075,286.060557542448,FGOALS-f3-L,historical,r3i1p1f1
1912,287.3381990732433,286.0355601190509,FGOALS-f3-L,historical,r3i1p1f1
1913,287.407140502945,286.104343507227,FGOALS-f3-L,historical,r3i1p1f1
1914,287.3885315937146,286.0722464258379,FGOALS-f3-L,historical,r3i1p1f1
1915,287.2127690383351,285.90136313685866,FGOALS-f3-L,historical,r3i1p1f1
1916,287.42083123475624,286.10585872736374,FGOALS-f3-L,historical,r3i1p1f1
1917,287.6727444834493,286.34056228370827,FGOALS-f3-L,historical,r3i1p1f1
1918,287.36506429192514,286.0434945069697,FGOALS-f3-L,historical,r3i1p1f1
1919,287.4505343988108,286.1383815044021,FGOALS-f3-L,historical,r3i1p1f1
1920,287.5947299735975,286.3012513775445,FGOALS-f3-L,historical,r3i1p1f1
1921,287.3435646239427,286.0518838616716,FGOALS-f3-L,historical,r3i1p1f1
1922,287.5430488666744,286.2888252998139,FGOALS-f3-L,historical,r3i1p1f1
1923,287.59477975655113,286.31677588891864,FGOALS-f3-L,historical,r3i1p1f1
1924,287.25054454972616,285.98473597182925,FGOALS-f3-L,historical,r3i1p1f1
1925,287.5295748890609,286.2590192623962,FGOALS-f3-L,historical,r3i1p1f1
1926,287.7518893990956,286.4823309471644,FGOALS-f3-L,historical,r3i1p1f1
1927,287.52366877805014,286.2646077656718,FGOALS-f3-L,historical,r3i1p1f1
1928,287.5786288424693,286.28556752412857,FGOALS-f3-L,historical,r3i1p1f1
1929,287.566872711583,286.3149954012526,FGOALS-f3-L,historical,r3i1p1f1
1930,287.42867948816445,286.1939968932238,FGOALS-f3-L,historical,r3i1p1f1
1931,287.28094952833914,286.0157895173198,FGOALS-f3-L,historical,r3i1p1f1
1932,287.54065958841346,286.2686745670693,FGOALS-f3-L,historical,r3i1p1f1
1933,287.7232716678263,286.4757267267659,FGOALS-f3-L,historical,r3i1p1f1
1934,287.4112897118746,286.138912669302,FGOALS-f3-L,historical,r3i1p1f1
1935,287.4177918512778,286.0882481196382,FGOALS-f3-L,historical,r3i1p1f1
1936,287.5735145756907,286.3045364946462,FGOALS-f3-L,historical,r3i1p1f1
1937,287.49909737846974,286.2143203748248,FGOALS-f3-L,historical,r3i1p1f1
1938,287.3992669434222,286.12237226449724,FGOALS-f3-L,historical,r3i1p1f1
1939,287.5733563293333,286.30509098011794,FGOALS-f3-L,historical,r3i1p1f1
1940,287.50214441987725,286.2135560026436,FGOALS-f3-L,historical,r3i1p1f1
1941,287.29688099545996,285.989272994282,FGOALS-f3-L,historical,r3i1p1f1
1942,287.5420474145272,286.2369215665315,FGOALS-f3-L,historical,r3i1p1f1
