year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.2245616101536,286.9872557427819,FGOALS-f3-L,ssp370,r1i1p1f1
2016,288.43609173148286,287.1841587781806,FGOALS-f3-L,ssp370,r1i1p1f1
2017,288.66445174430083,287.4545654825052,FGOALS-f3-L,ssp370,r1i1p1f1
2018,288.38309088543815,287.17280258337917,FGOALS-f3-L,ssp370,r1i1p1f1
2019,288.3478205257802,287.1565831429565,FGOALS-f3-L,ssp370,r1i1p1f1
2020,288.7680359624776,287.5642223699092,FGOALS-f3-L,ssp370,r1i1p1f1
2021,288.4548689812749,287.2422211056362,FGOALS-f3-L,ssp370,r1i1p1f1
2022,288.4582159341411,287.2573361318845,FGOALS-f3-L,ssp370,r1i1p1f1
2023,288.723873692411,287.5596682304813,FGOALS-f3-L,ssp370,r1i1p1f1
2024,288.6900135324518,287.517686526034,FGOALS-f3-L,ssp370,r1i1p1f1
2025,288.5016986266673,287.2859866709269,FGOALS-f3-L,ssp370,r1i1p1f1
2026,288.90090531478194,287.7066779099244,FGOALS-f3-L,ssp370,r1i1p1f1
2027,288.98757699701997,287.773341264354,FGOALS-f3-L,ssp370,r1i1p1f1
2028,288.57184692020616,287.36180722592513,FGOALS-f3-L,ssp370,r1i1p1f1
2029,288.7787414149717,287.55587862562044,FGOALS-f3-L,ssp370,r1i1p1f1
2030,289.14166707628226,287.9252696297054,FGOALS-f3-L,ssp370,r1i1p1f1
2031,288.8801806174946,287.702621118816,FGOALS-f3-L,ssp370,r1i1p1f1
2032,288.77557677111446,287.5860590304778,FGOALS-f3-L,ssp370,r1i1p1f1
2033,289.0400472471335,287.87038233582336,FGOALS-f3-L,ssp370,r1i1p1f1
2034,288.920643221105,287.7314989680315,FGOALS-f3-L,ssp370,r1i1p1f1
2035,289.11281898792583,287.9521857160537,FGOALS-f3-L,ssp370,r1i1p1f1
2036,289.24585394373383,288.09062709105086,FGOALS-f3-L,ssp370,r1i1p1f1
2037,288.88797201016246,287.6916081190234,FGOALS-f3-L,ssp370,r1i1p1f1
2038,289.19884042338543,288.02612805933165,FGOALS-f3-L,ssp370,r1i1p1f1
2039,289.37049440554455,288.18999649516593,FGOALS-f3-L,ssp370,r1i1p1f1
2040,289.0916755858115,287.8996722511335,FGOALS-f3-L,ssp370,r1i1p1f1
2041,289.0654791395405,287.8754436426798,FGOALS-f3-L,ssp370,r1i1p1f1
2042,289.3361424139527,288.15039731441317,FGOALS-f3-L,ssp370,r1i1p1f1
2043,289.3647639839113,288.20473750450725,FGOALS-f3-L,ssp370,r1i1p1f1
2044,289.0861585359988,287.9409686058123,FGOALS-f3-L,ssp370,r1i1p1f1
2045,289.365193553784,288.20184449095007,FGOALS-f3-L,ssp370,r1i1p1f1
2046,289.5136725059905,288.33586941176867,FGOALS-f3-L,ssp370,r1i1p1f1
2047,289.24432339364677,288.12455715157193,FGOALS-f3-L,ssp370,r1i1p1f1
2048,289.41250068886313,288.2607588634035,FGOALS-f3-L,ssp370,r1i1p1f1
2049,289.63126444091404,288.4728987166471,FGOALS-f3-L,ssp370,r1i1p1f1
2050,289.42854804810014,288.30373365846646,FGOALS-f3-L,ssp370,r1i1p1f1
2051,289.34315550411895,288.20020906209805,FGOALS-f3-L,ssp370,r1i1p1f1
2052,289.5225786517363,288.3689672865928,FGOALS-f3-L,ssp370,r1i1p1f1
2053,289.3157769990034,288.1633930704706,FGOALS-f3-L,ssp370,r1i1p1f1
2054,289.56956586735777,288.42161174830136,FGOALS-f3-L,ssp370,r1i1p1f1
2055,289.8971540421858,288.77006982176346,FGOALS-f3-L,ssp370,r1i1p1f1
2056,289.59755925011876,288.43826607169444,FGOALS-f3-L,ssp370,r1i1p1f1
2057,289.52732677439025,288.3727705930721,FGOALS-f3-L,ssp370,r1i1p1f1
2058,289.8393894459807,288.713727356867,FGOALS-f3-L,ssp370,r1i1p1f1
2059,289.7127840715296,288.59525079740877,FGOALS-f3-L,ssp370,r1i1p1f1
2060,289.78767422752776,288.67949448065787,FGOALS-f3-L,ssp370,r1i1p1f1
2061,289.838515414159,288.7058621470001,FGOALS-f3-L,ssp370,r1i1p1f1
2062,290.05120791922826,288.92994549255553,FGOALS-f3-L,ssp370,r1i1p1f1
2063,289.8053282126789,288.70855893749723,FGOALS-f3-L,ssp370,r1i1p1f1
2064,289.9749494814483,288.87293417669486,FGOALS-f3-L,ssp370,r1i1p1f1
2065,290.1744464961904,289.0630253843364,FGOALS-f3-L,ssp370,r1i1p1f1
2066,289.97832000051386,288.8812979806326,FGOALS-f3-L,ssp370,r1i1p1f1
2067,289.9744036748244,288.8760474951878,FGOALS-f3-L,ssp370,r1i1p1f1
2068,290.17897257839417,289.10312446198543,FGOALS-f3-L,ssp370,r1i1p1f1
2069,290.06970332597734,288.9915096262441,FGOALS-f3-L,ssp370,r1i1p1f1
2070,290.0453399619428,288.9903536594609,FGOALS-f3-L,ssp370,r1i1p1f1
2071,290.4163449417738,289.34739056515156,FGOALS-f3-L,ssp370,r1i1p1f1
2072,290.42713170553793,289.34919756248144,FGOALS-f3-L,ssp370,r1i1p1f1
2073,290.20544313726964,289.15263837025213,FGOALS-f3-L,ssp370,r1i1p1f1
2074,290.1946212578725,289.1106976522821,FGOALS-f3-L,ssp370,r1i1p1f1
2075,290.3959803814279,289.31471308769073,FGOALS-f3-L,ssp370,r1i1p1f1
2076,290.50184601786526,289.42816206169186,FGOALS-f3-L,ssp370,r1i1p1f1
2077,290.2264211756194,289.15644502853337,FGOALS-f3-L,ssp370,r1i1p1f1
2078,290.44293313223557,289.3473403652843,FGOALS-f3-L,ssp370,r1i1p1f1
2079,290.63445280774954,289.5312072377392,FGOALS-f3-L,ssp370,r1i1p1f1
2080,290.3723935050357,289.28705692194137,FGOALS-f3-L,ssp370,r1i1p1f1
2081,290.4257002333752,289.39183058356883,FGOALS-f3-L,ssp370,r1i1p1f1
2082,290.6474608673693,289.61829618882666,FGOALS-f3-L,ssp370,r1i1p1f1
2083,290.6275790740153,289.54989289769026,FGOALS-f3-L,ssp370,r1i1p1f1
2084,290.470397897547,289.43132073120324,FGOALS-f3-L,ssp370,r1i1p1f1
2085,290.73929522734295,289.6924563499085,FGOALS-f3-L,ssp370,r1i1p1f1
2086,290.8808366947974,289.8310485441908,FGOALS-f3-L,ssp370,r1i1p1f1
2087,290.64843411285267,289.60393357312347,FGOALS-f3-L,ssp370,r1i1p1f1
2088,290.7137029567568,289.68022538134517,FGOALS-f3-L,ssp370,r1i1p1f1
2089,290.9713560390529,289.90529448384297,FGOALS-f3-L,ssp370,r1i1p1f1
