year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.415349333004,287.32018876725607,FGOALS-g3,historical,r1i1p1f1
1851,288.21427175486724,287.1090311456656,FGOALS-g3,historical,r1i1p1f1
1852,288.3132244063226,287.1946577239331,FGOALS-g3,historical,r1i1p1f1
1853,288.2945219979586,287.1908454520017,FGOALS-g3,historical,r1i1p1f1
1854,288.2505551349576,287.13696346234326,FGOALS-g3,historical,r1i1p1f1
1855,288.2493576539522,287.1107594533894,FGOALS-g3,historical,r1i1p1f1
1856,288.19714362536365,287.08805760343074,FGOALS-g3,historical,r1i1p1f1
1857,288.17320560430977,287.064574383839,FGOALS-g3,historical,r1i1p1f1
1858,288.22053047969683,287.1194166137578,FGOALS-g3,historical,r1i1p1f1
1859,288.3706375019838,287.2979001572791,FGOALS-g3,historical,r1i1p1f1
1860,288.24592913245965,287.17148826982714,FGOALS-g3,historical,r1i1p1f1
1861,288.2517055223727,287.1593063955021,FGOALS-g3,historical,r1i1p1f1
1862,288.2821745087813,287.1930272067089,FGOALS-g3,historical,r1i1p1f1
1863,288.1911158827727,287.0857765073241,FGOALS-g3,historical,r1i1p1f1
1864,288.3194533724456,287.2070949576256,FGOALS-g3,historical,r1i1p1f1
1865,288.39519466221344,287.30982548931934,FGOALS-g3,historical,r1i1p1f1
1866,288.3879303360459,287.3201877591793,FGOALS-g3,historical,r1i1p1f1
1867,288.3627002488719,287.28168476014633,FGOALS-g3,historical,r1i1p1f1
1868,288.3912557093769,287.3261669949465,FGOALS-g3,historical,r1i1p1f1
1869,288.291807624966,287.1948033458538,FGOALS-g3,historical,r1i1p1f1
1870,288.3725662289388,287.2512884781272,FGOALS-g3,historical,r1i1p1f1
1871,288.3303850598103,287.2376901394495,FGOALS-g3,historical,r1i1p1f1
1872,288.348345178959,287.2357091944138,FGOALS-g3,historical,r1i1p1f1
1873,288.2644481318036,287.13912831082223,FGOALS-g3,historical,r1i1p1f1
1874,288.11009633888614,286.98716589780093,FGOALS-g3,historical,r1i1p1f1
1875,288.2187143942042,287.1213619601304,FGOALS-g3,historical,r1i1p1f1
1876,288.2132610987067,287.1038950164138,FGOALS-g3,historical,r1i1p1f1
1877,288.2364735468996,287.14415083144615,FGOALS-g3,historical,r1i1p1f1
1878,288.2327713803929,287.10598296926315,FGOALS-g3,historical,r1i1p1f1
1879,288.27824048080527,287.13688002333697,FGOALS-g3,historical,r1i1p1f1
1880,288.3061249318418,287.20412270231554,FGOALS-g3,historical,r1i1p1f1
1881,288.1878615539938,287.0772119481167,FGOALS-g3,historical,r1i1p1f1
1882,288.2486938299649,287.1636132425329,FGOALS-g3,historical,r1i1p1f1
1883,288.2814056746545,287.14739438273,FGOALS-g3,historical,r1i1p1f1
1884,288.0557626376407,286.95120911916416,FGOALS-g3,historical,r1i1p1f1
1885,288.10749483301817,287.029405998996,FGOALS-g3,historical,r1i1p1f1
1886,288.1639632601779,287.08967961419927,FGOALS-g3,historical,r1i1p1f1
1887,288.19223190327824,287.12985703679647,FGOALS-g3,historical,r1i1p1f1
1888,288.186552091735,287.0856654157472,FGOALS-g3,historical,r1i1p1f1
1889,288.1957033523307,287.11911221447644,FGOALS-g3,historical,r1i1p1f1
1890,288.2331898959489,287.1279796224122,FGOALS-g3,historical,r1i1p1f1
1891,288.26026471889617,287.18236494205667,FGOALS-g3,historical,r1i1p1f1
1892,288.2847418278472,287.19926574841355,FGOALS-g3,historical,r1i1p1f1
1893,288.3193680927333,287.21369599620044,FGOALS-g3,historical,r1i1p1f1
1894,288.37954420560817,287.2727240723107,FGOALS-g3,historical,r1i1p1f1
