year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.41176789978664,288.35168753218596,FGOALS-g3,ssp370,r1i1p1f1
2016,289.256272115569,288.1878507328547,FGOALS-g3,ssp370,r1i1p1f1
2017,289.3636405215794,288.3121803076226,FGOALS-g3,ssp370,r1i1p1f1
2018,289.5351612960039,288.494796494755,FGOALS-g3,ssp370,r1i1p1f1
2019,289.3339962894243,288.28364276483813,FGOALS-g3,ssp370,r1i1p1f1
2020,289.51864909452837,288.50189852982305,FGOALS-g3,ssp370,r1i1p1f1
2021,289.54978424431494,288.5291878688111,FGOALS-g3,ssp370,r1i1p1f1
2022,289.4345118239055,288.39281580566364,FGOALS-g3,ssp370,r1i1p1f1
2023,289.69669824302525,288.67333405384,FGOALS-g3,ssp370,r1i1p1f1
2024,289.61429416366764,288.6062463285697,FGOALS-g3,ssp370,r1i1p1f1
2025,289.5881426419415,288.5699983258303,FGOALS-g3,ssp370,r1i1p1f1
2026,289.7616446212843,288.7467977023932,FGOALS-g3,ssp370,r1i1p1f1
2027,289.72793193997535,288.68085053642454,FGOALS-g3,ssp370,r1i1p1f1
2028,289.77406253006336,288.75659280343314,FGOALS-g3,ssp370,r1i1p1f1
2029,289.6859096408611,288.67204236213735,FGOALS-g3,ssp370,r1i1p1f1
2030,289.6425815155442,288.605866248788,FGOALS-g3,ssp370,r1i1p1f1
2031,289.8445360508203,288.8492406139178,FGOALS-g3,ssp370,r1i1p1f1
2032,289.89908377504474,288.8930609934584,FGOALS-g3,ssp370,r1i1p1f1
2033,289.7676455373319,288.7488016758277,FGOALS-g3,ssp370,r1i1p1f1
2034,289.75428724473016,288.7213397139558,FGOALS-g3,ssp370,r1i1p1f1
2035,289.86856276345543,288.8496114632819,FGOALS-g3,ssp370,r1i1p1f1
2036,289.83608898433613,288.82283816673515,FGOALS-g3,ssp370,r1i1p1f1
2037,290.0209999491463,289.0004925055944,FGOALS-g3,ssp370,r1i1p1f1
2038,290.09861711646954,289.1049887693832,FGOALS-g3,ssp370,r1i1p1f1
2039,289.9839916947344,288.9609198390671,FGOALS-g3,ssp370,r1i1p1f1
2040,290.0695821266787,289.07954768973207,FGOALS-g3,ssp370,r1i1p1f1
2041,290.02288496494384,289.0183547003385,FGOALS-g3,ssp370,r1i1p1f1
2042,289.979685428555,288.9540681527351,FGOALS-g3,ssp370,r1i1p1f1
2043,289.9727995501637,288.97760821567505,FGOALS-g3,ssp370,r1i1p1f1
2044,290.0769159900011,289.07329433161664,FGOALS-g3,ssp370,r1i1p1f1
2045,290.1174119303573,289.15222815360244,FGOALS-g3,ssp370,r1i1p1f1
2046,290.078715277456,289.07463853009637,FGOALS-g3,ssp370,r1i1p1f1
2047,290.33436361573655,289.328170764672,FGOALS-g3,ssp370,r1i1p1f1
2048,290.25747967296877,289.27224633634074,FGOALS-g3,ssp370,r1i1p1f1
2049,290.1397394315179,289.13778055727255,FGOALS-g3,ssp370,r1i1p1f1
2050,290.25360520073167,289.2798718180864,FGOALS-g3,ssp370,r1i1p1f1
2051,290.34885484535425,289.34555198275405,FGOALS-g3,ssp370,r1i1p1f1
2052,290.32991139738976,289.345027840681,FGOALS-g3,ssp370,r1i1p1f1
2053,290.38206300872787,289.36448522116734,FGOALS-g3,ssp370,r1i1p1f1
2054,290.255564130681,289.26072450354764,FGOALS-g3,ssp370,r1i1p1f1
