year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.0074084321194,287.8880770209306,FIO-ESM-2-0,ssp126,r2i1p1f1
2016,289.0942696331483,287.97511084423155,FIO-ESM-2-0,ssp126,r2i1p1f1
2017,289.07153956671783,287.91395898952834,FIO-ESM-2-0,ssp126,r2i1p1f1
2018,289.0709305118214,287.9088981074809,FIO-ESM-2-0,ssp126,r2i1p1f1
2019,289.09782678137185,287.92433751947794,FIO-ESM-2-0,ssp126,r2i1p1f1
2020,289.24059846685225,288.0671453966143,FIO-ESM-2-0,ssp126,r2i1p1f1
2021,289.3327962253064,288.2073539997041,FIO-ESM-2-0,ssp126,r2i1p1f1
2022,289.20772506621194,288.09766830655343,FIO-ESM-2-0,ssp126,r2i1p1f1
2023,289.195409240995,288.0592575466049,FIO-ESM-2-0,ssp126,r2i1p1f1
2024,289.345640013439,288.2506584439849,FIO-ESM-2-0,ssp126,r2i1p1f1
2025,289.4900299555092,288.3996136672969,FIO-ESM-2-0,ssp126,r2i1p1f1
2026,289.29641737971156,288.2067131118853,FIO-ESM-2-0,ssp126,r2i1p1f1
2027,289.33508075451783,288.23906306274597,FIO-ESM-2-0,ssp126,r2i1p1f1
2028,289.4059463792938,288.3206253971962,FIO-ESM-2-0,ssp126,r2i1p1f1
2029,289.4722025131246,288.4020174100216,FIO-ESM-2-0,ssp126,r2i1p1f1
2030,289.5235272434476,288.468705601769,FIO-ESM-2-0,ssp126,r2i1p1f1
2031,289.488295458911,288.4283312469858,FIO-ESM-2-0,ssp126,r2i1p1f1
2032,289.44955667731597,288.3884432217065,FIO-ESM-2-0,ssp126,r2i1p1f1
2033,289.4147786869787,288.34405541465946,FIO-ESM-2-0,ssp126,r2i1p1f1
2034,289.4342510220631,288.3564220056339,FIO-ESM-2-0,ssp126,r2i1p1f1
2035,289.5036788099636,288.4007967656418,FIO-ESM-2-0,ssp126,r2i1p1f1
2036,289.56011700486306,288.4775680967904,FIO-ESM-2-0,ssp126,r2i1p1f1
2037,289.60587790884244,288.5214196757075,FIO-ESM-2-0,ssp126,r2i1p1f1
2038,289.65024402051995,288.56705897480407,FIO-ESM-2-0,ssp126,r2i1p1f1
2039,289.676781896584,288.5940020185149,FIO-ESM-2-0,ssp126,r2i1p1f1
2040,289.5177166530411,288.45106548055946,FIO-ESM-2-0,ssp126,r2i1p1f1
2041,289.4139607849675,288.30694379574254,FIO-ESM-2-0,ssp126,r2i1p1f1
2042,289.5185451630428,288.41191185809373,FIO-ESM-2-0,ssp126,r2i1p1f1
2043,289.6967672969749,288.6136959988938,FIO-ESM-2-0,ssp126,r2i1p1f1
2044,289.70808788977007,288.6426182885977,FIO-ESM-2-0,ssp126,r2i1p1f1
2045,289.59915453772993,288.5176626237793,FIO-ESM-2-0,ssp126,r2i1p1f1
2046,289.60429245862605,288.5294718894089,FIO-ESM-2-0,ssp126,r2i1p1f1
