year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.6512155312747,286.4762135319437,GFDL-ESM4,historical,r1i1p1f1
1851,287.56567405731613,286.390002382906,GFDL-ESM4,historical,r1i1p1f1
1852,287.7871340478113,286.6001771822811,GFDL-ESM4,historical,r1i1p1f1
1853,287.80528863463593,286.6468972137957,GFDL-ESM4,historical,r1i1p1f1
1854,287.6136350761492,286.4347927737834,GFDL-ESM4,historical,r1i1p1f1
1855,287.5344961798768,286.3597834595229,GFDL-ESM4,historical,r1i1p1f1
1856,287.7542529644729,286.5857929412315,GFDL-ESM4,historical,r1i1p1f1
1857,287.77751083371777,286.63528154981225,GFDL-ESM4,historical,r1i1p1f1
1858,287.6352635122158,286.4762099124796,GFDL-ESM4,historical,r1i1p1f1
1859,287.6676625557854,286.5255467179297,GFDL-ESM4,historical,r1i1p1f1
1860,287.6068859055457,286.44424077345593,GFDL-ESM4,historical,r1i1p1f1
1861,287.52014763363053,286.3601409664277,GFDL-ESM4,historical,r1i1p1f1
1862,287.52675186136577,286.3743001740679,GFDL-ESM4,historical,r1i1p1f1
1863,287.5561939133506,286.41119553685354,GFDL-ESM4,historical,r1i1p1f1
1864,287.70839662831645,286.545941968928,GFDL-ESM4,historical,r1i1p1f1
1865,287.7881279922135,286.63071251549275,GFDL-ESM4,historical,r1i1p1f1
1866,287.7786283134681,286.6284327065781,GFDL-ESM4,historical,r1i1p1f1
1867,287.75857688669913,286.59136868502037,GFDL-ESM4,historical,r1i1p1f1
1868,287.67985184566453,286.51827843040036,GFDL-ESM4,historical,r1i1p1f1
1869,287.6863384437637,286.53448708598023,GFDL-ESM4,historical,r1i1p1f1
1870,287.7406964616821,286.5726823147335,GFDL-ESM4,historical,r1i1p1f1
1871,287.712831829648,286.5710693921412,GFDL-ESM4,historical,r1i1p1f1
1872,287.7857478883095,286.62571017085764,GFDL-ESM4,historical,r1i1p1f1
1873,287.66372056665233,286.5170748926945,GFDL-ESM4,historical,r1i1p1f1
1874,287.803067299778,286.62705291218765,GFDL-ESM4,historical,r1i1p1f1
1875,287.77281718062113,286.62523749788437,GFDL-ESM4,historical,r1i1p1f1
1876,287.69171222579143,286.52306401971674,GFDL-ESM4,historical,r1i1p1f1
1877,287.7317124735293,286.5426006169281,GFDL-ESM4,historical,r1i1p1f1
1878,287.7200970147719,286.54696750920016,GFDL-ESM4,historical,r1i1p1f1
1879,287.8782254343767,286.7146317303431,GFDL-ESM4,historical,r1i1p1f1
1880,287.73600992044624,286.5602968641929,GFDL-ESM4,historical,r1i1p1f1
1881,287.69332742828607,286.5201726657459,GFDL-ESM4,historical,r1i1p1f1
1882,287.60544680768675,286.435790629071,GFDL-ESM4,historical,r1i1p1f1
1883,287.6827384755156,286.5373279488975,GFDL-ESM4,historical,r1i1p1f1
1884,287.34090120286265,286.18298987936817,GFDL-ESM4,historical,r1i1p1f1
1885,287.40714491901883,286.2353957926465,GFDL-ESM4,historical,r1i1p1f1
1886,287.5172966252484,286.3288847236815,GFDL-ESM4,historical,r1i1p1f1
1887,287.5938704656949,286.39048428805876,GFDL-ESM4,historical,r1i1p1f1
1888,287.8260280014037,286.6194936714264,GFDL-ESM4,historical,r1i1p1f1
1889,287.87218475610655,286.6849969056957,GFDL-ESM4,historical,r1i1p1f1
1890,287.78194651146026,286.59497565415563,GFDL-ESM4,historical,r1i1p1f1
1891,287.7762284377027,286.61343616536584,GFDL-ESM4,historical,r1i1p1f1
1892,287.77624502316803,286.6112995815861,GFDL-ESM4,historical,r1i1p1f1
1893,287.83354564401196,286.66649355633655,GFDL-ESM4,historical,r1i1p1f1
1894,287.85082300622673,286.68260422568306,GFDL-ESM4,historical,r1i1p1f1
1895,287.87754987835615,286.7216474377169,GFDL-ESM4,historical,r1i1p1f1
1896,287.9417642395608,286.7951701851998,GFDL-ESM4,historical,r1i1p1f1
1897,287.9179600810345,286.76098629452986,GFDL-ESM4,historical,r1i1p1f1
1898,287.84840331077834,286.70664891527366,GFDL-ESM4,historical,r1i1p1f1
1899,288.01931903450725,286.86348075909655,GFDL-ESM4,historical,r1i1p1f1
1900,288.0722634611518,286.91470674954394,GFDL-ESM4,historical,r1i1p1f1
1901,287.8329953322484,286.6912966703298,GFDL-ESM4,historical,r1i1p1f1
1902,287.8133354256185,286.6440707585149,GFDL-ESM4,historical,r1i1p1f1
1903,287.6806934396833,286.5269091579252,GFDL-ESM4,historical,r1i1p1f1
1904,287.9636315935707,286.81027545169167,GFDL-ESM4,historical,r1i1p1f1
1905,287.9346040253123,286.78792448928886,GFDL-ESM4,historical,r1i1p1f1
1906,287.885678352723,286.71744039586326,GFDL-ESM4,historical,r1i1p1f1
1907,287.89770908114133,286.73356343059004,GFDL-ESM4,historical,r1i1p1f1
1908,287.9131147840482,286.7506349810096,GFDL-ESM4,historical,r1i1p1f1
1909,288.054186451063,286.90342275881994,GFDL-ESM4,historical,r1i1p1f1
1910,288.0517211889409,286.9203498748045,GFDL-ESM4,historical,r1i1p1f1
1911,288.0399596276313,286.92005031452516,GFDL-ESM4,historical,r1i1p1f1
1912,287.7137613454051,286.55823187373204,GFDL-ESM4,historical,r1i1p1f1
1913,287.6429308771515,286.4725252539855,GFDL-ESM4,historical,r1i1p1f1
1914,287.9426914464138,286.7608261779602,GFDL-ESM4,historical,r1i1p1f1
1915,287.9667844404011,286.82361901997916,GFDL-ESM4,historical,r1i1p1f1
1916,287.9595058151291,286.79964585190083,GFDL-ESM4,historical,r1i1p1f1
1917,287.9000981719142,286.7417177297912,GFDL-ESM4,historical,r1i1p1f1
1918,287.9837290654952,286.81834227388794,GFDL-ESM4,historical,r1i1p1f1
1919,288.0870735172716,286.931435739927,GFDL-ESM4,historical,r1i1p1f1
1920,288.06347232565673,286.94393334810746,GFDL-ESM4,historical,r1i1p1f1
1921,287.8776645517511,286.74052173589513,GFDL-ESM4,historical,r1i1p1f1
1922,287.9547188180886,286.8003985204742,GFDL-ESM4,historical,r1i1p1f1
1923,288.02090641859536,286.8859520227089,GFDL-ESM4,historical,r1i1p1f1
