year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.43284806229235,287.2819951518502,GFDL-ESM4,ssp370,r1i1p1f1
2016,288.608028650113,287.46480213953555,GFDL-ESM4,ssp370,r1i1p1f1
2017,288.76079243884385,287.60344821850487,GFDL-ESM4,ssp370,r1i1p1f1
2018,288.7437535163575,287.6164587924624,GFDL-ESM4,ssp370,r1i1p1f1
2019,288.51726657489013,287.39413165883354,GFDL-ESM4,ssp370,r1i1p1f1
2020,288.6160025350531,287.4964292743739,GFDL-ESM4,ssp370,r1i1p1f1
2021,288.81967257214393,287.70361519914087,GFDL-ESM4,ssp370,r1i1p1f1
2022,288.7982095763624,287.69395627853334,GFDL-ESM4,ssp370,r1i1p1f1
2023,288.57908363299106,287.4564225816712,GFDL-ESM4,ssp370,r1i1p1f1
2024,288.73986263447995,287.6011485442169,GFDL-ESM4,ssp370,r1i1p1f1
2025,288.8227126020203,287.68527636389655,GFDL-ESM4,ssp370,r1i1p1f1
2026,288.7384434038236,287.60721174364573,GFDL-ESM4,ssp370,r1i1p1f1
2027,288.7247033575863,287.58359935281123,GFDL-ESM4,ssp370,r1i1p1f1
2028,288.81094627051203,287.6670670091397,GFDL-ESM4,ssp370,r1i1p1f1
2029,288.8841556890129,287.7203037039013,GFDL-ESM4,ssp370,r1i1p1f1
2030,288.85679392785096,287.7312364464698,GFDL-ESM4,ssp370,r1i1p1f1
2031,288.8643638943238,287.73122272877686,GFDL-ESM4,ssp370,r1i1p1f1
2032,288.9180338834875,287.7830259398415,GFDL-ESM4,ssp370,r1i1p1f1
2033,288.9540952217717,287.8048045476308,GFDL-ESM4,ssp370,r1i1p1f1
2034,288.95991111623897,287.8248051747829,GFDL-ESM4,ssp370,r1i1p1f1
2035,289.04288623123364,287.8986810560207,GFDL-ESM4,ssp370,r1i1p1f1
2036,289.11591315274416,287.95342259284354,GFDL-ESM4,ssp370,r1i1p1f1
2037,289.23072518348727,288.0952750350645,GFDL-ESM4,ssp370,r1i1p1f1
2038,289.09905776471027,287.9530773331741,GFDL-ESM4,ssp370,r1i1p1f1
2039,288.98959813177964,287.87171566110874,GFDL-ESM4,ssp370,r1i1p1f1
2040,289.0667130581225,287.9576472281286,GFDL-ESM4,ssp370,r1i1p1f1
2041,289.20798318154016,288.0757497137308,GFDL-ESM4,ssp370,r1i1p1f1
2042,289.2531547645845,288.114397997812,GFDL-ESM4,ssp370,r1i1p1f1
2043,289.1305180932072,288.03067329502187,GFDL-ESM4,ssp370,r1i1p1f1
2044,289.18874489223435,288.0766153195068,GFDL-ESM4,ssp370,r1i1p1f1
2045,289.3451175346718,288.20907019644073,GFDL-ESM4,ssp370,r1i1p1f1
2046,289.30977383053266,288.19855928517296,GFDL-ESM4,ssp370,r1i1p1f1
2047,289.4768748011187,288.345531369974,GFDL-ESM4,ssp370,r1i1p1f1
2048,289.49711199183736,288.39008637717296,GFDL-ESM4,ssp370,r1i1p1f1
2049,289.34394576882767,288.2568123162528,GFDL-ESM4,ssp370,r1i1p1f1
2050,289.35014959525313,288.21910671257655,GFDL-ESM4,ssp370,r1i1p1f1
2051,289.4775064575768,288.3640786239199,GFDL-ESM4,ssp370,r1i1p1f1
2052,289.362623503049,288.27872281118994,GFDL-ESM4,ssp370,r1i1p1f1
2053,289.44186806021617,288.34875271507497,GFDL-ESM4,ssp370,r1i1p1f1
2054,289.3944635948359,288.3112407523509,GFDL-ESM4,ssp370,r1i1p1f1
2055,289.29970156142895,288.16315002386204,GFDL-ESM4,ssp370,r1i1p1f1
2056,289.5407877851111,288.4695998604691,GFDL-ESM4,ssp370,r1i1p1f1
2057,289.8068985871719,288.75198163732915,GFDL-ESM4,ssp370,r1i1p1f1
2058,289.67674648191763,288.61275470216935,GFDL-ESM4,ssp370,r1i1p1f1
2059,289.611318535793,288.53401687711636,GFDL-ESM4,ssp370,r1i1p1f1
2060,289.8711859389255,288.8224889707669,GFDL-ESM4,ssp370,r1i1p1f1
2061,289.82780894308746,288.7477023186984,GFDL-ESM4,ssp370,r1i1p1f1
2062,289.8524114185239,288.8005217105829,GFDL-ESM4,ssp370,r1i1p1f1
2063,289.7859622980938,288.7020996382118,GFDL-ESM4,ssp370,r1i1p1f1
2064,290.01586464475537,288.9608919494214,GFDL-ESM4,ssp370,r1i1p1f1
2065,290.0353952511737,288.9684752306823,GFDL-ESM4,ssp370,r1i1p1f1
2066,289.8707442842193,288.7980825474262,GFDL-ESM4,ssp370,r1i1p1f1
2067,289.85372190185285,288.8079306121117,GFDL-ESM4,ssp370,r1i1p1f1
2068,290.0612358680856,289.01271189139493,GFDL-ESM4,ssp370,r1i1p1f1
2069,290.22951790868086,289.2197010201342,GFDL-ESM4,ssp370,r1i1p1f1
2070,289.9605854732603,288.9319494773716,GFDL-ESM4,ssp370,r1i1p1f1
2071,289.9610811981236,288.9419949726251,GFDL-ESM4,ssp370,r1i1p1f1
2072,290.30869396553464,289.2700822656057,GFDL-ESM4,ssp370,r1i1p1f1
2073,290.52446830489214,289.4956473339737,GFDL-ESM4,ssp370,r1i1p1f1
2074,290.5475918692534,289.51886150319444,GFDL-ESM4,ssp370,r1i1p1f1
2075,290.26114362151174,289.22216994512706,GFDL-ESM4,ssp370,r1i1p1f1
2076,290.1546214959055,289.12992986461023,GFDL-ESM4,ssp370,r1i1p1f1
2077,290.3385712359203,289.3136314367614,GFDL-ESM4,ssp370,r1i1p1f1
2078,290.4383086397016,289.4008550770473,GFDL-ESM4,ssp370,r1i1p1f1
2079,290.3006626238557,289.29337618671286,GFDL-ESM4,ssp370,r1i1p1f1
2080,290.4785135462105,289.4539899607758,GFDL-ESM4,ssp370,r1i1p1f1
2081,290.5983639342094,289.5777545186425,GFDL-ESM4,ssp370,r1i1p1f1
2082,290.5656905883429,289.5654671638736,GFDL-ESM4,ssp370,r1i1p1f1
2083,290.503813040505,289.5061704824053,GFDL-ESM4,ssp370,r1i1p1f1
2084,290.4957702421712,289.4583046773266,GFDL-ESM4,ssp370,r1i1p1f1
2085,290.61911037777946,289.6045330624058,GFDL-ESM4,ssp370,r1i1p1f1
2086,290.6982021605621,289.6951434086447,GFDL-ESM4,ssp370,r1i1p1f1
2087,290.6633688989026,289.6745938027945,GFDL-ESM4,ssp370,r1i1p1f1
2088,290.7813059562084,289.79294210218893,GFDL-ESM4,ssp370,r1i1p1f1
2089,290.80420247042593,289.79042869514205,GFDL-ESM4,ssp370,r1i1p1f1
2090,290.91398079508235,289.8808289871863,GFDL-ESM4,ssp370,r1i1p1f1
2091,290.75278538874403,289.7661468246874,GFDL-ESM4,ssp370,r1i1p1f1
2092,290.8077179982014,289.80121121101894,GFDL-ESM4,ssp370,r1i1p1f1
2093,291.07420788309724,290.0580447442318,GFDL-ESM4,ssp370,r1i1p1f1
2094,291.06094475878734,290.06931035981063,GFDL-ESM4,ssp370,r1i1p1f1
2095,290.88316162619077,289.8841338312067,GFDL-ESM4,ssp370,r1i1p1f1
2096,291.03643532411985,290.0363873160253,GFDL-ESM4,ssp370,r1i1p1f1
2097,291.02159234900495,290.0357359532728,GFDL-ESM4,ssp370,r1i1p1f1
2098,291.0151976755796,290.0037807469753,GFDL-ESM4,ssp370,r1i1p1f1
2099,291.1434481446096,290.1401578100907,GFDL-ESM4,ssp370,r1i1p1f1
2100,291.0596908682531,290.0605605477711,GFDL-ESM4,ssp370,r1i1p1f1
