year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.65183439274415,287.33743327918023,GISS-E2-1-G,historical,r4i1p3f1
1851,288.74477036308616,287.5023280245915,GISS-E2-1-G,historical,r4i1p3f1
1852,288.51695033609593,287.22536171802346,GISS-E2-1-G,historical,r4i1p3f1
1853,288.447311053045,287.18356522710803,GISS-E2-1-G,historical,r4i1p3f1
1854,288.40134715657666,287.1305725734055,GISS-E2-1-G,historical,r4i1p3f1
1855,288.4544602609741,287.1976332433106,GISS-E2-1-G,historical,r4i1p3f1
1856,288.3567356619039,287.07269930958677,GISS-E2-1-G,historical,r4i1p3f1
1857,288.67575257328696,287.41327769212813,GISS-E2-1-G,historical,r4i1p3f1
1858,288.7244152206622,287.4221619245379,GISS-E2-1-G,historical,r4i1p3f1
1859,288.41793743043456,287.12478188857256,GISS-E2-1-G,historical,r4i1p3f1
1860,288.35896112568525,287.08361467869474,GISS-E2-1-G,historical,r4i1p3f1
1861,288.5425399703848,287.2503962212101,GISS-E2-1-G,historical,r4i1p3f1
1862,288.6128370230666,287.362635619174,GISS-E2-1-G,historical,r4i1p3f1
1863,288.76966054081004,287.4922179734726,GISS-E2-1-G,historical,r4i1p3f1
1864,288.4557592969177,287.18899354962866,GISS-E2-1-G,historical,r4i1p3f1
1865,288.2649569488759,286.95360741992545,GISS-E2-1-G,historical,r4i1p3f1
1866,288.4349390477575,287.1874679778945,GISS-E2-1-G,historical,r4i1p3f1
1867,288.82007559948113,287.52808255916636,GISS-E2-1-G,historical,r4i1p3f1
1868,288.78560204742905,287.51511107396414,GISS-E2-1-G,historical,r4i1p3f1
1869,288.47471847143504,287.2507465879909,GISS-E2-1-G,historical,r4i1p3f1
1870,288.5406838938462,287.2663587692972,GISS-E2-1-G,historical,r4i1p3f1
1871,288.8756014406993,287.58658370465554,GISS-E2-1-G,historical,r4i1p3f1
1872,288.88599929543483,287.58557829667745,GISS-E2-1-G,historical,r4i1p3f1
1873,288.62441576272846,287.32510249423933,GISS-E2-1-G,historical,r4i1p3f1
1874,288.4974313883816,287.23537216981066,GISS-E2-1-G,historical,r4i1p3f1
1875,288.4612040756676,287.18626192755914,GISS-E2-1-G,historical,r4i1p3f1
1876,288.476966445726,287.23682122607846,GISS-E2-1-G,historical,r4i1p3f1
1877,288.60200397959926,287.33180793461264,GISS-E2-1-G,historical,r4i1p3f1
1878,288.76525174094354,287.49913387097837,GISS-E2-1-G,historical,r4i1p3f1
1879,288.688043608567,287.4457073396683,GISS-E2-1-G,historical,r4i1p3f1
1880,288.629328535235,287.37047422392,GISS-E2-1-G,historical,r4i1p3f1
1881,288.6572999746266,287.3700208268989,GISS-E2-1-G,historical,r4i1p3f1
1882,288.5507538148208,287.29187169606024,GISS-E2-1-G,historical,r4i1p3f1
1883,288.4400877108008,287.17366239030343,GISS-E2-1-G,historical,r4i1p3f1
1884,288.23801373954524,286.9653021616989,GISS-E2-1-G,historical,r4i1p3f1
1885,288.6091819874461,287.30809928818206,GISS-E2-1-G,historical,r4i1p3f1
1886,288.56777563058364,287.2721352351949,GISS-E2-1-G,historical,r4i1p3f1
1887,288.3751633462088,287.0788379856427,GISS-E2-1-G,historical,r4i1p3f1
1888,288.27727109985176,287.0076785563756,GISS-E2-1-G,historical,r4i1p3f1
1889,288.41045925587156,287.1730721229516,GISS-E2-1-G,historical,r4i1p3f1
1890,288.6357185301577,287.3525082810028,GISS-E2-1-G,historical,r4i1p3f1
1891,288.87812847083296,287.58326826974627,GISS-E2-1-G,historical,r4i1p3f1
1892,288.59793031258494,287.3055796627111,GISS-E2-1-G,historical,r4i1p3f1
1893,288.5208803499136,287.2501280385545,GISS-E2-1-G,historical,r4i1p3f1
1894,288.5321099066477,287.269729756451,GISS-E2-1-G,historical,r4i1p3f1
1895,288.60017246014087,287.3454403827725,GISS-E2-1-G,historical,r4i1p3f1
1896,288.828243253888,287.577602619903,GISS-E2-1-G,historical,r4i1p3f1
1897,288.7873276512318,287.54029084989384,GISS-E2-1-G,historical,r4i1p3f1
1898,288.805739036092,287.52865386963776,GISS-E2-1-G,historical,r4i1p3f1
1899,288.4887318490548,287.2238739267735,GISS-E2-1-G,historical,r4i1p3f1
1900,288.44193005584157,287.152712242294,GISS-E2-1-G,historical,r4i1p3f1
1901,288.6986348722789,287.43559303022005,GISS-E2-1-G,historical,r4i1p3f1
1902,288.9018183380947,287.60737814605596,GISS-E2-1-G,historical,r4i1p3f1
1903,288.4643656831549,287.2127656521829,GISS-E2-1-G,historical,r4i1p3f1
1904,288.4245600870585,287.10738025075943,GISS-E2-1-G,historical,r4i1p3f1
1905,288.6158432068865,287.3296908531818,GISS-E2-1-G,historical,r4i1p3f1
1906,288.67203481256803,287.4044946064288,GISS-E2-1-G,historical,r4i1p3f1
1907,288.5725127389983,287.317256843504,GISS-E2-1-G,historical,r4i1p3f1
