year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.15957474999595,287.9130789539961,GISS-E2-1-G,ssp245,r1i1p3f1
2016,289.504618202454,288.2691798210371,GISS-E2-1-G,ssp245,r1i1p3f1
2017,289.6252004265555,288.3494801057764,GISS-E2-1-G,ssp245,r1i1p3f1
2018,289.3815740342071,288.16295647477114,GISS-E2-1-G,ssp245,r1i1p3f1
2019,289.22650631572776,287.98743900482447,GISS-E2-1-G,ssp245,r1i1p3f1
2020,289.42059627265587,288.1777276861258,GISS-E2-1-G,ssp245,r1i1p3f1
2021,289.7872312571757,288.5432696200733,GISS-E2-1-G,ssp245,r1i1p3f1
2022,289.7507205453898,288.4995902706747,GISS-E2-1-G,ssp245,r1i1p3f1
2023,289.82006162704766,288.57196794329275,GISS-E2-1-G,ssp245,r1i1p3f1
2024,289.68783129843155,288.4394654963761,GISS-E2-1-G,ssp245,r1i1p3f1
2025,289.95217855951165,288.75358282647267,GISS-E2-1-G,ssp245,r1i1p3f1
2026,289.96012410608466,288.76909660362077,GISS-E2-1-G,ssp245,r1i1p3f1
2027,289.5886479783213,288.4301663063053,GISS-E2-1-G,ssp245,r1i1p3f1
2028,289.39607603366176,288.2204294106135,GISS-E2-1-G,ssp245,r1i1p3f1
2029,289.5974811721549,288.43624903677704,GISS-E2-1-G,ssp245,r1i1p3f1
2030,289.96782596507927,288.79560870984034,GISS-E2-1-G,ssp245,r1i1p3f1
2031,290.01909925971114,288.8416720006046,GISS-E2-1-G,ssp245,r1i1p3f1
2032,289.6719222393969,288.4649501900553,GISS-E2-1-G,ssp245,r1i1p3f1
2033,289.7089950895984,288.4831378473098,GISS-E2-1-G,ssp245,r1i1p3f1
2034,290.0150498578974,288.82294860787016,GISS-E2-1-G,ssp245,r1i1p3f1
2035,290.12402201582336,288.8989162768943,GISS-E2-1-G,ssp245,r1i1p3f1
2036,289.9122152837166,288.73026651797693,GISS-E2-1-G,ssp245,r1i1p3f1
2037,289.9406646451629,288.74154309335694,GISS-E2-1-G,ssp245,r1i1p3f1
2038,290.1577474456862,289.02331821541463,GISS-E2-1-G,ssp245,r1i1p3f1
2039,290.3410847498034,289.1789190228596,GISS-E2-1-G,ssp245,r1i1p3f1
2040,290.18404482206194,289.0086815102364,GISS-E2-1-G,ssp245,r1i1p3f1
2041,290.00648720428046,288.84338358176444,GISS-E2-1-G,ssp245,r1i1p3f1
2042,290.0242542403487,288.8211805422612,GISS-E2-1-G,ssp245,r1i1p3f1
2043,290.31322308651517,289.1082159971287,GISS-E2-1-G,ssp245,r1i1p3f1
2044,290.4364183491789,289.2707567953199,GISS-E2-1-G,ssp245,r1i1p3f1
2045,290.46799127824994,289.3051568563894,GISS-E2-1-G,ssp245,r1i1p3f1
2046,290.45441408809467,289.2886937432527,GISS-E2-1-G,ssp245,r1i1p3f1
2047,290.18102249239803,289.03404103552725,GISS-E2-1-G,ssp245,r1i1p3f1
2048,290.12156921526434,288.9760244196295,GISS-E2-1-G,ssp245,r1i1p3f1
2049,290.2123330194726,289.07550520371177,GISS-E2-1-G,ssp245,r1i1p3f1
2050,290.4121299491124,289.26437958416835,GISS-E2-1-G,ssp245,r1i1p3f1
2051,290.3361220554257,289.1858311308169,GISS-E2-1-G,ssp245,r1i1p3f1
2052,290.44347571040214,289.28849647931975,GISS-E2-1-G,ssp245,r1i1p3f1
2053,290.76326054941205,289.5970196998904,GISS-E2-1-G,ssp245,r1i1p3f1
2054,290.67241723151244,289.50912535664355,GISS-E2-1-G,ssp245,r1i1p3f1
2055,290.3550570165631,289.1981786750102,GISS-E2-1-G,ssp245,r1i1p3f1
2056,290.22499739019213,289.0654283722686,GISS-E2-1-G,ssp245,r1i1p3f1
2057,290.52737199259457,289.35880807714005,GISS-E2-1-G,ssp245,r1i1p3f1
2058,290.77168500525215,289.6095771964902,GISS-E2-1-G,ssp245,r1i1p3f1
2059,290.751558518907,289.61178892049355,GISS-E2-1-G,ssp245,r1i1p3f1
2060,290.8134831446955,289.67028390776227,GISS-E2-1-G,ssp245,r1i1p3f1
2061,290.9358887246173,289.74620614990795,GISS-E2-1-G,ssp245,r1i1p3f1
2062,290.81348457656156,289.65934233843,GISS-E2-1-G,ssp245,r1i1p3f1
2063,290.5093748056642,289.3678247944274,GISS-E2-1-G,ssp245,r1i1p3f1
2064,290.4237804211999,289.25936157671157,GISS-E2-1-G,ssp245,r1i1p3f1
2065,290.5403667166809,289.3902996579158,GISS-E2-1-G,ssp245,r1i1p3f1
2066,290.8756252377277,289.74406675721235,GISS-E2-1-G,ssp245,r1i1p3f1
2067,290.87083631281666,289.71168473316845,GISS-E2-1-G,ssp245,r1i1p3f1
2068,290.6952243319925,289.5349760651718,GISS-E2-1-G,ssp245,r1i1p3f1
2069,290.78507628722895,289.6513900256782,GISS-E2-1-G,ssp245,r1i1p3f1
2070,290.8315498138986,289.6716933340946,GISS-E2-1-G,ssp245,r1i1p3f1
2071,290.6197788275426,289.4576450045989,GISS-E2-1-G,ssp245,r1i1p3f1
2072,290.58312080493135,289.42389485852175,GISS-E2-1-G,ssp245,r1i1p3f1
2073,290.8895171681229,289.7404768385087,GISS-E2-1-G,ssp245,r1i1p3f1
2074,291.037446173099,289.8726093664199,GISS-E2-1-G,ssp245,r1i1p3f1
2075,290.8273740198318,289.6555052580952,GISS-E2-1-G,ssp245,r1i1p3f1
2076,290.6932362831104,289.5183572665646,GISS-E2-1-G,ssp245,r1i1p3f1
2077,290.9155858310748,289.7830856764177,GISS-E2-1-G,ssp245,r1i1p3f1
2078,291.0547143533628,289.9167248856776,GISS-E2-1-G,ssp245,r1i1p3f1
2079,290.9994973948385,289.8539959877963,GISS-E2-1-G,ssp245,r1i1p3f1
2080,290.88780484220234,289.72896605056985,GISS-E2-1-G,ssp245,r1i1p3f1
2081,290.98370727256804,289.8348292084254,GISS-E2-1-G,ssp245,r1i1p3f1
2082,291.2373934302117,290.06720334484595,GISS-E2-1-G,ssp245,r1i1p3f1
2083,290.9590494926868,289.8041706237952,GISS-E2-1-G,ssp245,r1i1p3f1
2084,290.86718182294845,289.7338830885829,GISS-E2-1-G,ssp245,r1i1p3f1
2085,291.0136031575671,289.90440115281064,GISS-E2-1-G,ssp245,r1i1p3f1
2086,291.07632254018824,289.91107432593185,GISS-E2-1-G,ssp245,r1i1p3f1
2087,290.7864422911184,289.6163071399567,GISS-E2-1-G,ssp245,r1i1p3f1
