year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,289.09680532787075,287.8173492808067,GISS-E2-1-H,historical,r1i1p5f1
1851,289.01635118150506,287.73071957032266,GISS-E2-1-H,historical,r1i1p5f1
1852,288.71843020528604,287.4292715678425,GISS-E2-1-H,historical,r1i1p5f1
1853,288.7292083180747,287.4217085291022,GISS-E2-1-H,historical,r1i1p5f1
1854,288.64527938062923,287.34518401592476,GISS-E2-1-H,historical,r1i1p5f1
1855,288.75419928321804,287.48868863580145,GISS-E2-1-H,historical,r1i1p5f1
1856,288.76765556882697,287.47425840683553,GISS-E2-1-H,historical,r1i1p5f1
1857,288.9145206965943,287.621353661655,GISS-E2-1-H,historical,r1i1p5f1
1858,288.7011716736202,287.39683576817754,GISS-E2-1-H,historical,r1i1p5f1
1859,288.75506347871953,287.49699288429633,GISS-E2-1-H,historical,r1i1p5f1
1860,288.7566641225723,287.4955294928652,GISS-E2-1-H,historical,r1i1p5f1
1861,288.78235187831694,287.5330723381136,GISS-E2-1-H,historical,r1i1p5f1
1862,288.69361590307216,287.41248129662637,GISS-E2-1-H,historical,r1i1p5f1
1863,288.67725645837544,287.40214384509454,GISS-E2-1-H,historical,r1i1p5f1
1864,288.82322604354266,287.5402288119951,GISS-E2-1-H,historical,r1i1p5f1
1865,288.94433369315146,287.62387766509187,GISS-E2-1-H,historical,r1i1p5f1
1866,288.84895578249467,287.57461623236986,GISS-E2-1-H,historical,r1i1p5f1
1867,288.7668125027443,287.49517369850975,GISS-E2-1-H,historical,r1i1p5f1
1868,288.8145792810369,287.5176110232019,GISS-E2-1-H,historical,r1i1p5f1
1869,288.85397399090283,287.5833036778025,GISS-E2-1-H,historical,r1i1p5f1
1870,288.81396814511004,287.5546756482227,GISS-E2-1-H,historical,r1i1p5f1
1871,288.87026414664285,287.6203270879226,GISS-E2-1-H,historical,r1i1p5f1
1872,288.79755399864274,287.55202647586674,GISS-E2-1-H,historical,r1i1p5f1
1873,288.88290389210454,287.65761171700393,GISS-E2-1-H,historical,r1i1p5f1
1874,289.0094703092286,287.7642258909813,GISS-E2-1-H,historical,r1i1p5f1
1875,289.10331095908117,287.86797454291633,GISS-E2-1-H,historical,r1i1p5f1
1876,288.6657880699675,287.4227774287497,GISS-E2-1-H,historical,r1i1p5f1
1877,288.66826644642424,287.4413516113674,GISS-E2-1-H,historical,r1i1p5f1
1878,288.8433450522397,287.6236761813367,GISS-E2-1-H,historical,r1i1p5f1
1879,288.81675647464823,287.6417071402182,GISS-E2-1-H,historical,r1i1p5f1
