year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.1118339666275,286.8485497235808,HadGEM3-GC31-LL,historical,r3i1p1f3
1851,288.0469313892048,286.81253047227153,HadGEM3-GC31-LL,historical,r3i1p1f3
1852,288.22915830226384,286.9945906755954,HadGEM3-GC31-LL,historical,r3i1p1f3
1853,288.3391982637112,287.10025859244377,HadGEM3-GC31-LL,historical,r3i1p1f3
1854,288.24658746999535,287.01070298733083,HadGEM3-GC31-LL,historical,r3i1p1f3
1855,288.1600244951309,286.91253608624277,HadGEM3-GC31-LL,historical,r3i1p1f3
1856,288.04555175341625,286.8136846231563,HadGEM3-GC31-LL,historical,r3i1p1f3
1857,288.06212146673226,286.84061970436653,HadGEM3-GC31-LL,historical,r3i1p1f3
1858,288.1167969516763,286.8983821066948,HadGEM3-GC31-LL,historical,r3i1p1f3
1859,288.07293681060645,286.86191902867216,HadGEM3-GC31-LL,historical,r3i1p1f3
1860,288.09778029964906,286.8840255805433,HadGEM3-GC31-LL,historical,r3i1p1f3
1861,288.15595338520905,286.92742251379093,HadGEM3-GC31-LL,historical,r3i1p1f3
1862,288.06984233660484,286.8461096654049,HadGEM3-GC31-LL,historical,r3i1p1f3
1863,288.04865263572566,286.8572683045946,HadGEM3-GC31-LL,historical,r3i1p1f3
1864,288.0590084750234,286.8395779666683,HadGEM3-GC31-LL,historical,r3i1p1f3
1865,288.02363918894076,286.8401910024965,HadGEM3-GC31-LL,historical,r3i1p1f3
1866,288.14068092720396,286.88901392977334,HadGEM3-GC31-LL,historical,r3i1p1f3
1867,288.06202446057796,286.81362320324774,HadGEM3-GC31-LL,historical,r3i1p1f3
1868,288.0306054659092,286.7960773953055,HadGEM3-GC31-LL,historical,r3i1p1f3
1869,288.0934131319691,286.84630278704896,HadGEM3-GC31-LL,historical,r3i1p1f3
1870,288.09159359119855,286.8606712321316,HadGEM3-GC31-LL,historical,r3i1p1f3
1871,287.984325740942,286.7326940467334,HadGEM3-GC31-LL,historical,r3i1p1f3
1872,287.9133064876294,286.6441722730523,HadGEM3-GC31-LL,historical,r3i1p1f3
