year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.2745330129325,288.114909519779,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2016,289.1652749245562,287.99905424840523,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2017,289.320425478593,288.1588354863839,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2018,289.4185514190062,288.280200271788,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2019,289.3105899398009,288.1527228341932,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2020,289.2347374296078,288.0711342427425,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2021,289.333219698135,288.20359037128577,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2022,289.4071112472526,288.28558145369135,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2023,289.64934761700187,288.5131405024365,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2024,289.4769202496978,288.3569363746191,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2025,289.50896199228947,288.3844002963905,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2026,289.64369568889765,288.5114478627536,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2027,289.5155468816376,288.41097481786284,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2028,289.6217597535591,288.5049074546758,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2029,289.6572476110311,288.5503209631526,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2030,289.72322611596934,288.62030256337874,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2031,289.92411221067147,288.8117149326881,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2032,289.8658694988862,288.7482185205613,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2033,289.8596116420335,288.7754364205274,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2034,289.7556142265056,288.68451282221724,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2035,289.8767502859673,288.7829057018705,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2036,290.0105959920053,288.9472584574763,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2037,289.85817077784566,288.78814614153487,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2038,289.91183963625906,288.83091026960614,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2039,289.93895868458253,288.86752701826015,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2040,290.00989530207903,288.9284959330352,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2041,290.09470917772745,289.04171681381183,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2042,290.2377341204282,289.1784484777759,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2043,290.2369049852613,289.156194723201,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2044,290.0515442096619,288.9361848940595,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2045,290.266361134073,289.1680609449392,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2046,290.42091555998746,289.3662512540378,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2047,290.2872576544606,289.22653750344193,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2048,290.33911886304963,289.280081239072,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2049,290.36490121878666,289.33597993345956,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2050,290.38821351553884,289.3504007435714,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2051,290.41590756552483,289.35085686231037,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2052,290.4321172198328,289.3826467228068,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2053,290.3955095909684,289.3365541614532,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2054,290.3975953807054,289.3715448788927,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2055,290.5041411467398,289.4514901367539,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2056,290.53156086303113,289.47588348379804,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2057,290.60567979761623,289.56730064172,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2058,290.5106582629479,289.4925239136497,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2059,290.6913311710086,289.6654821747706,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2060,290.7597332401578,289.7455180201666,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2061,290.80409725936164,289.7980819023061,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2062,290.74078353862603,289.7446626232198,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2063,290.7234010040689,289.7163453540443,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2064,291.05345825677733,290.0622837176109,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2065,290.8682218315239,289.8925453706414,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2066,290.7956786336137,289.818298948371,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2067,290.9694945605426,290.0051906358702,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2068,291.194700698784,290.2020143751491,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2069,291.0699807716205,290.0978802504063,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2070,291.00016831960033,290.00571337798476,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2071,291.11288831693,290.1209069401558,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2072,291.118693486289,290.1327602712468,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2073,291.1720651406592,290.2172987451098,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2074,291.1759149270752,290.23678563068955,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2075,291.29644789668,290.34094707844594,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2076,291.3793376736992,290.39310201157014,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2077,291.1921328967041,290.2278559126008,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2078,291.1610980646572,290.2207495396123,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2079,291.18974201634654,290.26172859468204,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2080,291.26492730234935,290.32618233256574,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2081,291.2048652468081,290.2696386281393,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2082,291.231021005905,290.3020502198003,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2083,291.4536654147726,290.48565543804233,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2084,291.5299784380913,290.55851564182086,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2085,291.26312066339557,290.2858392899746,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2086,291.32747788741494,290.3788050657328,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2087,291.5269076236436,290.56583984244395,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2088,291.4739910844264,290.52877349571264,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2089,291.5372316808961,290.61064001499875,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2090,291.52964288190674,290.5896890515334,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2091,291.389133220116,290.44807515808844,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2092,291.5327449810367,290.5929537259731,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2093,291.6681704226681,290.7214872871491,HadGEM3-GC31-LL,ssp245,r2i1p1f3
2094,291.44291793465675,290.5208040976898,HadGEM3-GC31-LL,ssp245,r2i1p1f3
