year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.1814845983246,286.94342713902,HadGEM3-GC31-MM,historical,r2i1p1f3
1851,288.26930292490226,287.0146405883545,HadGEM3-GC31-MM,historical,r2i1p1f3
1852,288.4036204162856,287.1732071053713,HadGEM3-GC31-MM,historical,r2i1p1f3
1853,288.2511823490431,286.9967283922501,HadGEM3-GC31-MM,historical,r2i1p1f3
1854,288.3762845609807,287.13773211173066,HadGEM3-GC31-MM,historical,r2i1p1f3
1855,288.28943733636663,287.07008899966394,HadGEM3-GC31-MM,historical,r2i1p1f3
1856,288.450599889499,287.236272625377,HadGEM3-GC31-MM,historical,r2i1p1f3
1857,288.59883872184514,287.3539618162927,HadGEM3-GC31-MM,historical,r2i1p1f3
1858,288.2377053804056,287.0226740084308,HadGEM3-GC31-MM,historical,r2i1p1f3
1859,288.1028640780804,286.8592386991556,HadGEM3-GC31-MM,historical,r2i1p1f3
1860,288.2814571745014,287.032184829036,HadGEM3-GC31-MM,historical,r2i1p1f3
1861,288.33493843093015,287.0751134413581,HadGEM3-GC31-MM,historical,r2i1p1f3
1862,288.42477562055586,287.14463768357103,HadGEM3-GC31-MM,historical,r2i1p1f3
1863,288.162125828884,286.88908798205614,HadGEM3-GC31-MM,historical,r2i1p1f3
1864,288.1107096084449,286.86817691223996,HadGEM3-GC31-MM,historical,r2i1p1f3
1865,288.10700359737115,286.87633384065015,HadGEM3-GC31-MM,historical,r2i1p1f3
1866,288.329324797863,287.08191018477964,HadGEM3-GC31-MM,historical,r2i1p1f3
1867,288.27804542155747,287.01669970693916,HadGEM3-GC31-MM,historical,r2i1p1f3
1868,288.2358581090412,287.01244498874286,HadGEM3-GC31-MM,historical,r2i1p1f3
1869,288.27695445362275,287.05739284971236,HadGEM3-GC31-MM,historical,r2i1p1f3
1870,288.36494523445816,287.1236935763159,HadGEM3-GC31-MM,historical,r2i1p1f3
1871,288.2606853455807,287.03639703920066,HadGEM3-GC31-MM,historical,r2i1p1f3
1872,288.2944821778696,287.08681188899305,HadGEM3-GC31-MM,historical,r2i1p1f3
1873,288.4619496328876,287.2387934920925,HadGEM3-GC31-MM,historical,r2i1p1f3
1874,288.39394309522,287.1545204376763,HadGEM3-GC31-MM,historical,r2i1p1f3
1875,288.3972795509593,287.16355861375456,HadGEM3-GC31-MM,historical,r2i1p1f3
1876,288.321686221599,287.1020064997083,HadGEM3-GC31-MM,historical,r2i1p1f3
1877,288.46963630234745,287.268024087235,HadGEM3-GC31-MM,historical,r2i1p1f3
1878,288.4953767305421,287.2633822299343,HadGEM3-GC31-MM,historical,r2i1p1f3
