year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.08867664268416,287.9379684530392,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2016,289.2330169611783,288.0861018365873,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2017,289.2841262548881,288.1317071472079,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2018,289.19749800760025,288.0376210568762,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2019,289.2138541246075,288.0492567909658,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2020,289.3552590352393,288.1787619737184,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2021,289.2981805592523,288.1528435972252,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2022,289.2865319311581,288.12005960477416,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2023,289.37467207208397,288.21959447720354,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2024,289.5255418866986,288.37855256108816,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2025,289.49424653079365,288.3418732212448,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2026,289.51305112865464,288.3610698462559,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2027,289.5744947095696,288.46122635386416,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2028,289.6985204298617,288.55117054065505,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2029,289.62353481795964,288.4982679705496,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2030,289.61031437704963,288.5013135520269,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2031,289.79816017889084,288.7051738565702,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2032,289.9108672509711,288.80081057327106,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2033,289.82279194874405,288.72543922319744,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2034,289.91578068046624,288.8142647668777,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2035,290.02488796220456,288.93907716180837,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2036,290.0361896056578,288.9484091815881,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2037,289.8652716092196,288.78209304754114,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2038,289.93516958047167,288.85147403401623,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2039,290.02228328459597,288.9712424640859,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2040,289.9882545876198,288.93526801731355,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2041,290.22523928844066,289.16038986229955,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2042,290.1701008867514,289.1117422304149,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2043,290.1853450711511,289.1058268423884,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2044,290.2491802685742,289.1783655311523,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2045,290.2625837561935,289.1984470338441,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2046,290.29035354559994,289.23728608012283,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2047,290.33886325339364,289.26673673861023,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2048,290.2215067412414,289.1613869498413,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2049,290.48115638177734,289.4201143019209,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2050,290.32747135689687,289.27468286789195,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2051,290.35264014926,289.30335904714946,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2052,290.37654161980566,289.31426896317174,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2053,290.3833619061523,289.3008487575196,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2054,290.45895310232163,289.3969552144414,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2055,290.53275967548205,289.4793499848684,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2056,290.4988786691713,289.4551832213361,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2057,290.56180816807074,289.49953374397677,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2058,290.4453026751629,289.3729906410852,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2059,290.42318981248496,289.36837946146113,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2060,290.4616349081216,289.42251726005594,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2061,290.4621283008354,289.4245523178165,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2062,290.3730303050338,289.30695251997963,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2063,290.4727244492145,289.41602094290005,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2064,290.58986118920217,289.5070295421568,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2065,290.56033046632996,289.4888332070437,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2066,290.6651240844826,289.6013898188718,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2067,290.5018507013626,289.4698127333606,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2068,290.5478292435357,289.50625295163735,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2069,290.68841676358994,289.6674963568605,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2070,290.70405431747804,289.6386936662209,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2071,290.5325131373924,289.47330226969615,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2072,290.6728038696157,289.65285604612654,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2073,290.8572334179151,289.8070249113705,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2074,290.714252751702,289.6799989014113,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2075,290.654221516137,289.61100661782035,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2076,290.7899532227051,289.73181247279183,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2077,290.75162238478106,289.711515745879,HadGEM3-GC31-MM,ssp126,r1i1p1f3
2078,290.8594884981742,289.8036994272939,HadGEM3-GC31-MM,ssp126,r1i1p1f3
