year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.5195954105341,288.3865509259227,IITM-ESM,ssp126,r1i1p1f1
2016,289.56744515596733,288.46813367088527,IITM-ESM,ssp126,r1i1p1f1
2017,289.6800029180417,288.5604746846198,IITM-ESM,ssp126,r1i1p1f1
2018,289.64408517679,288.52703598958567,IITM-ESM,ssp126,r1i1p1f1
2019,289.7065304066674,288.62350060722633,IITM-ESM,ssp126,r1i1p1f1
2020,289.67604576579504,288.58106398897485,IITM-ESM,ssp126,r1i1p1f1
2021,289.77662877410273,288.6684209754364,IITM-ESM,ssp126,r1i1p1f1
2022,289.7071861683944,288.6079189600332,IITM-ESM,ssp126,r1i1p1f1
2023,289.64726843070684,288.5204910503696,IITM-ESM,ssp126,r1i1p1f1
2024,289.4880776371817,288.35754073279156,IITM-ESM,ssp126,r1i1p1f1
2025,289.607268114666,288.4606248312489,IITM-ESM,ssp126,r1i1p1f1
2026,289.5627552405595,288.4438732292746,IITM-ESM,ssp126,r1i1p1f1
2027,289.6230035824922,288.514902586396,IITM-ESM,ssp126,r1i1p1f1
2028,289.78005093886003,288.6740731471199,IITM-ESM,ssp126,r1i1p1f1
2029,289.7165032033438,288.5677521829547,IITM-ESM,ssp126,r1i1p1f1
2030,289.796325606869,288.65404694873644,IITM-ESM,ssp126,r1i1p1f1
2031,289.4511192418949,288.2582927617432,IITM-ESM,ssp126,r1i1p1f1
2032,289.65641880088907,288.4917901506981,IITM-ESM,ssp126,r1i1p1f1
2033,289.6415860481481,288.50089134575273,IITM-ESM,ssp126,r1i1p1f1
2034,289.6651260745309,288.5563973765661,IITM-ESM,ssp126,r1i1p1f1
2035,289.73974071736893,288.5936622600277,IITM-ESM,ssp126,r1i1p1f1
2036,289.74704402007944,288.57232135250916,IITM-ESM,ssp126,r1i1p1f1
2037,289.85829656854315,288.71042562645505,IITM-ESM,ssp126,r1i1p1f1
2038,289.8652573052737,288.73638565392605,IITM-ESM,ssp126,r1i1p1f1
2039,289.68934894984744,288.5638617912585,IITM-ESM,ssp126,r1i1p1f1
2040,289.7616258053993,288.59408451027986,IITM-ESM,ssp126,r1i1p1f1
2041,289.8983020183727,288.75844974670173,IITM-ESM,ssp126,r1i1p1f1
2042,289.9202261224006,288.7844425399036,IITM-ESM,ssp126,r1i1p1f1
2043,289.9398960348093,288.81771316665345,IITM-ESM,ssp126,r1i1p1f1
2044,289.74548988376944,288.59957590171575,IITM-ESM,ssp126,r1i1p1f1
2045,290.03893262895934,288.859323169974,IITM-ESM,ssp126,r1i1p1f1
2046,289.8708498752881,288.737042246927,IITM-ESM,ssp126,r1i1p1f1
2047,289.9653331808411,288.83381307946496,IITM-ESM,ssp126,r1i1p1f1
2048,289.8794997177329,288.73726561288703,IITM-ESM,ssp126,r1i1p1f1
2049,290.0083635845252,288.89055164562524,IITM-ESM,ssp126,r1i1p1f1
2050,289.9820885829755,288.85235277367843,IITM-ESM,ssp126,r1i1p1f1
2051,289.84928864640756,288.7044719884999,IITM-ESM,ssp126,r1i1p1f1
2052,289.887002475185,288.7460528084676,IITM-ESM,ssp126,r1i1p1f1
