year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.5171384625707,286.3296027872232,INM-CM5-0,historical,r5i1p1f1
1851,287.5033755461652,286.26446328150485,INM-CM5-0,historical,r5i1p1f1
1852,287.51629760989357,286.31162176194687,INM-CM5-0,historical,r5i1p1f1
1853,287.51664685900374,286.31861903453927,INM-CM5-0,historical,r5i1p1f1
1854,287.4759746894583,286.2574012097585,INM-CM5-0,historical,r5i1p1f1
1855,287.572181978634,286.3709874933521,INM-CM5-0,historical,r5i1p1f1
1856,287.5311528616372,286.3409041130282,INM-CM5-0,historical,r5i1p1f1
1857,287.4868466303442,286.2745882603055,INM-CM5-0,historical,r5i1p1f1
1858,287.4539235630098,286.23960509172696,INM-CM5-0,historical,r5i1p1f1
1859,287.4494098947056,286.19800067801106,INM-CM5-0,historical,r5i1p1f1
1860,287.4574521544306,286.2199776273349,INM-CM5-0,historical,r5i1p1f1
1861,287.47995125415525,286.24991373557606,INM-CM5-0,historical,r5i1p1f1
1862,287.4342933338303,286.1938452685811,INM-CM5-0,historical,r5i1p1f1
1863,287.378017660899,286.1216906178001,INM-CM5-0,historical,r5i1p1f1
1864,287.4231222607401,286.12015553128356,INM-CM5-0,historical,r5i1p1f1
1865,287.3458054603594,286.0989015025759,INM-CM5-0,historical,r5i1p1f1
1866,287.37507919768586,286.15315886434837,INM-CM5-0,historical,r5i1p1f1
1867,287.39652675148864,286.16256755622476,INM-CM5-0,historical,r5i1p1f1
1868,287.45729919454874,286.2285684788442,INM-CM5-0,historical,r5i1p1f1
1869,287.3770652760913,286.1254590927886,INM-CM5-0,historical,r5i1p1f1
1870,287.3386410861419,286.0829719219478,INM-CM5-0,historical,r5i1p1f1
1871,287.36339165729936,286.11058015204515,INM-CM5-0,historical,r5i1p1f1
1872,287.44204115397554,286.17807287827026,INM-CM5-0,historical,r5i1p1f1
1873,287.53063976823546,286.28843743439717,INM-CM5-0,historical,r5i1p1f1
1874,287.4726790680208,286.2261384288804,INM-CM5-0,historical,r5i1p1f1
1875,287.4646777359328,286.219919052875,INM-CM5-0,historical,r5i1p1f1
1876,287.4273132783842,286.187774920971,INM-CM5-0,historical,r5i1p1f1
1877,287.3357090983675,286.0927299018702,INM-CM5-0,historical,r5i1p1f1
1878,287.4599211554227,286.25127405136647,INM-CM5-0,historical,r5i1p1f1
1879,287.3029137396211,286.09014171821184,INM-CM5-0,historical,r5i1p1f1
1880,287.43554910894005,286.2222739434909,INM-CM5-0,historical,r5i1p1f1
1881,287.47720435573825,286.23909980819303,INM-CM5-0,historical,r5i1p1f1
1882,287.4002224461558,286.14412526603434,INM-CM5-0,historical,r5i1p1f1
1883,287.3437399704509,286.09426196059457,INM-CM5-0,historical,r5i1p1f1
1884,287.1044867362162,285.87663600326806,INM-CM5-0,historical,r5i1p1f1
1885,287.3487250075948,286.0926756555331,INM-CM5-0,historical,r5i1p1f1
1886,287.3666710067463,286.13179010559855,INM-CM5-0,historical,r5i1p1f1
1887,287.3509280197072,286.0618056565627,INM-CM5-0,historical,r5i1p1f1
1888,287.37556127484345,286.1341627521968,INM-CM5-0,historical,r5i1p1f1
1889,287.5359210391071,286.29997327084146,INM-CM5-0,historical,r5i1p1f1
1890,287.47428517231384,286.2103182545393,INM-CM5-0,historical,r5i1p1f1
1891,287.38402177933426,286.13174651844207,INM-CM5-0,historical,r5i1p1f1
1892,287.46775008760704,286.22147424652155,INM-CM5-0,historical,r5i1p1f1
1893,287.4313126125833,286.2124831473317,INM-CM5-0,historical,r5i1p1f1
1894,287.49483100814615,286.2788025107731,INM-CM5-0,historical,r5i1p1f1
