year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.41639284651876,287.2597979308879,INM-CM5-0,ssp126,r1i1p1f1
2016,288.4722948902259,287.3072000224065,INM-CM5-0,ssp126,r1i1p1f1
2017,288.4370565701874,287.28134732776624,INM-CM5-0,ssp126,r1i1p1f1
2018,288.5151942708684,287.3271392028416,INM-CM5-0,ssp126,r1i1p1f1
2019,288.5477482486956,287.407346930003,INM-CM5-0,ssp126,r1i1p1f1
2020,288.65103261470784,287.5515853665813,INM-CM5-0,ssp126,r1i1p1f1
2021,288.676184528609,287.57954756370793,INM-CM5-0,ssp126,r1i1p1f1
2022,288.57018923959765,287.47054454866543,INM-CM5-0,ssp126,r1i1p1f1
2023,288.5780789664491,287.4489732790034,INM-CM5-0,ssp126,r1i1p1f1
2024,288.7487838154773,287.6152575219552,INM-CM5-0,ssp126,r1i1p1f1
2025,288.68577292873556,287.5573952248722,INM-CM5-0,ssp126,r1i1p1f1
2026,288.69060009446497,287.58075019712226,INM-CM5-0,ssp126,r1i1p1f1
2027,288.80559042602454,287.72896052679715,INM-CM5-0,ssp126,r1i1p1f1
2028,288.8391523111217,287.74091755607674,INM-CM5-0,ssp126,r1i1p1f1
2029,288.82383800845025,287.7434260774183,INM-CM5-0,ssp126,r1i1p1f1
2030,288.7994200659013,287.695184311786,INM-CM5-0,ssp126,r1i1p1f1
2031,288.82002988056445,287.72459075795547,INM-CM5-0,ssp126,r1i1p1f1
2032,288.81941372135276,287.6791948222052,INM-CM5-0,ssp126,r1i1p1f1
2033,288.9107110834256,287.79613464281334,INM-CM5-0,ssp126,r1i1p1f1
2034,288.9909084072967,287.89938107318704,INM-CM5-0,ssp126,r1i1p1f1
2035,288.95845544132317,287.8638155605685,INM-CM5-0,ssp126,r1i1p1f1
2036,288.9433557137284,287.84319548047336,INM-CM5-0,ssp126,r1i1p1f1
2037,288.97069506614,287.8926907125074,INM-CM5-0,ssp126,r1i1p1f1
2038,288.9980742759126,287.8670260253432,INM-CM5-0,ssp126,r1i1p1f1
2039,289.04235217175466,287.9025992870994,INM-CM5-0,ssp126,r1i1p1f1
2040,288.98832952246244,287.865614439004,INM-CM5-0,ssp126,r1i1p1f1
2041,288.9916223029318,287.84030292093706,INM-CM5-0,ssp126,r1i1p1f1
2042,288.9454372217185,287.799008029608,INM-CM5-0,ssp126,r1i1p1f1
2043,288.9840921123224,287.87139187827813,INM-CM5-0,ssp126,r1i1p1f1
2044,289.00861594922645,287.9029565869491,INM-CM5-0,ssp126,r1i1p1f1
2045,289.01969495334924,287.8809846548852,INM-CM5-0,ssp126,r1i1p1f1
2046,289.0534676465264,287.90506090048166,INM-CM5-0,ssp126,r1i1p1f1
2047,289.03079226021157,287.87747966958153,INM-CM5-0,ssp126,r1i1p1f1
2048,289.0469565189029,287.9317261412591,INM-CM5-0,ssp126,r1i1p1f1
2049,288.93310792004746,287.8376362878109,INM-CM5-0,ssp126,r1i1p1f1
2050,289.0729514267379,287.97664314807076,INM-CM5-0,ssp126,r1i1p1f1
2051,289.0951500103676,287.98989191123536,INM-CM5-0,ssp126,r1i1p1f1
2052,288.9888464420077,287.86365689229785,INM-CM5-0,ssp126,r1i1p1f1
2053,288.88129619135793,287.7402363453443,INM-CM5-0,ssp126,r1i1p1f1
2054,288.8621647368912,287.7170322849082,INM-CM5-0,ssp126,r1i1p1f1
2055,289.00177395801717,287.84417090271126,INM-CM5-0,ssp126,r1i1p1f1
2056,289.00239076879274,287.87956560635365,INM-CM5-0,ssp126,r1i1p1f1
2057,288.9587942655301,287.8566050486899,INM-CM5-0,ssp126,r1i1p1f1
2058,288.8904039439938,287.78433954662745,INM-CM5-0,ssp126,r1i1p1f1
2059,289.0345419321632,287.93782127859976,INM-CM5-0,ssp126,r1i1p1f1
2060,288.9110399177605,287.8048139243866,INM-CM5-0,ssp126,r1i1p1f1
2061,289.0537817226593,287.9710370230871,INM-CM5-0,ssp126,r1i1p1f1
2062,289.06006084914424,287.98458518586784,INM-CM5-0,ssp126,r1i1p1f1
2063,289.13707539539365,288.03871822075155,INM-CM5-0,ssp126,r1i1p1f1
2064,289.048944941798,287.9692476597931,INM-CM5-0,ssp126,r1i1p1f1
2065,288.9470443940807,287.8547878502433,INM-CM5-0,ssp126,r1i1p1f1
2066,289.03016349216654,287.9574494164701,INM-CM5-0,ssp126,r1i1p1f1
2067,289.06025229035254,288.0002147512625,INM-CM5-0,ssp126,r1i1p1f1
2068,288.9993656137175,287.9134566377374,INM-CM5-0,ssp126,r1i1p1f1
2069,288.90926655591466,287.7931496031628,INM-CM5-0,ssp126,r1i1p1f1
2070,288.9297837240795,287.7954661969785,INM-CM5-0,ssp126,r1i1p1f1
2071,288.9909086899083,287.84934648194115,INM-CM5-0,ssp126,r1i1p1f1
2072,288.98232280038394,287.86359324871955,INM-CM5-0,ssp126,r1i1p1f1
