year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.29532,286.1507,IPSL-CM5A2-INCA,historical,r1i1p1f1
1851,287.1854,286.05823,IPSL-CM5A2-INCA,historical,r1i1p1f1
1852,287.0473,285.9478,IPSL-CM5A2-INCA,historical,r1i1p1f1
1853,287.08136,285.9607,IPSL-CM5A2-INCA,historical,r1i1p1f1
1854,287.29446,286.15283,IPSL-CM5A2-INCA,historical,r1i1p1f1
1855,287.11246,285.97467,IPSL-CM5A2-INCA,historical,r1i1p1f1
1856,287.06168,285.89355,IPSL-CM5A2-INCA,historical,r1i1p1f1
1857,287.21777,286.09125,IPSL-CM5A2-INCA,historical,r1i1p1f1
1858,286.99884,285.8403,IPSL-CM5A2-INCA,historical,r1i1p1f1
1859,287.0015,285.82288,IPSL-CM5A2-INCA,historical,r1i1p1f1
1860,287.25345,286.08798,IPSL-CM5A2-INCA,historical,r1i1p1f1
1861,286.89304,285.70905,IPSL-CM5A2-INCA,historical,r1i1p1f1
1862,286.79575,285.61014,IPSL-CM5A2-INCA,historical,r1i1p1f1
1863,287.01224,285.8531,IPSL-CM5A2-INCA,historical,r1i1p1f1
1864,287.1525,286.01138,IPSL-CM5A2-INCA,historical,r1i1p1f1
1865,286.92438,285.778,IPSL-CM5A2-INCA,historical,r1i1p1f1
1866,286.801,285.62988,IPSL-CM5A2-INCA,historical,r1i1p1f1
1867,286.79947,285.64496,IPSL-CM5A2-INCA,historical,r1i1p1f1
1868,287.08673,285.89142,IPSL-CM5A2-INCA,historical,r1i1p1f1
1869,287.18384,286.03647,IPSL-CM5A2-INCA,historical,r1i1p1f1
1870,286.99997,285.85022,IPSL-CM5A2-INCA,historical,r1i1p1f1
1871,287.01288,285.873,IPSL-CM5A2-INCA,historical,r1i1p1f1
1872,287.13184,286.00238,IPSL-CM5A2-INCA,historical,r1i1p1f1
1873,286.98843,285.83826,IPSL-CM5A2-INCA,historical,r1i1p1f1
1874,287.2436,286.0932,IPSL-CM5A2-INCA,historical,r1i1p1f1
1875,287.1048,285.9499,IPSL-CM5A2-INCA,historical,r1i1p1f1
1876,287.22934,286.03452,IPSL-CM5A2-INCA,historical,r1i1p1f1
1877,287.03946,285.86313,IPSL-CM5A2-INCA,historical,r1i1p1f1
1878,286.86215,285.71387,IPSL-CM5A2-INCA,historical,r1i1p1f1
1879,286.86975,285.71976,IPSL-CM5A2-INCA,historical,r1i1p1f1
1880,286.90692,285.76724,IPSL-CM5A2-INCA,historical,r1i1p1f1
1881,287.0505,285.88644,IPSL-CM5A2-INCA,historical,r1i1p1f1
1882,287.12418,285.96762,IPSL-CM5A2-INCA,historical,r1i1p1f1
1883,287.0922,285.96118,IPSL-CM5A2-INCA,historical,r1i1p1f1
1884,286.77264,285.63312,IPSL-CM5A2-INCA,historical,r1i1p1f1
1885,286.9002,285.75882,IPSL-CM5A2-INCA,historical,r1i1p1f1
1886,286.91733,285.76797,IPSL-CM5A2-INCA,historical,r1i1p1f1
1887,286.9106,285.76202,IPSL-CM5A2-INCA,historical,r1i1p1f1
1888,286.97418,285.8133,IPSL-CM5A2-INCA,historical,r1i1p1f1
1889,286.9396,285.75848,IPSL-CM5A2-INCA,historical,r1i1p1f1
1890,286.94693,285.78946,IPSL-CM5A2-INCA,historical,r1i1p1f1
1891,286.98764,285.84113,IPSL-CM5A2-INCA,historical,r1i1p1f1
1892,286.85318,285.66962,IPSL-CM5A2-INCA,historical,r1i1p1f1
1893,287.03903,285.8381,IPSL-CM5A2-INCA,historical,r1i1p1f1
1894,287.2215,286.0688,IPSL-CM5A2-INCA,historical,r1i1p1f1
1895,287.16733,286.00668,IPSL-CM5A2-INCA,historical,r1i1p1f1
1896,287.17474,286.03775,IPSL-CM5A2-INCA,historical,r1i1p1f1
1897,287.27643,286.11612,IPSL-CM5A2-INCA,historical,r1i1p1f1
1898,286.97903,285.85794,IPSL-CM5A2-INCA,historical,r1i1p1f1
1899,287.10083,286.00177,IPSL-CM5A2-INCA,historical,r1i1p1f1
1900,287.2464,286.1289,IPSL-CM5A2-INCA,historical,r1i1p1f1
1901,287.09335,285.93158,IPSL-CM5A2-INCA,historical,r1i1p1f1
1902,286.94324,285.79587,IPSL-CM5A2-INCA,historical,r1i1p1f1
1903,287.1593,286.02362,IPSL-CM5A2-INCA,historical,r1i1p1f1
1904,287.0459,285.88855,IPSL-CM5A2-INCA,historical,r1i1p1f1
1905,286.92166,285.77322,IPSL-CM5A2-INCA,historical,r1i1p1f1
1906,287.14844,286.00583,IPSL-CM5A2-INCA,historical,r1i1p1f1
1907,287.05896,285.95255,IPSL-CM5A2-INCA,historical,r1i1p1f1
1908,287.17032,286.0287,IPSL-CM5A2-INCA,historical,r1i1p1f1
1909,287.18124,286.06393,IPSL-CM5A2-INCA,historical,r1i1p1f1
1910,287.29333,286.16333,IPSL-CM5A2-INCA,historical,r1i1p1f1
1911,287.3114,286.1675,IPSL-CM5A2-INCA,historical,r1i1p1f1
1912,287.16428,286.00818,IPSL-CM5A2-INCA,historical,r1i1p1f1
1913,287.1538,286.00546,IPSL-CM5A2-INCA,historical,r1i1p1f1
1914,286.83698,285.71146,IPSL-CM5A2-INCA,historical,r1i1p1f1
1915,286.96646,285.82037,IPSL-CM5A2-INCA,historical,r1i1p1f1
1916,287.0639,285.91653,IPSL-CM5A2-INCA,historical,r1i1p1f1
1917,287.15485,285.98663,IPSL-CM5A2-INCA,historical,r1i1p1f1
