year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.45767,287.321,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2016,288.49863,287.41986,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2017,288.67502,287.5987,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2018,288.6587,287.59332,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2019,288.65128,287.565,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2020,288.82358,287.7468,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2021,288.90967,287.8199,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2022,288.65033,287.5577,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2023,288.8245,287.75317,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2024,288.6385,287.58096,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2025,288.67523,287.5932,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2026,288.62485,287.56128,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2027,288.96548,287.87927,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2028,289.00708,287.95242,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2029,288.86972,287.77213,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2030,288.7601,287.67896,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2031,288.81503,287.74432,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2032,289.0733,287.9871,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2033,289.06027,287.99155,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2034,289.13843,288.10062,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2035,289.07443,288.0134,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2036,289.30426,288.2485,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2037,289.54602,288.52185,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2038,289.33228,288.29416,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2039,289.11707,288.0654,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2040,289.17932,288.13065,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2041,289.37454,288.30286,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2042,289.34152,288.26712,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2043,289.32202,288.2774,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2044,289.43277,288.3944,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2045,289.519,288.48456,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2046,289.46884,288.39325,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2047,289.52515,288.45972,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2048,289.7301,288.6818,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2049,289.6877,288.66608,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2050,289.65857,288.64282,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2051,289.70132,288.67102,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2052,289.9514,288.90042,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2053,289.98453,288.94012,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2054,289.8839,288.8567,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2055,289.89197,288.8766,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2056,290.0763,289.0472,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2057,289.87866,288.86212,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2058,289.8848,288.85822,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2059,290.07898,289.06357,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2060,290.1134,289.1023,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2061,290.27905,289.28137,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2062,290.00864,289.0032,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2063,290.2711,289.2801,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2064,290.1505,289.1555,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2065,290.08704,289.07227,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2066,290.29095,289.27383,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2067,290.35455,289.34497,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2068,290.3923,289.38678,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2069,290.32584,289.3788,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
2070,290.6029,289.6565,IPSL-CM5A2-INCA,ssp126,r1i1p1f1
