year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,286.8122,285.7034,IPSL-CM6A-LR,historical,r4i1p1f1
1851,286.90128,285.78122,IPSL-CM6A-LR,historical,r4i1p1f1
1852,286.8353,285.75388,IPSL-CM6A-LR,historical,r4i1p1f1
1853,286.9051,285.8367,IPSL-CM6A-LR,historical,r4i1p1f1
1854,287.04373,285.95303,IPSL-CM6A-LR,historical,r4i1p1f1
1855,287.0489,285.9647,IPSL-CM6A-LR,historical,r4i1p1f1
1856,287.02225,285.907,IPSL-CM6A-LR,historical,r4i1p1f1
1857,287.0556,285.92322,IPSL-CM6A-LR,historical,r4i1p1f1
1858,287.15955,286.04486,IPSL-CM6A-LR,historical,r4i1p1f1
1859,286.93173,285.8351,IPSL-CM6A-LR,historical,r4i1p1f1
1860,287.10178,286.00275,IPSL-CM6A-LR,historical,r4i1p1f1
1861,286.93573,285.8541,IPSL-CM6A-LR,historical,r4i1p1f1
1862,286.9569,285.8561,IPSL-CM6A-LR,historical,r4i1p1f1
1863,286.98077,285.86795,IPSL-CM6A-LR,historical,r4i1p1f1
1864,286.94785,285.8162,IPSL-CM6A-LR,historical,r4i1p1f1
1865,287.1756,286.07205,IPSL-CM6A-LR,historical,r4i1p1f1
1866,287.21735,286.10815,IPSL-CM6A-LR,historical,r4i1p1f1
1867,287.0783,285.9775,IPSL-CM6A-LR,historical,r4i1p1f1
1868,287.06808,285.95975,IPSL-CM6A-LR,historical,r4i1p1f1
1869,287.0715,285.94955,IPSL-CM6A-LR,historical,r4i1p1f1
1870,287.01038,285.90558,IPSL-CM6A-LR,historical,r4i1p1f1
1871,287.08127,285.96506,IPSL-CM6A-LR,historical,r4i1p1f1
1872,287.04486,285.89114,IPSL-CM6A-LR,historical,r4i1p1f1
1873,286.93478,285.8088,IPSL-CM6A-LR,historical,r4i1p1f1
1874,286.97,285.81915,IPSL-CM6A-LR,historical,r4i1p1f1
1875,287.01965,285.89212,IPSL-CM6A-LR,historical,r4i1p1f1
1876,287.1026,285.95755,IPSL-CM6A-LR,historical,r4i1p1f1
1877,287.11865,285.99,IPSL-CM6A-LR,historical,r4i1p1f1
1878,287.0199,285.88715,IPSL-CM6A-LR,historical,r4i1p1f1
1879,287.201,286.09177,IPSL-CM6A-LR,historical,r4i1p1f1
1880,287.2038,286.10257,IPSL-CM6A-LR,historical,r4i1p1f1
1881,287.14908,286.01367,IPSL-CM6A-LR,historical,r4i1p1f1
1882,287.1575,285.9933,IPSL-CM6A-LR,historical,r4i1p1f1
1883,287.2055,286.05957,IPSL-CM6A-LR,historical,r4i1p1f1
1884,287.27573,286.12903,IPSL-CM6A-LR,historical,r4i1p1f1
1885,286.93692,285.78754,IPSL-CM6A-LR,historical,r4i1p1f1
1886,286.85992,285.73166,IPSL-CM6A-LR,historical,r4i1p1f1
1887,286.8997,285.80118,IPSL-CM6A-LR,historical,r4i1p1f1
1888,286.9742,285.85654,IPSL-CM6A-LR,historical,r4i1p1f1
1889,286.8896,285.75153,IPSL-CM6A-LR,historical,r4i1p1f1
1890,286.94504,285.84216,IPSL-CM6A-LR,historical,r4i1p1f1
1891,286.99838,285.85663,IPSL-CM6A-LR,historical,r4i1p1f1
1892,287.02368,285.90036,IPSL-CM6A-LR,historical,r4i1p1f1
1893,287.20444,286.07092,IPSL-CM6A-LR,historical,r4i1p1f1
1894,287.17416,286.0466,IPSL-CM6A-LR,historical,r4i1p1f1
1895,287.1146,285.99994,IPSL-CM6A-LR,historical,r4i1p1f1
1896,286.98087,285.86325,IPSL-CM6A-LR,historical,r4i1p1f1
1897,287.0238,285.90137,IPSL-CM6A-LR,historical,r4i1p1f1
1898,287.27975,286.1366,IPSL-CM6A-LR,historical,r4i1p1f1
1899,287.24716,286.11395,IPSL-CM6A-LR,historical,r4i1p1f1
1900,287.25842,286.11743,IPSL-CM6A-LR,historical,r4i1p1f1
1901,287.21835,286.1126,IPSL-CM6A-LR,historical,r4i1p1f1
1902,287.08517,285.96942,IPSL-CM6A-LR,historical,r4i1p1f1
1903,287.09225,285.96213,IPSL-CM6A-LR,historical,r4i1p1f1
1904,287.05496,285.92517,IPSL-CM6A-LR,historical,r4i1p1f1
