year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.329,287.34445,IPSL-CM6A-LR,ssp370,r10i1p1f1
2016,288.27484,287.27042,IPSL-CM6A-LR,ssp370,r10i1p1f1
2017,288.45752,287.47208,IPSL-CM6A-LR,ssp370,r10i1p1f1
2018,288.33746,287.32642,IPSL-CM6A-LR,ssp370,r10i1p1f1
2019,288.26096,287.27243,IPSL-CM6A-LR,ssp370,r10i1p1f1
2020,288.4167,287.4193,IPSL-CM6A-LR,ssp370,r10i1p1f1
2021,288.37897,287.37097,IPSL-CM6A-LR,ssp370,r10i1p1f1
2022,288.42014,287.42212,IPSL-CM6A-LR,ssp370,r10i1p1f1
2023,288.5136,287.5675,IPSL-CM6A-LR,ssp370,r10i1p1f1
2024,288.37585,287.40182,IPSL-CM6A-LR,ssp370,r10i1p1f1
2025,288.57953,287.6104,IPSL-CM6A-LR,ssp370,r10i1p1f1
2026,288.707,287.71024,IPSL-CM6A-LR,ssp370,r10i1p1f1
2027,288.45657,287.46054,IPSL-CM6A-LR,ssp370,r10i1p1f1
2028,288.59515,287.6162,IPSL-CM6A-LR,ssp370,r10i1p1f1
2029,288.7046,287.74976,IPSL-CM6A-LR,ssp370,r10i1p1f1
2030,288.5723,287.62222,IPSL-CM6A-LR,ssp370,r10i1p1f1
2031,288.6807,287.74747,IPSL-CM6A-LR,ssp370,r10i1p1f1
2032,288.9994,288.0739,IPSL-CM6A-LR,ssp370,r10i1p1f1
2033,289.03867,288.1427,IPSL-CM6A-LR,ssp370,r10i1p1f1
2034,289.11215,288.21973,IPSL-CM6A-LR,ssp370,r10i1p1f1
2035,289.09802,288.18304,IPSL-CM6A-LR,ssp370,r10i1p1f1
2036,289.1283,288.18915,IPSL-CM6A-LR,ssp370,r10i1p1f1
2037,289.05466,288.12024,IPSL-CM6A-LR,ssp370,r10i1p1f1
2038,289.17606,288.22864,IPSL-CM6A-LR,ssp370,r10i1p1f1
2039,289.30692,288.3674,IPSL-CM6A-LR,ssp370,r10i1p1f1
2040,289.29108,288.34232,IPSL-CM6A-LR,ssp370,r10i1p1f1
2041,289.09674,288.1803,IPSL-CM6A-LR,ssp370,r10i1p1f1
2042,289.16702,288.24014,IPSL-CM6A-LR,ssp370,r10i1p1f1
2043,289.3386,288.4293,IPSL-CM6A-LR,ssp370,r10i1p1f1
2044,289.17737,288.25507,IPSL-CM6A-LR,ssp370,r10i1p1f1
2045,289.37048,288.4632,IPSL-CM6A-LR,ssp370,r10i1p1f1
2046,289.2376,288.35995,IPSL-CM6A-LR,ssp370,r10i1p1f1
2047,289.29025,288.3723,IPSL-CM6A-LR,ssp370,r10i1p1f1
2048,289.58942,288.69986,IPSL-CM6A-LR,ssp370,r10i1p1f1
2049,289.53494,288.6477,IPSL-CM6A-LR,ssp370,r10i1p1f1
2050,289.5206,288.63452,IPSL-CM6A-LR,ssp370,r10i1p1f1
2051,289.75537,288.85318,IPSL-CM6A-LR,ssp370,r10i1p1f1
2052,289.65292,288.78458,IPSL-CM6A-LR,ssp370,r10i1p1f1
2053,289.4842,288.6158,IPSL-CM6A-LR,ssp370,r10i1p1f1
2054,289.5914,288.69434,IPSL-CM6A-LR,ssp370,r10i1p1f1
2055,289.5976,288.71152,IPSL-CM6A-LR,ssp370,r10i1p1f1
2056,289.62067,288.746,IPSL-CM6A-LR,ssp370,r10i1p1f1
2057,289.8482,288.9821,IPSL-CM6A-LR,ssp370,r10i1p1f1
2058,290.06635,289.19318,IPSL-CM6A-LR,ssp370,r10i1p1f1
2059,289.93744,289.06903,IPSL-CM6A-LR,ssp370,r10i1p1f1
2060,289.94333,289.05902,IPSL-CM6A-LR,ssp370,r10i1p1f1
2061,289.9471,289.10107,IPSL-CM6A-LR,ssp370,r10i1p1f1
2062,290.00546,289.15732,IPSL-CM6A-LR,ssp370,r10i1p1f1
2063,290.01227,289.14624,IPSL-CM6A-LR,ssp370,r10i1p1f1
2064,290.05576,289.2142,IPSL-CM6A-LR,ssp370,r10i1p1f1
2065,290.06973,289.23026,IPSL-CM6A-LR,ssp370,r10i1p1f1
2066,290.42136,289.58475,IPSL-CM6A-LR,ssp370,r10i1p1f1
2067,290.26175,289.41226,IPSL-CM6A-LR,ssp370,r10i1p1f1
2068,290.55978,289.73135,IPSL-CM6A-LR,ssp370,r10i1p1f1
2069,290.7011,289.8735,IPSL-CM6A-LR,ssp370,r10i1p1f1
2070,290.45258,289.61884,IPSL-CM6A-LR,ssp370,r10i1p1f1
2071,290.48148,289.65256,IPSL-CM6A-LR,ssp370,r10i1p1f1
2072,290.6885,289.87347,IPSL-CM6A-LR,ssp370,r10i1p1f1
2073,290.73917,289.94815,IPSL-CM6A-LR,ssp370,r10i1p1f1
2074,290.67343,289.8651,IPSL-CM6A-LR,ssp370,r10i1p1f1
2075,290.75085,289.94037,IPSL-CM6A-LR,ssp370,r10i1p1f1
2076,290.96344,290.16006,IPSL-CM6A-LR,ssp370,r10i1p1f1
2077,290.9236,290.13132,IPSL-CM6A-LR,ssp370,r10i1p1f1
2078,290.82074,289.99826,IPSL-CM6A-LR,ssp370,r10i1p1f1
2079,291.03665,290.25214,IPSL-CM6A-LR,ssp370,r10i1p1f1
2080,291.2125,290.4405,IPSL-CM6A-LR,ssp370,r10i1p1f1
2081,291.10428,290.35327,IPSL-CM6A-LR,ssp370,r10i1p1f1
2082,291.23935,290.47385,IPSL-CM6A-LR,ssp370,r10i1p1f1
2083,291.27716,290.48358,IPSL-CM6A-LR,ssp370,r10i1p1f1
2084,291.34607,290.5798,IPSL-CM6A-LR,ssp370,r10i1p1f1
2085,291.325,290.55527,IPSL-CM6A-LR,ssp370,r10i1p1f1
2086,291.32462,290.5409,IPSL-CM6A-LR,ssp370,r10i1p1f1
2087,291.46472,290.64737,IPSL-CM6A-LR,ssp370,r10i1p1f1
2088,291.36978,290.58276,IPSL-CM6A-LR,ssp370,r10i1p1f1
2089,291.56702,290.76697,IPSL-CM6A-LR,ssp370,r10i1p1f1
2090,291.4569,290.64627,IPSL-CM6A-LR,ssp370,r10i1p1f1
2091,291.4408,290.6297,IPSL-CM6A-LR,ssp370,r10i1p1f1
2092,291.57782,290.7669,IPSL-CM6A-LR,ssp370,r10i1p1f1
2093,291.85858,291.0777,IPSL-CM6A-LR,ssp370,r10i1p1f1
2094,291.79065,291.00363,IPSL-CM6A-LR,ssp370,r10i1p1f1
2095,291.67276,290.90262,IPSL-CM6A-LR,ssp370,r10i1p1f1
2096,291.72336,290.97406,IPSL-CM6A-LR,ssp370,r10i1p1f1
2097,291.68488,290.94095,IPSL-CM6A-LR,ssp370,r10i1p1f1
2098,291.84805,291.1086,IPSL-CM6A-LR,ssp370,r10i1p1f1
2099,292.2172,291.48196,IPSL-CM6A-LR,ssp370,r10i1p1f1
2100,292.2417,291.50348,IPSL-CM6A-LR,ssp370,r10i1p1f1
