year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.4682695779695,288.26279257387836,KACE-1-0-G,ssp126,r1i1p1f1
2016,289.4590552549856,288.2889144157022,KACE-1-0-G,ssp126,r1i1p1f1
2017,289.5040287361358,288.34046048366855,KACE-1-0-G,ssp126,r1i1p1f1
2018,289.42088124433656,288.25803407056503,KACE-1-0-G,ssp126,r1i1p1f1
2019,289.5379927028756,288.3868891969542,KACE-1-0-G,ssp126,r1i1p1f1
2020,289.59555733785123,288.45971876003676,KACE-1-0-G,ssp126,r1i1p1f1
2021,289.7069055260152,288.5885721792367,KACE-1-0-G,ssp126,r1i1p1f1
2022,289.9274104194459,288.80187501522994,KACE-1-0-G,ssp126,r1i1p1f1
2023,289.885937643033,288.7699101915439,KACE-1-0-G,ssp126,r1i1p1f1
2024,289.9631120652803,288.8261346498219,KACE-1-0-G,ssp126,r1i1p1f1
2025,289.85955672354805,288.7309665030061,KACE-1-0-G,ssp126,r1i1p1f1
2026,289.9489409494633,288.82529032233543,KACE-1-0-G,ssp126,r1i1p1f1
2027,290.0266474318025,288.92999886892903,KACE-1-0-G,ssp126,r1i1p1f1
2028,290.08053958763156,288.98629631705927,KACE-1-0-G,ssp126,r1i1p1f1
2029,290.12871663145796,288.9992899381288,KACE-1-0-G,ssp126,r1i1p1f1
2030,290.07449664053587,288.9830509349023,KACE-1-0-G,ssp126,r1i1p1f1
2031,290.1356540418699,289.03123032621033,KACE-1-0-G,ssp126,r1i1p1f1
2032,290.263788027855,289.16001813267644,KACE-1-0-G,ssp126,r1i1p1f1
2033,290.17704792628626,289.0862772376821,KACE-1-0-G,ssp126,r1i1p1f1
2034,290.23163742784755,289.13780823808605,KACE-1-0-G,ssp126,r1i1p1f1
2035,290.2982170146827,289.1898026147288,KACE-1-0-G,ssp126,r1i1p1f1
2036,290.35700545248295,289.2629973016485,KACE-1-0-G,ssp126,r1i1p1f1
2037,290.26575502402824,289.1845307452884,KACE-1-0-G,ssp126,r1i1p1f1
2038,290.28068552823174,289.19017021988793,KACE-1-0-G,ssp126,r1i1p1f1
2039,290.37247193167167,289.3009332642757,KACE-1-0-G,ssp126,r1i1p1f1
