year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.68826279148084,286.6277867464773,MCM-UA-1-0,historical,r1i1p1f1
1851,287.6595741282297,286.5980199576689,MCM-UA-1-0,historical,r1i1p1f1
1852,287.69196194272035,286.6548470263918,MCM-UA-1-0,historical,r1i1p1f1
1853,287.66246814885557,286.62570840533164,MCM-UA-1-0,historical,r1i1p1f1
1854,287.72315396325496,286.67630397679295,MCM-UA-1-0,historical,r1i1p1f1
1855,287.5905820240313,286.5533362241056,MCM-UA-1-0,historical,r1i1p1f1
1856,287.63594061712917,286.5675754733862,MCM-UA-1-0,historical,r1i1p1f1
1857,287.4285476064997,286.3897922580991,MCM-UA-1-0,historical,r1i1p1f1
1858,287.43151320176986,286.38930433974065,MCM-UA-1-0,historical,r1i1p1f1
1859,287.3557779857285,286.30302292407725,MCM-UA-1-0,historical,r1i1p1f1
1860,287.36736915390634,286.28536488345947,MCM-UA-1-0,historical,r1i1p1f1
1861,287.6588216854874,286.5859556859666,MCM-UA-1-0,historical,r1i1p1f1
1862,287.65747526892204,286.60780926802653,MCM-UA-1-0,historical,r1i1p1f1
1863,287.72481109800555,286.6702664221573,MCM-UA-1-0,historical,r1i1p1f1
1864,287.5500623923881,286.4744552848287,MCM-UA-1-0,historical,r1i1p1f1
1865,287.57729641552703,286.50018004015163,MCM-UA-1-0,historical,r1i1p1f1
1866,287.552723164326,286.5020912207388,MCM-UA-1-0,historical,r1i1p1f1
1867,287.53527032733984,286.4879337390258,MCM-UA-1-0,historical,r1i1p1f1
1868,287.6028957125797,286.5173116403347,MCM-UA-1-0,historical,r1i1p1f1
1869,287.65605637704965,286.6117770649261,MCM-UA-1-0,historical,r1i1p1f1
1870,287.8926451321637,286.8016087349042,MCM-UA-1-0,historical,r1i1p1f1
1871,287.7865402025432,286.7091493680907,MCM-UA-1-0,historical,r1i1p1f1
1872,287.6079583321663,286.5385099868325,MCM-UA-1-0,historical,r1i1p1f1
1873,287.3931237684102,286.3430898172513,MCM-UA-1-0,historical,r1i1p1f1
1874,287.4596685253374,286.409646386332,MCM-UA-1-0,historical,r1i1p1f1
1875,287.38185168350753,286.33350662386107,MCM-UA-1-0,historical,r1i1p1f1
1876,287.3926695821303,286.31449660297494,MCM-UA-1-0,historical,r1i1p1f1
1877,287.5613186434036,286.5084663620048,MCM-UA-1-0,historical,r1i1p1f1
1878,287.5081635140316,286.43068013573156,MCM-UA-1-0,historical,r1i1p1f1
1879,287.65257695906524,286.54364202180216,MCM-UA-1-0,historical,r1i1p1f1
1880,287.77290489250623,286.68784835924674,MCM-UA-1-0,historical,r1i1p1f1
1881,287.45531812330285,286.37264697752244,MCM-UA-1-0,historical,r1i1p1f1
1882,287.59926292609424,286.51293199421184,MCM-UA-1-0,historical,r1i1p1f1
1883,287.4199004041351,286.39344370426505,MCM-UA-1-0,historical,r1i1p1f1
1884,287.13388491796564,286.0545584952091,MCM-UA-1-0,historical,r1i1p1f1
1885,287.1840417777192,286.1320271142294,MCM-UA-1-0,historical,r1i1p1f1
1886,287.31032800285953,286.1740530603064,MCM-UA-1-0,historical,r1i1p1f1
1887,287.16333728803517,286.06611323588197,MCM-UA-1-0,historical,r1i1p1f1
