year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,289.3356459519363,288.20061325421705,MIROC-ES2L,historical,r9i1p1f2
1851,289.28847609173164,288.1553730889618,MIROC-ES2L,historical,r9i1p1f2
1852,289.2594247813919,288.11340911999724,MIROC-ES2L,historical,r9i1p1f2
1853,289.28347742146184,288.1290944801848,MIROC-ES2L,historical,r9i1p1f2
1854,289.3520259331124,288.20564091153904,MIROC-ES2L,historical,r9i1p1f2
1855,289.5266246942173,288.3816551546334,MIROC-ES2L,historical,r9i1p1f2
1856,289.5366147504377,288.38767988907625,MIROC-ES2L,historical,r9i1p1f2
1857,289.1315100749097,288.01233879327964,MIROC-ES2L,historical,r9i1p1f2
1858,289.14573461343343,288.0078795114679,MIROC-ES2L,historical,r9i1p1f2
1859,289.14307023121575,287.9970158782575,MIROC-ES2L,historical,r9i1p1f2
1860,289.3257878182089,288.17057736137497,MIROC-ES2L,historical,r9i1p1f2
1861,289.483415071936,288.35059308762976,MIROC-ES2L,historical,r9i1p1f2
1862,289.12381061228876,287.96324643162444,MIROC-ES2L,historical,r9i1p1f2
1863,289.25470400551075,288.0936257308042,MIROC-ES2L,historical,r9i1p1f2
1864,289.26541815913606,288.12015010762894,MIROC-ES2L,historical,r9i1p1f2
1865,289.2971589964068,288.14112842834027,MIROC-ES2L,historical,r9i1p1f2
1866,289.4892672537284,288.3650314841256,MIROC-ES2L,historical,r9i1p1f2
1867,289.6613784235976,288.51433510783215,MIROC-ES2L,historical,r9i1p1f2
1868,289.31910253052814,288.2035258720308,MIROC-ES2L,historical,r9i1p1f2
1869,289.23991718165587,288.0874226333098,MIROC-ES2L,historical,r9i1p1f2
1870,289.1833885911995,288.0268957817615,MIROC-ES2L,historical,r9i1p1f2
1871,289.3385410965918,288.2132803724461,MIROC-ES2L,historical,r9i1p1f2
1872,289.4730431893516,288.3588562031616,MIROC-ES2L,historical,r9i1p1f2
1873,289.2611866542864,288.1430905713384,MIROC-ES2L,historical,r9i1p1f2
1874,289.2041358221698,288.05125342826074,MIROC-ES2L,historical,r9i1p1f2
1875,289.2930296391778,288.1495196017285,MIROC-ES2L,historical,r9i1p1f2
1876,289.43137550114386,288.2851022870477,MIROC-ES2L,historical,r9i1p1f2
1877,289.5059926122971,288.3284008975649,MIROC-ES2L,historical,r9i1p1f2
