year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,290.10008698229336,289.0256910557079,MIROC-ES2L,ssp245,r2i1p1f2
2016,290.3270987111999,289.2521925277018,MIROC-ES2L,ssp245,r2i1p1f2
2017,290.34711173410767,289.27853089757815,MIROC-ES2L,ssp245,r2i1p1f2
2018,290.0936231743852,289.01976998814393,MIROC-ES2L,ssp245,r2i1p1f2
2019,290.0880470399398,288.9957855008935,MIROC-ES2L,ssp245,r2i1p1f2
2020,290.2711210432992,289.20822802036014,MIROC-ES2L,ssp245,r2i1p1f2
2021,290.3168592729124,289.2457195071298,MIROC-ES2L,ssp245,r2i1p1f2
2022,290.4938954273841,289.4383192428597,MIROC-ES2L,ssp245,r2i1p1f2
2023,290.57255489323046,289.4960295765141,MIROC-ES2L,ssp245,r2i1p1f2
2024,290.5926885396173,289.5073074360691,MIROC-ES2L,ssp245,r2i1p1f2
2025,290.23528541159277,289.1486669293271,MIROC-ES2L,ssp245,r2i1p1f2
2026,290.18806420445844,289.13821250270837,MIROC-ES2L,ssp245,r2i1p1f2
2027,290.3949039969137,289.3422894585169,MIROC-ES2L,ssp245,r2i1p1f2
2028,290.61333177851884,289.57627975312175,MIROC-ES2L,ssp245,r2i1p1f2
2029,290.8531435873835,289.7861317984839,MIROC-ES2L,ssp245,r2i1p1f2
2030,290.61641825709535,289.5835402007871,MIROC-ES2L,ssp245,r2i1p1f2
2031,290.4688522590898,289.4369594450747,MIROC-ES2L,ssp245,r2i1p1f2
2032,290.4721508912002,289.4195231313378,MIROC-ES2L,ssp245,r2i1p1f2
2033,290.668432245817,289.6285413644957,MIROC-ES2L,ssp245,r2i1p1f2
2034,290.95492583764735,289.90554413459176,MIROC-ES2L,ssp245,r2i1p1f2
2035,290.5932136703053,289.55401843775974,MIROC-ES2L,ssp245,r2i1p1f2
2036,290.42146166487186,289.36455536499057,MIROC-ES2L,ssp245,r2i1p1f2
2037,290.5766066924316,289.52272868760025,MIROC-ES2L,ssp245,r2i1p1f2
2038,290.70769741185205,289.6652744376855,MIROC-ES2L,ssp245,r2i1p1f2
2039,291.1164686931909,290.08070597453593,MIROC-ES2L,ssp245,r2i1p1f2
2040,290.899602826544,289.85129158651966,MIROC-ES2L,ssp245,r2i1p1f2
2041,290.68390336449727,289.64038212682175,MIROC-ES2L,ssp245,r2i1p1f2
2042,290.6725689331545,289.6408909030869,MIROC-ES2L,ssp245,r2i1p1f2
2043,290.7433282562984,289.69411585454435,MIROC-ES2L,ssp245,r2i1p1f2
2044,291.043361523874,290.00810647434633,MIROC-ES2L,ssp245,r2i1p1f2
2045,291.16446999919674,290.1353659867743,MIROC-ES2L,ssp245,r2i1p1f2
2046,290.8428794979618,289.83306937306537,MIROC-ES2L,ssp245,r2i1p1f2
2047,290.7188510182701,289.70963167872253,MIROC-ES2L,ssp245,r2i1p1f2
2048,290.9690134276258,289.95405784094027,MIROC-ES2L,ssp245,r2i1p1f2
2049,291.28000219053916,290.2586267246666,MIROC-ES2L,ssp245,r2i1p1f2
2050,291.1414554895903,290.11098282059885,MIROC-ES2L,ssp245,r2i1p1f2
2051,291.10308187943366,290.10868702581746,MIROC-ES2L,ssp245,r2i1p1f2
2052,291.13936802653745,290.1511962205796,MIROC-ES2L,ssp245,r2i1p1f2
2053,291.2213781628072,290.2466225860454,MIROC-ES2L,ssp245,r2i1p1f2
2054,290.86899876108447,289.87839645679196,MIROC-ES2L,ssp245,r2i1p1f2
2055,290.85252713889497,289.86921020538676,MIROC-ES2L,ssp245,r2i1p1f2
2056,291.1138737672605,290.08999991415897,MIROC-ES2L,ssp245,r2i1p1f2
2057,291.29816212527555,290.2586972364265,MIROC-ES2L,ssp245,r2i1p1f2
2058,290.91840842154164,289.9183832447265,MIROC-ES2L,ssp245,r2i1p1f2
2059,290.9658334989296,289.9619907984949,MIROC-ES2L,ssp245,r2i1p1f2
2060,291.2307353578385,290.2144220731711,MIROC-ES2L,ssp245,r2i1p1f2
2061,291.48296571594085,290.4890236562163,MIROC-ES2L,ssp245,r2i1p1f2
2062,291.2892820523696,290.3158269509064,MIROC-ES2L,ssp245,r2i1p1f2
2063,291.12203713124427,290.15482392519885,MIROC-ES2L,ssp245,r2i1p1f2
2064,291.33357076692107,290.38869084695034,MIROC-ES2L,ssp245,r2i1p1f2
2065,291.43671766161367,290.45391769656106,MIROC-ES2L,ssp245,r2i1p1f2
2066,291.0983257153853,290.1300398835688,MIROC-ES2L,ssp245,r2i1p1f2
2067,290.94842791737676,289.95684789455527,MIROC-ES2L,ssp245,r2i1p1f2
2068,291.2414594593022,290.2883839778891,MIROC-ES2L,ssp245,r2i1p1f2
2069,291.6004812833497,290.6447644755235,MIROC-ES2L,ssp245,r2i1p1f2
2070,291.5752414948881,290.61336667026086,MIROC-ES2L,ssp245,r2i1p1f2
2071,291.2254102724852,290.26068624795926,MIROC-ES2L,ssp245,r2i1p1f2
2072,291.19345847690806,290.20775733434914,MIROC-ES2L,ssp245,r2i1p1f2
2073,291.37221945884346,290.4121196545035,MIROC-ES2L,ssp245,r2i1p1f2
2074,291.55859469241574,290.582374787225,MIROC-ES2L,ssp245,r2i1p1f2
2075,291.2981268023963,290.3495512060525,MIROC-ES2L,ssp245,r2i1p1f2
2076,291.21739505140624,290.2652235666317,MIROC-ES2L,ssp245,r2i1p1f2
2077,291.3781780854957,290.4368888361953,MIROC-ES2L,ssp245,r2i1p1f2
2078,291.70349827102353,290.7518290724867,MIROC-ES2L,ssp245,r2i1p1f2
2079,291.5465848970565,290.6005768188848,MIROC-ES2L,ssp245,r2i1p1f2
2080,291.2560578178092,290.30015946059615,MIROC-ES2L,ssp245,r2i1p1f2
2081,291.35858363841976,290.4103226729973,MIROC-ES2L,ssp245,r2i1p1f2
2082,291.7558553101303,290.77321428758756,MIROC-ES2L,ssp245,r2i1p1f2
2083,291.51593312349377,290.54746868369654,MIROC-ES2L,ssp245,r2i1p1f2
2084,291.3308552613518,290.38533532786573,MIROC-ES2L,ssp245,r2i1p1f2
2085,291.4796548613542,290.5376589728814,MIROC-ES2L,ssp245,r2i1p1f2
2086,291.6565373828424,290.74601531531977,MIROC-ES2L,ssp245,r2i1p1f2
2087,291.659349026845,290.7367902786009,MIROC-ES2L,ssp245,r2i1p1f2
2088,291.342088733123,290.4335695411187,MIROC-ES2L,ssp245,r2i1p1f2
2089,291.2181654266982,290.2873587559641,MIROC-ES2L,ssp245,r2i1p1f2
2090,291.4713037826575,290.5072013267925,MIROC-ES2L,ssp245,r2i1p1f2
2091,291.78897335302815,290.84429151461967,MIROC-ES2L,ssp245,r2i1p1f2
2092,291.5840267411321,290.62471980917815,MIROC-ES2L,ssp245,r2i1p1f2
2093,291.46474480858984,290.5159782116399,MIROC-ES2L,ssp245,r2i1p1f2
2094,291.6141195970453,290.6682852189203,MIROC-ES2L,ssp245,r2i1p1f2
2095,291.82030719070576,290.8836520039936,MIROC-ES2L,ssp245,r2i1p1f2
2096,292.0160870440207,291.07011894345135,MIROC-ES2L,ssp245,r2i1p1f2
2097,291.6419962961016,290.70074589040485,MIROC-ES2L,ssp245,r2i1p1f2
2098,291.53789720561485,290.58259473711973,MIROC-ES2L,ssp245,r2i1p1f2
2099,291.6672217546891,290.73561318924163,MIROC-ES2L,ssp245,r2i1p1f2
2100,291.87169795107405,290.9266109307811,MIROC-ES2L,ssp245,r2i1p1f2
