year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,289.3945420931697,288.0959624016607,MIROC6,historical,r7i1p1f1
1851,289.44121345831496,288.1882080931937,MIROC6,historical,r7i1p1f1
1852,289.58923725245313,288.35628926786023,MIROC6,historical,r7i1p1f1
1853,289.56017178441675,288.2720221347044,MIROC6,historical,r7i1p1f1
1854,289.5250383697976,288.24503485569556,MIROC6,historical,r7i1p1f1
1855,289.6456125108496,288.39224620024,MIROC6,historical,r7i1p1f1
1856,289.62431241217234,288.389873368133,MIROC6,historical,r7i1p1f1
1857,289.4931763111794,288.2505568696757,MIROC6,historical,r7i1p1f1
1858,289.63408890920465,288.38403863569437,MIROC6,historical,r7i1p1f1
1859,289.7702480131909,288.54150673858646,MIROC6,historical,r7i1p1f1
1860,289.74570175040407,288.5052604146341,MIROC6,historical,r7i1p1f1
1861,289.6551616545782,288.4356810076903,MIROC6,historical,r7i1p1f1
1862,289.5793869813122,288.3305907811941,MIROC6,historical,r7i1p1f1
1863,289.68933641415526,288.4406649044902,MIROC6,historical,r7i1p1f1
1864,289.7679557301116,288.54681108518827,MIROC6,historical,r7i1p1f1
1865,289.6217133608642,288.3743669585236,MIROC6,historical,r7i1p1f1
1866,289.6062546828684,288.35904596371523,MIROC6,historical,r7i1p1f1
1867,289.55396854624064,288.2966441751598,MIROC6,historical,r7i1p1f1
1868,289.53469734789473,288.2857770919493,MIROC6,historical,r7i1p1f1
1869,289.762820991803,288.5310740647426,MIROC6,historical,r7i1p1f1
1870,289.8043719569115,288.5751997232837,MIROC6,historical,r7i1p1f1
1871,289.57110048864223,288.3346377449663,MIROC6,historical,r7i1p1f1
1872,289.50044003697354,288.2868849013105,MIROC6,historical,r7i1p1f1
1873,289.5600799502042,288.31220232519007,MIROC6,historical,r7i1p1f1
1874,289.5980265634857,288.3832492814607,MIROC6,historical,r7i1p1f1
1875,289.58383206439646,288.3095263073612,MIROC6,historical,r7i1p1f1
1876,289.7762399850464,288.52489507605793,MIROC6,historical,r7i1p1f1
1877,289.9250269130706,288.7169943968371,MIROC6,historical,r7i1p1f1
1878,289.76452278222143,288.5386515497352,MIROC6,historical,r7i1p1f1
1879,289.61768962014605,288.3510272632966,MIROC6,historical,r7i1p1f1
1880,289.6323895726238,288.4029008188239,MIROC6,historical,r7i1p1f1
1881,289.62405639491413,288.40198455045777,MIROC6,historical,r7i1p1f1
1882,289.6651196839359,288.4349819785872,MIROC6,historical,r7i1p1f1
1883,289.8385087245464,288.6307334924674,MIROC6,historical,r7i1p1f1
1884,289.6369541458512,288.38626027583166,MIROC6,historical,r7i1p1f1
