year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,290.512174364616,289.3601111655993,MIROC6,ssp245,r4i1p1f1
2016,290.71764243576683,289.55579158121964,MIROC6,ssp245,r4i1p1f1
2017,290.4904240653759,289.3163851208103,MIROC6,ssp245,r4i1p1f1
2018,290.2376132568556,289.06836248876823,MIROC6,ssp245,r4i1p1f1
2019,290.4913115166551,289.29983464642515,MIROC6,ssp245,r4i1p1f1
2020,290.8190168449364,289.6581714788243,MIROC6,ssp245,r4i1p1f1
2021,290.7093197929088,289.5638906329008,MIROC6,ssp245,r4i1p1f1
2022,290.3365839415262,289.1684982497308,MIROC6,ssp245,r4i1p1f1
2023,290.39469302189747,289.23234192997967,MIROC6,ssp245,r4i1p1f1
2024,290.54699374270047,289.4209290992113,MIROC6,ssp245,r4i1p1f1
2025,290.80375305067264,289.6812496293655,MIROC6,ssp245,r4i1p1f1
2026,290.74238443426987,289.6259700922688,MIROC6,ssp245,r4i1p1f1
2027,290.41312393911267,289.281555916391,MIROC6,ssp245,r4i1p1f1
2028,290.40619563225243,289.2572722149156,MIROC6,ssp245,r4i1p1f1
2029,290.50500469002844,289.34595811658227,MIROC6,ssp245,r4i1p1f1
2030,290.4962398666405,289.33669268172554,MIROC6,ssp245,r4i1p1f1
2031,290.6103341402449,289.4373937569054,MIROC6,ssp245,r4i1p1f1
2032,290.83335345893005,289.72689782588077,MIROC6,ssp245,r4i1p1f1
2033,290.9151452680299,289.80575759691453,MIROC6,ssp245,r4i1p1f1
2034,290.7572714700091,289.66402712612353,MIROC6,ssp245,r4i1p1f1
2035,290.7461545343811,289.6234329169959,MIROC6,ssp245,r4i1p1f1
2036,290.8244500219699,289.70886087068584,MIROC6,ssp245,r4i1p1f1
2037,290.8328022860799,289.7004277641766,MIROC6,ssp245,r4i1p1f1
2038,290.93538831966157,289.8371121327837,MIROC6,ssp245,r4i1p1f1
2039,290.9542954768942,289.84591230886525,MIROC6,ssp245,r4i1p1f1
