year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.1976697593159,286.89749998862465,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1851,288.26644737333146,286.9474219210346,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1852,288.31262157851205,287.0255621363572,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1853,288.1828948111749,286.88801695673675,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1854,288.1594420113131,286.8308145404115,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1855,288.18423842803156,286.8343763587098,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1856,288.0865318457331,286.7521533074694,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1857,288.1704011998868,286.79922472237195,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1858,288.27439823295174,286.93530685182736,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1859,288.3089166405238,286.93267885879357,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1860,288.2210270899886,286.91347463277526,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1861,288.2565483548913,286.963717759663,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1862,288.1201374218023,286.8272040163621,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1863,288.1746495056379,286.8701331990102,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1864,288.3261095634795,287.02665890036263,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1865,288.2622977856343,286.97967397256565,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1866,288.1992402616815,286.95402633288217,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1867,288.1399663186793,286.8597046535828,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1868,288.29097860588996,287.011933962847,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1869,288.2336117741718,286.9751029306458,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1870,288.2905136317348,287.0007022989384,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1871,288.40365188566045,287.1155850934335,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1872,288.20031608051613,286.9081117847375,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1873,288.19782337028346,286.9237509958406,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1874,288.1905941478936,286.901895899229,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1875,288.2655007312919,286.9867638003906,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1876,288.28706944199234,287.00123375499305,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1877,288.3426416101764,287.05746948251686,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1878,288.3551684789767,287.076352453144,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1879,288.30949949259855,287.00925978832714,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1880,288.17851821637214,286.90893236715533,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1881,288.17471610751943,286.88203021804924,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1882,288.27467884516255,286.9899598942478,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1883,288.1161649814209,286.8619364303642,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1884,287.9791682313024,286.68199897869937,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1885,287.96546910241034,286.6843822051514,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1886,288.0551657276654,286.79714930095037,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1887,288.2564743486601,286.9733016815806,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1888,288.2452883744275,286.95001425197535,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1889,288.2075108932042,286.9178999838947,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1890,288.17413848387343,286.89739735160475,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1891,288.2247750953188,286.9248619963457,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1892,288.2407331658756,286.96067523546026,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1893,288.08851449060586,286.81518384538276,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1894,288.1290024549452,286.83347429692327,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1895,288.0877658315241,286.8049880982932,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1896,288.1716911095792,286.82430500763496,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1897,288.2267957039429,286.94261655931007,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1898,288.2149498052453,286.89419596303236,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1899,288.1841487790299,286.858470668312,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1900,288.08740353377834,286.75790027102545,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1901,288.19465033633566,286.8534486044815,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1902,288.1601238012608,286.8852195683458,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1903,288.2604517602988,286.9547159281197,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1904,288.5336744203582,287.248209926292,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1905,288.38493309261804,287.09782836284427,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1906,288.25396241425597,286.9562422405422,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1907,288.0712113162977,286.77609088714365,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1908,288.0862867403122,286.7803963927832,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1909,288.18381157790355,286.9228664372991,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1910,288.19618240493287,286.9007799115466,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1911,288.11932065533324,286.8209906835422,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1912,288.0032362020883,286.6901996375668,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1913,288.055741723128,286.7313731223431,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1914,288.18704098802664,286.8695619642984,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1915,288.30229163790557,286.99164004460033,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1916,288.25573855342526,286.9092114000469,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1917,288.085956547543,286.7606677649319,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1918,288.22039850964757,286.8996148071525,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1919,288.26121276551714,286.9345405868557,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1920,288.1611567581886,286.82766924670966,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1921,288.25067537842773,286.9393906691556,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1922,288.219718343567,286.93964366008777,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1923,288.3322182399065,287.0735292346184,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1924,288.2554925776596,287.00849839811804,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1925,288.28578942666564,287.0004581801957,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1926,288.4425239811266,287.1625018807821,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1927,288.22540775299825,286.93699182270933,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1928,288.30743230810896,287.0018375243664,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1929,288.3322134586896,287.0231708708799,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1930,288.3132624303728,287.03258978838517,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1931,288.39234124297053,287.07970966574686,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1932,288.4913375534059,287.1808839634669,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1933,288.3153026013234,287.00393688964823,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1934,288.22206026161786,286.9122194449772,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1935,288.13454523934143,286.83961616649776,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1936,288.2101463154672,286.9074520462966,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1937,288.207866907493,286.92319008533997,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1938,288.33051230780495,287.0583826953496,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1939,288.3135297296318,287.03691311334507,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1940,288.2486023843683,286.9424209429696,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1941,288.2695300871146,286.97368584067107,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1942,288.18124836502363,286.89017287906046,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1943,288.3709663057579,287.0522039291297,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1944,288.3742602178681,287.06837830381664,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1945,288.30320536673366,287.04163913443324,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1946,288.1902289930826,286.9312484852812,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1947,288.29139980226563,287.005672954924,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1948,288.32684492794175,287.04658474828585,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1949,288.2536647055328,286.9682810563383,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1950,288.2940833494862,287.02943320117424,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1951,288.33667282396726,287.0389123708963,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1952,288.3174893332175,286.98135106289806,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1953,288.17867883118055,286.83594600672006,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1954,288.2231880191655,286.9150788403037,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1955,288.3070134065748,286.9846351949702,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1956,288.4981434750828,287.1636526058285,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1957,288.4443312671253,287.13989709765207,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1958,288.17838650439114,286.81045852792926,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1959,288.2697243858516,286.930959671787,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1960,288.1699287158971,286.84368371052176,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1961,288.1978738486263,286.82699620166255,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1962,288.22594759173757,286.90392689199615,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1963,288.137688589528,286.84451868339596,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1964,287.94606238857835,286.6408029277089,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1965,287.93711194975236,286.63022716902526,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1966,288.15300720545395,286.8237722408782,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1967,288.2524601408312,286.90025465620005,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1968,288.1300105626311,286.83543231857874,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1969,288.21453587156117,286.9015518297317,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1970,288.2636121057364,286.93151638982596,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1971,288.15931505843963,286.8631780458242,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1972,288.0542051437531,286.73727660261875,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1973,288.03870634793304,286.7299172952786,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1974,288.20198445868846,286.9296527809229,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1975,288.23132417158905,286.92385117580613,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1976,288.20106080823916,286.9063274508398,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1977,288.0272461370026,286.72315190001825,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1978,288.23922489042155,286.9184242761651,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1979,288.25507996923585,286.9797898648325,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1980,288.16118874457277,286.8756492894157,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1981,288.199763546711,286.9140233783932,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1982,288.17051838866286,286.8701632006066,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1983,288.2840466234395,286.97219329515065,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1984,288.42302728120694,287.12389246127356,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1985,288.341758550786,287.05841251565306,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1986,288.2995192062683,287.01988121167653,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1987,288.29160893320534,286.9743445213229,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1988,288.13170734107285,286.88609352456353,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1989,288.27880757257657,286.9859872851353,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1990,288.32132515990406,287.000424294484,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1991,288.3295872835276,287.0293090361861,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1992,288.29927359977756,286.9505813725469,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1993,288.41125910703505,287.0912523933833,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1994,288.41597285391214,287.1147995730868,MPI-ESM-1-2-HAM,historical,r1i1p1f1
1995,288.2110642728417,286.9018242662618,MPI-ESM-1-2-HAM,historical,r1i1p1f1
