year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.8960915755349,287.69377112846126,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2016,289.0399141820492,287.8230894864866,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2017,289.13663288867,287.92451832430527,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2018,289.19776323341307,287.9756252064047,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2019,288.9599032242673,287.7465090368116,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2020,288.89792159049455,287.67493134976695,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2021,289.2291814079152,288.005032658955,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2022,289.16026594630665,287.9435340306166,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2023,289.115863401224,287.8998749184721,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2024,289.1511051260882,287.9320244804129,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2025,289.1945704559906,288.0263617091581,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2026,289.1409882960216,287.93723561886713,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2027,289.10064300966036,287.9438986987848,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2028,289.2329348899075,288.0317096683986,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2029,289.10721162050794,287.89756473274156,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2030,289.1733768994293,287.9814569958373,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2031,289.15849919003995,287.9473230048695,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2032,289.2135837009968,288.0196536045306,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2033,289.2760470832228,288.0535080789671,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2034,289.4028481038664,288.21661216698186,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2035,289.2782410334118,288.0539289553183,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2036,289.2919907552602,288.09502944003816,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2037,289.4024860503298,288.2233513793768,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2038,289.3496970749775,288.2117492381788,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2039,289.56164937555667,288.3730814360395,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2040,289.5751843451993,288.4419025752235,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2041,289.5449788592586,288.4198243723354,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2042,289.6026182969113,288.424012200982,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2043,289.5980964247693,288.48453990894507,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2044,289.68038580267887,288.60468902854325,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2045,289.6776430696324,288.56890839701475,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2046,289.65784856046275,288.5598266705389,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2047,289.68201441782895,288.59118481381114,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2048,289.9312981727528,288.82801772242993,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2049,289.76323902421433,288.6684691542974,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2050,289.5868605884281,288.4748286149693,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2051,289.65929865336085,288.56734181354307,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2052,289.9318490968616,288.8254336618551,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2053,289.9374302437422,288.81578888013473,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2054,290.11454271100354,289.0021364950308,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
2055,290.07983886616245,288.93626969778785,MPI-ESM-1-2-HAM,ssp370,r1i1p1f1
