year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.1561002320439,287.0177431129922,MPI-ESM1-2-HR,historical,r5i1p1f1
1851,288.31316008497953,287.1356685513843,MPI-ESM1-2-HR,historical,r5i1p1f1
1852,288.2085555885389,287.04513085992915,MPI-ESM1-2-HR,historical,r5i1p1f1
1853,288.10802354352796,286.9651624181734,MPI-ESM1-2-HR,historical,r5i1p1f1
1854,288.08324134519995,286.88858683270865,MPI-ESM1-2-HR,historical,r5i1p1f1
1855,288.1272929812179,286.9772364213492,MPI-ESM1-2-HR,historical,r5i1p1f1
1856,288.20586984588914,287.05100671065304,MPI-ESM1-2-HR,historical,r5i1p1f1
1857,288.2876960118765,287.10648719158513,MPI-ESM1-2-HR,historical,r5i1p1f1
1858,288.16976188025734,287.0288842668504,MPI-ESM1-2-HR,historical,r5i1p1f1
1859,288.22057350134486,287.09128245754505,MPI-ESM1-2-HR,historical,r5i1p1f1
1860,288.14359839641054,286.9552210324505,MPI-ESM1-2-HR,historical,r5i1p1f1
1861,288.1904177517327,287.02099418198435,MPI-ESM1-2-HR,historical,r5i1p1f1
1862,288.1924258984573,286.9880888683535,MPI-ESM1-2-HR,historical,r5i1p1f1
1863,288.17704303408533,287.0143871850466,MPI-ESM1-2-HR,historical,r5i1p1f1
1864,288.0983324494503,286.89045978589894,MPI-ESM1-2-HR,historical,r5i1p1f1
1865,288.1239879480708,286.9290110045841,MPI-ESM1-2-HR,historical,r5i1p1f1
1866,288.2072716719424,287.02454686618165,MPI-ESM1-2-HR,historical,r5i1p1f1
1867,288.3455841365086,287.1557141675309,MPI-ESM1-2-HR,historical,r5i1p1f1
1868,288.32971026248487,287.1552680671996,MPI-ESM1-2-HR,historical,r5i1p1f1
1869,288.33358279823125,287.136953484611,MPI-ESM1-2-HR,historical,r5i1p1f1
1870,288.3011131193307,287.0887475373908,MPI-ESM1-2-HR,historical,r5i1p1f1
1871,288.2446796290533,287.05972802900556,MPI-ESM1-2-HR,historical,r5i1p1f1
1872,288.1301263399021,286.92945045932396,MPI-ESM1-2-HR,historical,r5i1p1f1
1873,288.0762758948589,286.917097261503,MPI-ESM1-2-HR,historical,r5i1p1f1
1874,288.12368912336876,286.92241887268693,MPI-ESM1-2-HR,historical,r5i1p1f1
1875,288.1560040735541,286.9905464966436,MPI-ESM1-2-HR,historical,r5i1p1f1
1876,288.12577653510976,286.93745858221826,MPI-ESM1-2-HR,historical,r5i1p1f1
1877,288.12428772494115,286.9204283280724,MPI-ESM1-2-HR,historical,r5i1p1f1
1878,288.194013676995,286.97601083266443,MPI-ESM1-2-HR,historical,r5i1p1f1
1879,288.1558946749944,286.9887922769434,MPI-ESM1-2-HR,historical,r5i1p1f1
1880,288.1061869468066,286.92800176188274,MPI-ESM1-2-HR,historical,r5i1p1f1
1881,288.2495303456251,287.0805950957816,MPI-ESM1-2-HR,historical,r5i1p1f1
1882,288.249189925616,287.0571749300316,MPI-ESM1-2-HR,historical,r5i1p1f1
1883,288.13662243763696,286.98156373675965,MPI-ESM1-2-HR,historical,r5i1p1f1
1884,287.8355147523758,286.6552357043696,MPI-ESM1-2-HR,historical,r5i1p1f1
1885,287.9871937767618,286.80170613444915,MPI-ESM1-2-HR,historical,r5i1p1f1
1886,288.07843870413143,286.9233864020479,MPI-ESM1-2-HR,historical,r5i1p1f1
1887,288.1280076938754,286.9675173998914,MPI-ESM1-2-HR,historical,r5i1p1f1
1888,288.0372562480097,286.8709552563676,MPI-ESM1-2-HR,historical,r5i1p1f1
