year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.3320597328144,288.2400635237127,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2016,289.38957694417564,288.29301648381977,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2017,289.4025807595957,288.3190695630498,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2018,289.3610858703888,288.3113105651955,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2019,289.3745746921352,288.3232933063608,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2020,289.3005616454111,288.21196516277445,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2021,289.3318419686385,288.25188978703255,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2022,289.33330375183203,288.2412453926136,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2023,289.3734255394297,288.29924338404993,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2024,289.430864547712,288.330422335253,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2025,289.4028215873484,288.33342573143915,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2026,289.30473355756385,288.22920522419133,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2027,289.3676257749881,288.26522419497627,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2028,289.5210868182082,288.41998706966854,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2029,289.4756322215056,288.3792954270587,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2030,289.4488719952813,288.398540614592,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2031,289.61102085221995,288.568834283635,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2032,289.5843650956313,288.5280287029731,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2033,289.59359260465834,288.52453304024556,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2034,289.60930024861,288.558150431037,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2035,289.60775872783563,288.55187105816,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2036,289.4675019123208,288.41388518735533,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2037,289.6691248218116,288.6011192484621,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2038,289.64713651163555,288.60838218450255,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2039,289.65254709913404,288.6139148554251,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2040,289.79940199248773,288.7760193084992,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2041,289.7971083863259,288.76653690318614,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2042,289.89122732340036,288.8565563978707,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2043,289.83581104055065,288.7932888692166,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2044,289.9274388601872,288.87439489837664,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2045,289.9713350124044,288.9182934975618,MPI-ESM1-2-HR,ssp370,r6i1p1f1
2046,289.9599478308263,288.9091136786249,MPI-ESM1-2-HR,ssp370,r6i1p1f1
