year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,287.80575283500747,286.62887832443994,MPI-ESM1-2-LR,historical,r10i1p1f1
1851,287.9499884504858,286.71246921079006,MPI-ESM1-2-LR,historical,r10i1p1f1
1852,287.8578257380241,286.6099465477113,MPI-ESM1-2-LR,historical,r10i1p1f1
1853,287.8817642488727,286.6485368429009,MPI-ESM1-2-LR,historical,r10i1p1f1
1854,287.8561039166947,286.6138441555659,MPI-ESM1-2-LR,historical,r10i1p1f1
1855,287.8978747282154,286.6274673566698,MPI-ESM1-2-LR,historical,r10i1p1f1
1856,287.9550340222171,286.68264798278244,MPI-ESM1-2-LR,historical,r10i1p1f1
1857,287.935139634565,286.6824062535385,MPI-ESM1-2-LR,historical,r10i1p1f1
1858,287.89082437118674,286.6193621261837,MPI-ESM1-2-LR,historical,r10i1p1f1
1859,287.87180855501504,286.61428364933903,MPI-ESM1-2-LR,historical,r10i1p1f1
1860,287.9151792805894,286.6539528751441,MPI-ESM1-2-LR,historical,r10i1p1f1
1861,287.8686060921997,286.60572100944717,MPI-ESM1-2-LR,historical,r10i1p1f1
1862,287.81121273546387,286.53474583709806,MPI-ESM1-2-LR,historical,r10i1p1f1
1863,287.818127396642,286.57818010041797,MPI-ESM1-2-LR,historical,r10i1p1f1
1864,287.85217875909734,286.5685492819639,MPI-ESM1-2-LR,historical,r10i1p1f1
1865,287.8186029538653,286.5715752514498,MPI-ESM1-2-LR,historical,r10i1p1f1
1866,287.8142549729947,286.5403479784996,MPI-ESM1-2-LR,historical,r10i1p1f1
1867,287.951883403486,286.6978295932833,MPI-ESM1-2-LR,historical,r10i1p1f1
1868,287.93221125996956,286.6694017694337,MPI-ESM1-2-LR,historical,r10i1p1f1
1869,287.90176096600385,286.6239098195007,MPI-ESM1-2-LR,historical,r10i1p1f1
1870,287.77801966818066,286.51540814087724,MPI-ESM1-2-LR,historical,r10i1p1f1
1871,287.7514993715344,286.4699030402152,MPI-ESM1-2-LR,historical,r10i1p1f1
1872,287.9806030210234,286.67701813641355,MPI-ESM1-2-LR,historical,r10i1p1f1
1873,288.1790840001224,286.9111812494793,MPI-ESM1-2-LR,historical,r10i1p1f1
1874,287.8517671863652,286.6103764637772,MPI-ESM1-2-LR,historical,r10i1p1f1
1875,287.8381299771845,286.60838168674024,MPI-ESM1-2-LR,historical,r10i1p1f1
1876,288.1130824477348,286.8652513285504,MPI-ESM1-2-LR,historical,r10i1p1f1
1877,288.0603355577387,286.82025381306926,MPI-ESM1-2-LR,historical,r10i1p1f1
1878,287.8024842424209,286.55453557801854,MPI-ESM1-2-LR,historical,r10i1p1f1
1879,287.7828666184833,286.5354756978897,MPI-ESM1-2-LR,historical,r10i1p1f1
1880,287.7589754528094,286.5201221067369,MPI-ESM1-2-LR,historical,r10i1p1f1
1881,287.8927281447791,286.6295928103484,MPI-ESM1-2-LR,historical,r10i1p1f1
1882,287.8747274124196,286.6184591822476,MPI-ESM1-2-LR,historical,r10i1p1f1
1883,287.722034528316,286.48261267683984,MPI-ESM1-2-LR,historical,r10i1p1f1
1884,287.59748958568616,286.3473800386331,MPI-ESM1-2-LR,historical,r10i1p1f1
1885,287.7648081838168,286.5058303980038,MPI-ESM1-2-LR,historical,r10i1p1f1
1886,287.6396659558306,286.38635306924596,MPI-ESM1-2-LR,historical,r10i1p1f1
1887,287.6973039779143,286.4059195810294,MPI-ESM1-2-LR,historical,r10i1p1f1
1888,287.9072715923223,286.6255657557703,MPI-ESM1-2-LR,historical,r10i1p1f1
1889,287.9474972408424,286.7072730872225,MPI-ESM1-2-LR,historical,r10i1p1f1
1890,287.94833775581174,286.71548557697724,MPI-ESM1-2-LR,historical,r10i1p1f1
1891,287.99670849811196,286.76491794336283,MPI-ESM1-2-LR,historical,r10i1p1f1
1892,287.8894762489896,286.6121843218047,MPI-ESM1-2-LR,historical,r10i1p1f1
1893,287.95976904366245,286.7040444013987,MPI-ESM1-2-LR,historical,r10i1p1f1
1894,287.86515423830326,286.6021558730417,MPI-ESM1-2-LR,historical,r10i1p1f1
1895,288.0368023696817,286.75438585219615,MPI-ESM1-2-LR,historical,r10i1p1f1
1896,288.11198157072783,286.8189442721844,MPI-ESM1-2-LR,historical,r10i1p1f1
1897,287.9042158877555,286.64618849913546,MPI-ESM1-2-LR,historical,r10i1p1f1
1898,287.9586272283876,286.7039795531577,MPI-ESM1-2-LR,historical,r10i1p1f1
1899,287.9445710129141,286.72900133282275,MPI-ESM1-2-LR,historical,r10i1p1f1
1900,288.0000291942351,286.7595137822906,MPI-ESM1-2-LR,historical,r10i1p1f1
1901,288.1286435467372,286.8761366612558,MPI-ESM1-2-LR,historical,r10i1p1f1
1902,288.0447310339667,286.8093045537544,MPI-ESM1-2-LR,historical,r10i1p1f1
1903,287.8608031858659,286.6539215856225,MPI-ESM1-2-LR,historical,r10i1p1f1
1904,287.82308358311406,286.5739274475149,MPI-ESM1-2-LR,historical,r10i1p1f1
1905,287.93744663178563,286.71484992419727,MPI-ESM1-2-LR,historical,r10i1p1f1
1906,287.8519908564324,286.6002977864043,MPI-ESM1-2-LR,historical,r10i1p1f1
1907,287.87048742146027,286.62211470108326,MPI-ESM1-2-LR,historical,r10i1p1f1
1908,287.8297852280003,286.57777800338965,MPI-ESM1-2-LR,historical,r10i1p1f1
1909,287.94551129508966,286.7020364097531,MPI-ESM1-2-LR,historical,r10i1p1f1
1910,287.9803952940286,286.77144244501267,MPI-ESM1-2-LR,historical,r10i1p1f1
1911,288.01473136415973,286.7964369987595,MPI-ESM1-2-LR,historical,r10i1p1f1
1912,288.00555104885865,286.7730097562525,MPI-ESM1-2-LR,historical,r10i1p1f1
1913,288.0928417423473,286.8663682133558,MPI-ESM1-2-LR,historical,r10i1p1f1
1914,288.19447912843697,286.98139995149967,MPI-ESM1-2-LR,historical,r10i1p1f1
1915,287.97582241663093,286.7313874739475,MPI-ESM1-2-LR,historical,r10i1p1f1
1916,287.91675995439243,286.67432819789764,MPI-ESM1-2-LR,historical,r10i1p1f1
1917,287.8701569683402,286.6558219045821,MPI-ESM1-2-LR,historical,r10i1p1f1
1918,287.9094771530557,286.69208496097696,MPI-ESM1-2-LR,historical,r10i1p1f1
1919,288.06584149820156,286.78782260607585,MPI-ESM1-2-LR,historical,r10i1p1f1
1920,287.9561979062708,286.66938108495964,MPI-ESM1-2-LR,historical,r10i1p1f1
1921,287.9696846954125,286.69533992784653,MPI-ESM1-2-LR,historical,r10i1p1f1
1922,288.15354739688775,286.90075162976865,MPI-ESM1-2-LR,historical,r10i1p1f1
1923,288.1361089140453,286.8971177899231,MPI-ESM1-2-LR,historical,r10i1p1f1
1924,287.82664770590594,286.5930876417144,MPI-ESM1-2-LR,historical,r10i1p1f1
1925,287.97644978396465,286.7324669361074,MPI-ESM1-2-LR,historical,r10i1p1f1
1926,287.97290725862905,286.729355569038,MPI-ESM1-2-LR,historical,r10i1p1f1
1927,288.10489644763163,286.85239109941205,MPI-ESM1-2-LR,historical,r10i1p1f1
1928,288.12188020087467,286.8282027903266,MPI-ESM1-2-LR,historical,r10i1p1f1
1929,288.02551172055803,286.78186977382336,MPI-ESM1-2-LR,historical,r10i1p1f1
1930,287.94239645876183,286.6926436763577,MPI-ESM1-2-LR,historical,r10i1p1f1
1931,288.0342864553566,286.80794761771114,MPI-ESM1-2-LR,historical,r10i1p1f1
1932,288.07109760336385,286.8050462278141,MPI-ESM1-2-LR,historical,r10i1p1f1
1933,288.1841021116882,286.92560216487266,MPI-ESM1-2-LR,historical,r10i1p1f1
1934,288.28904548866274,287.0446124056234,MPI-ESM1-2-LR,historical,r10i1p1f1
1935,288.1971225547586,286.94341089754715,MPI-ESM1-2-LR,historical,r10i1p1f1
1936,288.18497766777847,286.9463036510577,MPI-ESM1-2-LR,historical,r10i1p1f1
1937,288.1725370602178,286.95122869992326,MPI-ESM1-2-LR,historical,r10i1p1f1
1938,288.22409039018544,286.9884415556982,MPI-ESM1-2-LR,historical,r10i1p1f1
1939,288.2608461250319,287.00637515764186,MPI-ESM1-2-LR,historical,r10i1p1f1
1940,288.1333253154906,286.89348681615314,MPI-ESM1-2-LR,historical,r10i1p1f1
1941,288.0617427091756,286.8493347036294,MPI-ESM1-2-LR,historical,r10i1p1f1
1942,288.1368690299143,286.9298032960946,MPI-ESM1-2-LR,historical,r10i1p1f1
1943,288.1835113538102,286.99317488061,MPI-ESM1-2-LR,historical,r10i1p1f1
1944,288.1302281895263,286.90637988304945,MPI-ESM1-2-LR,historical,r10i1p1f1
1945,288.0784146888375,286.84304381661946,MPI-ESM1-2-LR,historical,r10i1p1f1
1946,288.1971988738728,286.98375448588536,MPI-ESM1-2-LR,historical,r10i1p1f1
1947,288.3195799218899,287.09980048208763,MPI-ESM1-2-LR,historical,r10i1p1f1
1948,288.19157633989624,286.97934997864144,MPI-ESM1-2-LR,historical,r10i1p1f1
1949,287.9452440570114,286.7183134268552,MPI-ESM1-2-LR,historical,r10i1p1f1
1950,288.0841376941366,286.8085245654976,MPI-ESM1-2-LR,historical,r10i1p1f1
1951,288.1180804568751,286.8562385262598,MPI-ESM1-2-LR,historical,r10i1p1f1
1952,288.24818136243346,286.9680115586649,MPI-ESM1-2-LR,historical,r10i1p1f1
1953,288.1298112460834,286.88686129356284,MPI-ESM1-2-LR,historical,r10i1p1f1
1954,288.0692005116575,286.7907876530105,MPI-ESM1-2-LR,historical,r10i1p1f1
1955,288.13105566336856,286.843567696835,MPI-ESM1-2-LR,historical,r10i1p1f1
1956,288.0473950431281,286.7906948722476,MPI-ESM1-2-LR,historical,r10i1p1f1
1957,288.24755826420085,287.0291915317938,MPI-ESM1-2-LR,historical,r10i1p1f1
1958,288.20379418487084,286.95811543572023,MPI-ESM1-2-LR,historical,r10i1p1f1
1959,288.02678066062873,286.8022073666753,MPI-ESM1-2-LR,historical,r10i1p1f1
1960,288.32091962083797,287.05201050707717,MPI-ESM1-2-LR,historical,r10i1p1f1
1961,288.28703352745333,287.03840551098017,MPI-ESM1-2-LR,historical,r10i1p1f1
1962,288.1307451767393,286.8866565898046,MPI-ESM1-2-LR,historical,r10i1p1f1
1963,288.22187407314783,286.9887123467092,MPI-ESM1-2-LR,historical,r10i1p1f1
1964,288.18667951765104,286.9398705090763,MPI-ESM1-2-LR,historical,r10i1p1f1
1965,288.2722447206299,287.0806968475099,MPI-ESM1-2-LR,historical,r10i1p1f1
1966,288.1675744258302,286.95970473168074,MPI-ESM1-2-LR,historical,r10i1p1f1
1967,288.2585744349176,287.03626262685856,MPI-ESM1-2-LR,historical,r10i1p1f1
1968,288.1045678667454,286.8858432060541,MPI-ESM1-2-LR,historical,r10i1p1f1
1969,288.0917852414335,286.86865284685257,MPI-ESM1-2-LR,historical,r10i1p1f1
1970,288.3172521004339,287.12763636002666,MPI-ESM1-2-LR,historical,r10i1p1f1
1971,288.2428282585949,287.0315625413928,MPI-ESM1-2-LR,historical,r10i1p1f1
1972,288.1822776032662,286.9569215140309,MPI-ESM1-2-LR,historical,r10i1p1f1
1973,288.1837534046614,286.963323282067,MPI-ESM1-2-LR,historical,r10i1p1f1
1974,288.0789283111974,286.8686202486747,MPI-ESM1-2-LR,historical,r10i1p1f1
1975,288.1018087263145,286.858605619962,MPI-ESM1-2-LR,historical,r10i1p1f1
1976,288.1416758758716,286.89655102876856,MPI-ESM1-2-LR,historical,r10i1p1f1
1977,288.33768053696417,287.1215990696077,MPI-ESM1-2-LR,historical,r10i1p1f1
1978,288.3336701650487,287.1153460310433,MPI-ESM1-2-LR,historical,r10i1p1f1
1979,288.302572905013,287.0773203030387,MPI-ESM1-2-LR,historical,r10i1p1f1
1980,288.4382969669516,287.2154775894827,MPI-ESM1-2-LR,historical,r10i1p1f1
1981,288.2093759216427,286.97673332813247,MPI-ESM1-2-LR,historical,r10i1p1f1
1982,288.2351768098632,286.976245263555,MPI-ESM1-2-LR,historical,r10i1p1f1
1983,288.35880802238336,287.11444033858726,MPI-ESM1-2-LR,historical,r10i1p1f1
1984,288.5523248723339,287.33302733531184,MPI-ESM1-2-LR,historical,r10i1p1f1
1985,288.3702017289555,287.1548495248181,MPI-ESM1-2-LR,historical,r10i1p1f1
1986,288.30922782895476,287.06506264423086,MPI-ESM1-2-LR,historical,r10i1p1f1
