year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.8438509290437,287.6760936233073,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2016,289.04792693753427,287.8831457092756,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2017,289.0994391343389,287.9101166131173,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2018,288.9826276698084,287.833414097943,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2019,288.89675150341384,287.7288098587612,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2020,288.95068140025074,287.82023788213604,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2021,289.0377481175504,287.8947520013677,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2022,289.25042683292133,288.09295529595715,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2023,289.30579336689135,288.1550888308578,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2024,288.98864310759154,287.8391877389333,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2025,289.08238386103505,287.93537482996027,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2026,289.17082628282344,288.05815854285936,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2027,289.1147383192879,287.9956175452942,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2028,288.92780819113676,287.8130424738278,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2029,289.1495742195714,288.0264554090694,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2030,289.3166625014756,288.199786250598,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2031,289.3240197347989,288.208209025876,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2032,289.0320862982125,287.9177720666557,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2033,289.0452563925362,287.918854473013,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2034,289.1984651217609,288.06405098831425,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2035,289.2020251896975,288.0739935941261,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2036,289.2249276770672,288.14021138131517,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2037,289.47115790313404,288.3448404395667,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2038,289.3551527429898,288.2307457781205,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2039,289.309248685524,288.156697705935,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2040,289.43783647727963,288.3089644517055,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2041,289.47149108756827,288.3308780150832,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2042,289.3892557906905,288.28999822509627,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2043,289.27380683659237,288.14925543716413,MPI-ESM1-2-LR,ssp245,r5i1p1f1
2044,289.28583688111036,288.1839275163628,MPI-ESM1-2-LR,ssp245,r5i1p1f1
