year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.19022907213355,287.07323898021264,MRI-ESM2-0,historical,r4i1p1f1
1851,288.095421167652,287.009320016653,MRI-ESM2-0,historical,r4i1p1f1
1852,288.13208304799514,287.02531039159345,MRI-ESM2-0,historical,r4i1p1f1
1853,288.076221620362,287.0024768487319,MRI-ESM2-0,historical,r4i1p1f1
1854,288.0387181229713,286.96816315282206,MRI-ESM2-0,historical,r4i1p1f1
1855,287.9990135564959,286.8865967664629,MRI-ESM2-0,historical,r4i1p1f1
1856,287.9713040535074,286.8832561751018,MRI-ESM2-0,historical,r4i1p1f1
1857,288.04950235577786,286.95329818035117,MRI-ESM2-0,historical,r4i1p1f1
1858,288.0892751945981,286.9825107113527,MRI-ESM2-0,historical,r4i1p1f1
1859,288.0808016735968,286.9748144391485,MRI-ESM2-0,historical,r4i1p1f1
1860,288.1187136626523,286.9781469549861,MRI-ESM2-0,historical,r4i1p1f1
1861,288.0724237373287,286.9912486975315,MRI-ESM2-0,historical,r4i1p1f1
1862,288.1773174635765,287.0443965837885,MRI-ESM2-0,historical,r4i1p1f1
1863,288.1826457341024,287.05582103098584,MRI-ESM2-0,historical,r4i1p1f1
1864,288.1003259234137,287.0139153803016,MRI-ESM2-0,historical,r4i1p1f1
1865,288.09883877298046,286.99876223103627,MRI-ESM2-0,historical,r4i1p1f1
1866,288.0420795557087,286.9350328699311,MRI-ESM2-0,historical,r4i1p1f1
1867,288.20391863646586,287.12659820933067,MRI-ESM2-0,historical,r4i1p1f1
1868,288.0501737440668,286.9284923036079,MRI-ESM2-0,historical,r4i1p1f1
1869,288.001776405126,286.8715388956971,MRI-ESM2-0,historical,r4i1p1f1
1870,288.06860501208416,286.9449986817554,MRI-ESM2-0,historical,r4i1p1f1
1871,288.0559468098234,286.9421183806858,MRI-ESM2-0,historical,r4i1p1f1
1872,288.0242459528402,286.9296562591213,MRI-ESM2-0,historical,r4i1p1f1
1873,288.09106108646824,287.0279916741598,MRI-ESM2-0,historical,r4i1p1f1
1874,288.22502719163725,287.09891489919625,MRI-ESM2-0,historical,r4i1p1f1
1875,288.15364013477256,287.05565418382014,MRI-ESM2-0,historical,r4i1p1f1
1876,288.1557382577838,287.053811453662,MRI-ESM2-0,historical,r4i1p1f1
1877,288.13462980298834,287.0302989939701,MRI-ESM2-0,historical,r4i1p1f1
1878,288.0093432782979,286.933566535531,MRI-ESM2-0,historical,r4i1p1f1
1879,288.142302430451,287.03868821909464,MRI-ESM2-0,historical,r4i1p1f1
1880,288.1665283982193,287.0619131728804,MRI-ESM2-0,historical,r4i1p1f1
1881,288.1220450884964,287.022467198105,MRI-ESM2-0,historical,r4i1p1f1
1882,288.09509167604995,286.9922215824648,MRI-ESM2-0,historical,r4i1p1f1
1883,288.11915335157556,287.0258823217462,MRI-ESM2-0,historical,r4i1p1f1
1884,287.85579912617095,286.75658304146674,MRI-ESM2-0,historical,r4i1p1f1
1885,287.74605462232654,286.6171023480346,MRI-ESM2-0,historical,r4i1p1f1
1886,287.8186514262143,286.6982532027583,MRI-ESM2-0,historical,r4i1p1f1
1887,288.0627711721534,286.93235419685726,MRI-ESM2-0,historical,r4i1p1f1
1888,288.1302834359698,286.98707985319953,MRI-ESM2-0,historical,r4i1p1f1
1889,288.032995485084,286.95921272758505,MRI-ESM2-0,historical,r4i1p1f1
1890,288.0717643970867,286.962242797819,MRI-ESM2-0,historical,r4i1p1f1
1891,288.00017881812306,286.89402237850845,MRI-ESM2-0,historical,r4i1p1f1
1892,287.9895884408767,286.8948057706649,MRI-ESM2-0,historical,r4i1p1f1
1893,288.0790159325328,286.9559369092878,MRI-ESM2-0,historical,r4i1p1f1
1894,288.02367033411264,286.9240605215365,MRI-ESM2-0,historical,r4i1p1f1
1895,288.156853041898,287.0462974921718,MRI-ESM2-0,historical,r4i1p1f1
1896,288.10446293354926,286.9918027364978,MRI-ESM2-0,historical,r4i1p1f1
1897,288.01877273486735,286.8882942479252,MRI-ESM2-0,historical,r4i1p1f1
1898,288.0821775963249,286.95459262755065,MRI-ESM2-0,historical,r4i1p1f1
1899,288.05889113317664,286.92489332845605,MRI-ESM2-0,historical,r4i1p1f1
1900,288.13914960589364,287.0575485596141,MRI-ESM2-0,historical,r4i1p1f1
1901,288.22444038397305,287.12543758654994,MRI-ESM2-0,historical,r4i1p1f1
1902,288.112324973292,287.0421185130697,MRI-ESM2-0,historical,r4i1p1f1
1903,288.049814763562,286.94898348056455,MRI-ESM2-0,historical,r4i1p1f1
1904,288.13491285110484,287.00674858678053,MRI-ESM2-0,historical,r4i1p1f1
1905,288.1390698345621,287.02370871023305,MRI-ESM2-0,historical,r4i1p1f1
1906,288.07825087924135,286.94357237095437,MRI-ESM2-0,historical,r4i1p1f1
1907,288.0746964823224,286.9662379620365,MRI-ESM2-0,historical,r4i1p1f1
1908,288.10591953796165,287.0182869106261,MRI-ESM2-0,historical,r4i1p1f1
1909,288.0086247293375,286.88602701154025,MRI-ESM2-0,historical,r4i1p1f1
1910,288.0746696994271,286.99084268741103,MRI-ESM2-0,historical,r4i1p1f1
1911,287.90939492158395,286.79526800175915,MRI-ESM2-0,historical,r4i1p1f1
1912,287.8998119824696,286.80706816862215,MRI-ESM2-0,historical,r4i1p1f1
1913,287.9971440935108,286.8638218756046,MRI-ESM2-0,historical,r4i1p1f1
1914,288.094850479006,287.0137356308608,MRI-ESM2-0,historical,r4i1p1f1
1915,288.0218258929917,286.9159717906594,MRI-ESM2-0,historical,r4i1p1f1
1916,288.00477588525905,286.90595420833665,MRI-ESM2-0,historical,r4i1p1f1
1917,288.0813025482434,286.97034293681105,MRI-ESM2-0,historical,r4i1p1f1
1918,288.07496361952775,286.9601651864173,MRI-ESM2-0,historical,r4i1p1f1
1919,288.02634968945307,286.8892311303866,MRI-ESM2-0,historical,r4i1p1f1
1920,288.14705755574414,287.0245424458168,MRI-ESM2-0,historical,r4i1p1f1
1921,288.1505623772325,287.0183016271567,MRI-ESM2-0,historical,r4i1p1f1
1922,288.24930470987425,287.1090287086945,MRI-ESM2-0,historical,r4i1p1f1
1923,288.40394236492426,287.2606179515062,MRI-ESM2-0,historical,r4i1p1f1
1924,288.33471634856807,287.2044318723724,MRI-ESM2-0,historical,r4i1p1f1
1925,288.20605209182463,287.1150717002528,MRI-ESM2-0,historical,r4i1p1f1
1926,288.1695757338565,287.0765745467201,MRI-ESM2-0,historical,r4i1p1f1
1927,288.2771543351079,287.15780747773994,MRI-ESM2-0,historical,r4i1p1f1
1928,288.057638202219,286.9145481305778,MRI-ESM2-0,historical,r4i1p1f1
1929,288.16229027995365,287.0138680392802,MRI-ESM2-0,historical,r4i1p1f1
1930,288.2515956686128,287.1191987356477,MRI-ESM2-0,historical,r4i1p1f1
1931,288.3612286630434,287.2480282785889,MRI-ESM2-0,historical,r4i1p1f1
1932,288.28883715097925,287.20266559603164,MRI-ESM2-0,historical,r4i1p1f1
1933,288.0997383216818,286.9926416329936,MRI-ESM2-0,historical,r4i1p1f1
1934,288.2042733296828,287.12213446128794,MRI-ESM2-0,historical,r4i1p1f1
1935,288.0780995890933,286.9816742499438,MRI-ESM2-0,historical,r4i1p1f1
1936,288.1025495538156,286.9983614728176,MRI-ESM2-0,historical,r4i1p1f1
1937,288.3525611600239,287.2435864612603,MRI-ESM2-0,historical,r4i1p1f1
1938,288.3503249003828,287.23610750398825,MRI-ESM2-0,historical,r4i1p1f1
1939,288.17180690513914,287.0823427178491,MRI-ESM2-0,historical,r4i1p1f1
1940,288.08617855784155,286.9977962324338,MRI-ESM2-0,historical,r4i1p1f1
1941,288.18483677933915,287.07189683779086,MRI-ESM2-0,historical,r4i1p1f1
1942,288.04437851744206,286.9568998957836,MRI-ESM2-0,historical,r4i1p1f1
1943,288.07361727601887,286.9575590280619,MRI-ESM2-0,historical,r4i1p1f1
1944,288.102394319805,286.96939164126815,MRI-ESM2-0,historical,r4i1p1f1
1945,288.09616161674256,286.95680637835153,MRI-ESM2-0,historical,r4i1p1f1
1946,288.1657300624895,287.06730223417196,MRI-ESM2-0,historical,r4i1p1f1
