year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,288.91463812804375,287.8819845625715,MRI-ESM2-0,ssp370,r1i1p1f1
2016,288.9845800995729,287.9590405094418,MRI-ESM2-0,ssp370,r1i1p1f1
2017,289.1710140720407,288.14273904888614,MRI-ESM2-0,ssp370,r1i1p1f1
2018,289.19813636266406,288.14075611636883,MRI-ESM2-0,ssp370,r1i1p1f1
2019,289.16211334199215,288.12471194122116,MRI-ESM2-0,ssp370,r1i1p1f1
2020,289.0036428498636,287.9561489409117,MRI-ESM2-0,ssp370,r1i1p1f1
2021,289.02963806095096,287.9738985192176,MRI-ESM2-0,ssp370,r1i1p1f1
2022,289.21968793115343,288.17833486881676,MRI-ESM2-0,ssp370,r1i1p1f1
2023,289.23302654250676,288.1685740075517,MRI-ESM2-0,ssp370,r1i1p1f1
2024,289.22206121379423,288.2300154571332,MRI-ESM2-0,ssp370,r1i1p1f1
2025,289.2976839170553,288.2814532873434,MRI-ESM2-0,ssp370,r1i1p1f1
2026,289.40311763021856,288.419862467505,MRI-ESM2-0,ssp370,r1i1p1f1
2027,289.3296378429932,288.3176143929577,MRI-ESM2-0,ssp370,r1i1p1f1
2028,289.3364756265651,288.3379838301196,MRI-ESM2-0,ssp370,r1i1p1f1
2029,289.28043438580306,288.2848820356981,MRI-ESM2-0,ssp370,r1i1p1f1
2030,289.3284102356576,288.35056864906636,MRI-ESM2-0,ssp370,r1i1p1f1
2031,289.3866704786259,288.3975985723197,MRI-ESM2-0,ssp370,r1i1p1f1
2032,289.27398317797423,288.2825912390621,MRI-ESM2-0,ssp370,r1i1p1f1
2033,289.24617267787914,288.26811721921257,MRI-ESM2-0,ssp370,r1i1p1f1
2034,289.41869405122185,288.4126123127417,MRI-ESM2-0,ssp370,r1i1p1f1
2035,289.48894510124484,288.4790970067376,MRI-ESM2-0,ssp370,r1i1p1f1
2036,289.50626992985144,288.50759175778893,MRI-ESM2-0,ssp370,r1i1p1f1
2037,289.6434090934248,288.65882749079475,MRI-ESM2-0,ssp370,r1i1p1f1
2038,289.48036792339883,288.49277745721025,MRI-ESM2-0,ssp370,r1i1p1f1
2039,289.6492949455444,288.6817550827406,MRI-ESM2-0,ssp370,r1i1p1f1
2040,289.7488045603562,288.817036645306,MRI-ESM2-0,ssp370,r1i1p1f1
2041,289.8189103598807,288.84414287729146,MRI-ESM2-0,ssp370,r1i1p1f1
2042,289.6604981644087,288.6629231227932,MRI-ESM2-0,ssp370,r1i1p1f1
2043,289.71446101767316,288.7663516486535,MRI-ESM2-0,ssp370,r1i1p1f1
2044,289.6662449438335,288.68327245816494,MRI-ESM2-0,ssp370,r1i1p1f1
2045,289.8072451754443,288.83446620782416,MRI-ESM2-0,ssp370,r1i1p1f1
2046,289.7205943181517,288.77583151311137,MRI-ESM2-0,ssp370,r1i1p1f1
2047,289.94766116109656,289.0002944237733,MRI-ESM2-0,ssp370,r1i1p1f1
2048,290.0314027230243,289.0933512253204,MRI-ESM2-0,ssp370,r1i1p1f1
2049,289.954449221661,289.01790400366,MRI-ESM2-0,ssp370,r1i1p1f1
2050,289.96495903684985,289.0362033440114,MRI-ESM2-0,ssp370,r1i1p1f1
2051,290.09446556405385,289.1738552862289,MRI-ESM2-0,ssp370,r1i1p1f1
2052,290.0923371195269,289.1678889681058,MRI-ESM2-0,ssp370,r1i1p1f1
