year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
1850,288.2518443916725,286.90781205964447,NESM3,historical,r3i1p1f1
1851,288.26476095466955,286.93576336695844,NESM3,historical,r3i1p1f1
1852,288.43874118439055,287.13176906536904,NESM3,historical,r3i1p1f1
1853,288.42975892780606,287.14546307415355,NESM3,historical,r3i1p1f1
1854,288.3737749582868,287.07806116360933,NESM3,historical,r3i1p1f1
1855,288.36987752077073,287.10740131928424,NESM3,historical,r3i1p1f1
1856,288.3947449806882,287.0983976945282,NESM3,historical,r3i1p1f1
1857,288.34173589550335,287.0284948462437,NESM3,historical,r3i1p1f1
1858,288.52856815650637,287.19844362395344,NESM3,historical,r3i1p1f1
1859,288.49218352239103,287.161571162262,NESM3,historical,r3i1p1f1
1860,288.5249506298994,287.18097350778555,NESM3,historical,r3i1p1f1
1861,288.4501855405769,287.1481960845919,NESM3,historical,r3i1p1f1
1862,288.4561026680444,287.1238624275005,NESM3,historical,r3i1p1f1
1863,288.3291181616898,286.9996908241825,NESM3,historical,r3i1p1f1
1864,288.5619352537037,287.2334834532069,NESM3,historical,r3i1p1f1
1865,288.41301639618933,287.07793852701656,NESM3,historical,r3i1p1f1
1866,288.55046810939706,287.23964649070996,NESM3,historical,r3i1p1f1
1867,288.4287088428237,287.13346485715357,NESM3,historical,r3i1p1f1
1868,288.43605809425526,287.13054410348224,NESM3,historical,r3i1p1f1
1869,288.48291192557156,287.1926548410728,NESM3,historical,r3i1p1f1
1870,288.3925590540425,287.0915806647147,NESM3,historical,r3i1p1f1
1871,288.38922461124594,287.0677757229164,NESM3,historical,r3i1p1f1
1872,288.47426304469667,287.16824696960003,NESM3,historical,r3i1p1f1
1873,288.434458595838,287.11834145456754,NESM3,historical,r3i1p1f1
1874,288.2992667907462,286.9862916046283,NESM3,historical,r3i1p1f1
1875,288.3613053169558,287.04808842162413,NESM3,historical,r3i1p1f1
1876,288.4230049219898,287.1335444449923,NESM3,historical,r3i1p1f1
1877,288.4170281764316,287.06776376488756,NESM3,historical,r3i1p1f1
1878,288.32343249265523,287.0143131026884,NESM3,historical,r3i1p1f1
1879,288.2982671247761,287.0101008476092,NESM3,historical,r3i1p1f1
1880,288.36852617573925,287.04329591221097,NESM3,historical,r3i1p1f1
1881,288.43489227111684,287.1113878503999,NESM3,historical,r3i1p1f1
1882,288.34270058178004,286.99970494858565,NESM3,historical,r3i1p1f1
1883,288.27094926478486,286.94506661613514,NESM3,historical,r3i1p1f1
1884,287.9691135215651,286.6250825999072,NESM3,historical,r3i1p1f1
1885,288.1926897529039,286.83013917981594,NESM3,historical,r3i1p1f1
1886,288.20330470505456,286.83631269341373,NESM3,historical,r3i1p1f1
1887,288.2175401951558,286.86645045708684,NESM3,historical,r3i1p1f1
1888,288.3628442449625,287.0513771111873,NESM3,historical,r3i1p1f1
1889,288.3252132040621,286.9900026773189,NESM3,historical,r3i1p1f1
1890,288.3727612046209,287.05230746407676,NESM3,historical,r3i1p1f1
1891,288.3338880146312,287.0270351390583,NESM3,historical,r3i1p1f1
1892,288.38665940298483,287.072387600218,NESM3,historical,r3i1p1f1
1893,288.46459090528094,287.15900119329353,NESM3,historical,r3i1p1f1
1894,288.42691609330575,287.09491475757164,NESM3,historical,r3i1p1f1
1895,288.3505383002717,287.0465207209349,NESM3,historical,r3i1p1f1
1896,288.22769086640415,286.9357889816387,NESM3,historical,r3i1p1f1
1897,288.2532679717443,286.92602142570104,NESM3,historical,r3i1p1f1
1898,288.3587224456928,287.0514821755116,NESM3,historical,r3i1p1f1
1899,288.42326677787116,287.13352236981166,NESM3,historical,r3i1p1f1
1900,288.3986872131832,287.0890711809398,NESM3,historical,r3i1p1f1
1901,288.33850322184304,287.03439083453975,NESM3,historical,r3i1p1f1
1902,288.5093935005412,287.19392694050816,NESM3,historical,r3i1p1f1
1903,288.40862180921965,287.1102209111841,NESM3,historical,r3i1p1f1
1904,288.3307643934462,287.0174270496884,NESM3,historical,r3i1p1f1
1905,288.3793991238858,287.0647761211034,NESM3,historical,r3i1p1f1
1906,288.3608976267463,287.0119843762216,NESM3,historical,r3i1p1f1
1907,288.39982856226396,287.08385635305535,NESM3,historical,r3i1p1f1
1908,288.47499164638094,287.14387939594246,NESM3,historical,r3i1p1f1
1909,288.4684491426171,287.1684954628594,NESM3,historical,r3i1p1f1
1910,288.53794342470314,287.2003144284209,NESM3,historical,r3i1p1f1
1911,288.5621575553495,287.2149446887356,NESM3,historical,r3i1p1f1
1912,288.4803727510754,287.13343853826495,NESM3,historical,r3i1p1f1
1913,288.30562048070715,286.9338333875045,NESM3,historical,r3i1p1f1
1914,288.33019722062,286.9585960804001,NESM3,historical,r3i1p1f1
1915,288.3736240737087,287.01643027411257,NESM3,historical,r3i1p1f1
1916,288.3395491479072,286.9763581929902,NESM3,historical,r3i1p1f1
1917,288.3597324011534,286.98209861838995,NESM3,historical,r3i1p1f1
1918,288.4381830044663,287.0956634901959,NESM3,historical,r3i1p1f1
1919,288.51407232390653,287.1786060739515,NESM3,historical,r3i1p1f1
1920,288.6120985150424,287.26629854068847,NESM3,historical,r3i1p1f1
1921,288.5933495208318,287.26501064765574,NESM3,historical,r3i1p1f1
1922,288.56677354294226,287.25978896495593,NESM3,historical,r3i1p1f1
1923,288.426842302303,287.1048057167912,NESM3,historical,r3i1p1f1
1924,288.4605131523416,287.117887759822,NESM3,historical,r3i1p1f1
1925,288.3526668035639,287.0067990025619,NESM3,historical,r3i1p1f1
1926,288.41307399753236,287.0587121738953,NESM3,historical,r3i1p1f1
1927,288.44200535563806,287.12320371400494,NESM3,historical,r3i1p1f1
1928,288.4610795419282,287.1424023724285,NESM3,historical,r3i1p1f1
1929,288.4662546602081,287.1519513067567,NESM3,historical,r3i1p1f1
1930,288.4592973170544,287.1624841214331,NESM3,historical,r3i1p1f1
1931,288.4322574960076,287.12102189425656,NESM3,historical,r3i1p1f1
1932,288.4729634903909,287.1230156651314,NESM3,historical,r3i1p1f1
1933,288.3842233048849,287.0321240357207,NESM3,historical,r3i1p1f1
1934,288.435546591053,287.08548789091134,NESM3,historical,r3i1p1f1
1935,288.50830653563827,287.2101194858193,NESM3,historical,r3i1p1f1
1936,288.6186328682904,287.28613304796744,NESM3,historical,r3i1p1f1
1937,288.60812056364006,287.3015815699786,NESM3,historical,r3i1p1f1
1938,288.51794966028314,287.19559026351186,NESM3,historical,r3i1p1f1
1939,288.54667093066246,287.23282603458006,NESM3,historical,r3i1p1f1
1940,288.55435026435663,287.2442924226396,NESM3,historical,r3i1p1f1
1941,288.54858151981057,287.24506295670216,NESM3,historical,r3i1p1f1
1942,288.52055050332217,287.2198656196645,NESM3,historical,r3i1p1f1
1943,288.5535141058366,287.23546428615595,NESM3,historical,r3i1p1f1
1944,288.52080276165003,287.20407354876727,NESM3,historical,r3i1p1f1
1945,288.61889653409037,287.32274888640967,NESM3,historical,r3i1p1f1
1946,288.64198243976784,287.2985252805135,NESM3,historical,r3i1p1f1
1947,288.6182089330099,287.2940452768799,NESM3,historical,r3i1p1f1
1948,288.6833471277223,287.33388034709867,NESM3,historical,r3i1p1f1
1949,288.7194274439758,287.40071338143497,NESM3,historical,r3i1p1f1
1950,288.69021224762906,287.3755275104554,NESM3,historical,r3i1p1f1
1951,288.6551575059367,287.3740894681737,NESM3,historical,r3i1p1f1
1952,288.56076425414244,287.2529112648179,NESM3,historical,r3i1p1f1
1953,288.77078810576944,287.4682742132426,NESM3,historical,r3i1p1f1
1954,288.7027285216371,287.3841751467616,NESM3,historical,r3i1p1f1
1955,288.76428894442563,287.45371104604413,NESM3,historical,r3i1p1f1
1956,288.64280105312776,287.3516049585087,NESM3,historical,r3i1p1f1
1957,288.43974479963106,287.1004557246144,NESM3,historical,r3i1p1f1
1958,288.5670262538087,287.24167421834255,NESM3,historical,r3i1p1f1
1959,288.6880408944464,287.3285776756209,NESM3,historical,r3i1p1f1
1960,288.7407588730726,287.3968896755349,NESM3,historical,r3i1p1f1
1961,288.75618129722125,287.42871273074013,NESM3,historical,r3i1p1f1
1962,288.567547222143,287.25434953788755,NESM3,historical,r3i1p1f1
1963,288.42016406226213,287.0655946418832,NESM3,historical,r3i1p1f1
1964,288.4161642404835,287.07395013253574,NESM3,historical,r3i1p1f1
1965,288.5984691619638,287.2454990181141,NESM3,historical,r3i1p1f1
1966,288.52386844170553,287.16332700167754,NESM3,historical,r3i1p1f1
1967,288.45339031869077,287.12389867760044,NESM3,historical,r3i1p1f1
1968,288.47552040948005,287.1101283092316,NESM3,historical,r3i1p1f1
1969,288.53004007693465,287.19051672634413,NESM3,historical,r3i1p1f1
